half_cell,si,w_dqdv,obj,rmse_pocv,a_PE,b_PE,a_NE,b_NE,gamma_Si,bounds,ref_bounds,LAM_PE_pct,LAM_NE_pct,LLI_pct
GITT,Sethuraman,0.0,0.5341234693952301,0.009619070724153994,1.1554447538629449,-0.12159039438288019,1.149759205234878,-0.003369483314427223,0.2543372293898075,-,b_PE=ub,5.657273935874536,7.841249939104811,15.470269789157905
GITT,Sethuraman,1.0,1.0832658696243609,0.012341081879399123,1.1392617638026552,-0.11242026285011487,1.1256108691853266,-0.0029561159896899663,0.32065995834365896,-,-,8.12311134160398,7.79224372001844,16.466783729604092
GITT,Wetjen,0.0,0.7701383798870229,0.011709400295162922,1.1305005156711838,-0.10125838072159347,1.3338588339023387,-0.007075709272483678,0.1380216924129861,-,b_PE=ub,7.480448956215264,15.039997093536092,15.590468924715573
GITT,Wetjen,1.0,1.4605160296211224,0.011182936349086773,1.1154482488493904,-0.08949684431522763,1.4,-0.0076802628055666405,0.4614101352646621,a_NE=ub,"b_PE=ub,a_NE=ub",8.507386508891708,14.665666724699014,15.649212991857109
step_005C,Baggetto,0.0,0.6031577110067972,0.0160977676149002,1.1427717967271462,-0.11562791100611412,1.0,-0.010784174087366974,0.0,"a_NE=lb,gamma_Si=lb","b_PE=ub,a_NE=lb,gamma_Si=lb",5.11807325430089,14.665666724699022,15.023171426736614
step_005C,Baggetto,1.0,1.7922690523945488,0.051689187361032035,1.1361295464690315,-0.10176498546458625,1.0,-0.16278224955167206,0.2786055062971696,a_NE=lb,"b_PE=ub,a_NE=lb",5.8157863551089175,14.665666724699022,15.067620784971659
step_005C,Friedrich,0.0,0.6954629879578242,0.01824181930637262,1.1304401323819828,-0.10595225546685041,1.0,-0.01987214343533494,0.0,"a_NE=lb,gamma_Si=lb","b_PE=ub,a_NE=lb,gamma_Si=lb",6.399952590095056,14.665666724699022,15.621572545246837
step_005C,Friedrich,1.0,1.7986950994770583,0.07444257239703808,1.1699444362457678,-0.134852980623276,1.0,-0.3017693001059151,0.5,"a_NE=lb,gamma_Si=ub","a_NE=lb,gamma_Si=ub",3.913776741424113,14.665666724699022,4.863669925549042
step_005C,Jiang,0.0,0.5690472441462985,0.014420882229529752,1.1410972003836821,-0.1058532822960626,1.1259839214780907,0.00804769861475531,0.20167570466458642,-,-,9.08830315194257,4.213806587875389,15.399032143619204
step_005C,Jiang,1.0,1.4837548470213036,0.014626214658480883,1.1288440831454598,-0.09677862809403327,1.1376175426598747,0.007864594946606816,0.1916656274686698,-,a_NE=lb,10.381125622486987,2.9221654748333323,15.531132830446614
step_005C,Kunz,0.0,0.5568724348850373,0.010057183330951527,1.1650173911572084,-0.1225092676198429,1.1689964784875815,-0.013368709308328593,0.20412022501149826,-,-,9.370409061550552,5.398999349402294,15.272654406995914
step_005C,Kunz,1.0,1.4614385134793864,0.012075798506195204,1.1461719249846434,-0.1111968860983664,1.1687939470219462,-0.01372423120708336,0.20387174354836163,-,-,12.31198656773053,1.5681495937565664,16.534477732236745
step_005C,Li,0.0,0.5542716382849988,0.01313504283795376,1.155069685816236,-0.11605818176776739,1.1160813621251675,-0.0001304082282767451,0.2333186454938094,-,a_NE=lb,8.45811372820033,4.759941082059085,15.245994243953906
step_005C,Li,1.0,1.4905683469535207,0.017133850838566732,1.1260720735682832,-0.09972884482423065,1.0938650732041233,-0.0002373462362279097,0.24322717124159934,-,a_NE=lb,14.948323876186645,6.655753284987837,17.98116453845163
step_005C,Lu,0.0,0.5509968900598312,0.009504068333236197,1.1635000902322676,-0.12096495821668352,1.0999257229670492,-0.002746184465233102,0.19319592470669364,-,a_NE=lb,8.821825980150768,6.138571778253448,15.135451677197992
step_005C,Lu,1.0,1.4811794854085967,0.010950490706187482,1.1540846988324625,-0.11614960921531788,1.0937782011134631,-0.0027702942665475882,0.19388531140380466,-,a_NE=lb,8.185003633924454,6.663166456924566,14.748053499528469
step_005C,Sethuraman,0.0,0.58071268054452,0.01732456953199262,1.1251955158021794,-0.09332085977640797,1.1710921489500217,-0.002493806815457499,0.2863034726047818,-,-,8.844408044333079,5.746649119088679,15.27703263118301
step_005C,Sethuraman,1.0,1.4583187644950821,0.017329408352084318,1.1224968758344045,-0.09101126632331377,1.171356700232196,-0.0024844435102847192,0.28671415694093627,-,-,14.829482245084172,2.8402937215044877,16.804243476441457
step_005C,Wetjen,0.0,0.7965187567027875,0.01911580265229262,1.1164245604765726,-0.08518086320733387,1.4,-0.004927907297050852,0.19624155159494308,a_NE=ub,a_NE=ub,7.906298374206831,14.665666724699014,14.876717577348131
step_005C,Wetjen,1.0,1.6848565600731937,0.01868634259216128,1.1104742152240101,-0.07978959867517912,1.4,-0.005033382760690656,0.18651542758807302,a_NE=ub,a_NE=ub,7.8948744768773835,14.665666724699014,14.472404545729395
