gamma_Si,obj,obj_ratio_to_best,rmse_pocv,a_PE,b_PE,a_NE,b_NE,bounds,LAM_PE_pct,LAM_NE_pct,LLI_pct,n_ok,n_tried,run_id,profile_scale,inputs_sha,ref_inputs_sha,consumed_inputs,ref_consumed_inputs,gamma_roster
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
0.475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,1.0,synthetic-new,global,d74d13a27989,61cb81bfbbe2,"{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""1111111111111111111111111111111111111111111111111111111111111111""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""half_cell"": {""path"": ""half.xlsx"", ""sha256"": ""5555555555555555555555555555555555555555555555555555555555555555""}, ""full_cell"": {""path"": ""full.xlsx"", ""sha256"": ""2222222222222222222222222222222222222222222222222222222222222222""}, ""literature"": {""gr"": {""path"": ""gr.csv"", ""sha256"": ""3333333333333333333333333333333333333333333333333333333333333333""}, ""si"": {""path"": ""si.csv"", ""sha256"": ""4444444444444444444444444444444444444444444444444444444444444444""}}}","{""authority"": 21, ""requested"": 21, ""succeeded"": 20, ""missing"": [0.5]}"
