cond_id,window,lli,lam_pe,lam_ne,pvs,v_peak,dqdv_peak,v_valley,dqdv_valley
0db6a9b22ef1,21,0.16,0.04,0.02,-15.858837273872721,3.5507645383201965,6.582356807322459,3.7213984255819237,3.876301755830384
0e372ecb4144,21,0.16,0.08,0.06,-10.159951383916004,3.6277104704745575,5.036231259270631,3.7222105102456067,4.0761154494186425
0e6227faceee,21,0.02,0.08,0.16,-37.33801143104746,3.60519079927964,8.949965811479107,3.73615078742386,4.060180277140378
0f0489890b0d,21,0.18,0.02,0.14,-101.09966086161616,3.5540328759556763,7.991852657788469,3.5958403149872833,3.765134750200307
0f05e16794ab,21,0.02,0.02,0.06,-17.585640671330232,3.6495041207057537,7.682492211346187,3.8263349645701483,4.5728085315388425
0f0f78fca75b,21,0.2,0.0,0.06,-55.68270835762344,3.5992395330111293,6.165103105456164,3.6518050476374917,3.238112884848038
0f3f2b8dfc0e,21,0.2,0.04,0.08,-36.09770515744642,3.5676136839784642,7.24150987924748,3.6699251195888527,3.5483018423486126
0f4ede8601aa,21,0.16,0.06,0.12,-9.767175994940665,3.630131653318097,5.021549558695412,3.715775062176488,4.185055311568848
0f6451402054,21,0.02,0.0,0.04,-10.2187465283102,3.6595811807952185,7.061667630515445,3.860582045917239,5.007690737862453
103111f3bc5e,21,0.12,0.06,0.1,-3.003362184713124,3.5993126129293103,5.683465283108816,3.897370924570886,4.788288221085068
10457c415183,21,0.16,0.0,0.18,-67.46601758769889,3.552466009926303,5.705104874646539,3.5795050538456326,3.8808882620304743
1083e18fa65b,21,0.18,0.08,0.08,-9.676931410183222,3.6458468338549483,4.600622815637347,3.7180283472034343,3.902127261880824
10dbc3409477,21,0.06,0.02,0.16,-18.248856060869947,3.6552074520199844,7.346997360734395,3.8224413161221205,4.295170646231429
10fdff3adc7b,21,0.1,0.04,0.0,-10.558705976088703,3.6138050363390217,5.706572289465495,3.721757833541991,4.566730444503009
113f84d8b57b,21,0.14,0.08,0.0,-11.418700272796752,3.624727885601004,5.2737687035896545,3.7232676411365992,4.148572770174029
11a46df28029,21,0.02,0.06,0.02,-19.683322850460872,3.6416454760334434,7.900343915064453,3.8193742408980604,4.402051256420548
11cf8951e191,21,0.16,0.08,0.04,-9.905659987593678,3.6347658272849173,4.9439998557685705,3.727968459955613,4.0207662665840695
11f5325e7ed8,21,0.14,0.0,0.1,-7.304097572958396,3.5523563807348273,5.240866089719865,3.7109949580791657,4.08215444196151
1241a105a065,21,0.12,0.14,0.18,-24.25327293439879,3.6363297896355604,7.4751887173248015,3.79628802674654,3.5956779345669316
127e390eeb73,21,0.16,0.02,0.02,-23.031659179383986,3.5529908536693964,7.997895704845135,3.7304570694990375,3.91055430600184
12afc1b3d564,21,0.06,0.02,0.1,-8.90548590692785,3.6657807052500226,6.596169780144778,3.861722446373955,4.851213365986693
12ec8e405b71,21,0.08,0.08,0.1,-13.483490211583181,3.650220378359089,7.020384300570758,3.8390815132525016,4.473877036886938
131c6abca183,21,0.08,0.02,0.1,-3.5442359355589383,3.591186593410821,5.941628125742997,3.8908728995464745,4.879469150142096
132b66bbcb45,21,0.0,0.02,0.08,-28.763615089193873,3.635179417231523,8.557757738123998,3.7922746094710584,4.039132096183086
133ac2584d63,21,0.08,0.12,0.12,-25.36299350900513,3.6332707454852624,7.821049296503834,3.794972358182725,3.7198123432624337
13742dce8554,21,0.0,0.0,0.14,-34.37650223226806,3.633391973705785,8.86537507028018,3.777061481216914,3.9265199246149947
13bf9f496a55,21,0.1,0.06,0.16,-11.052723838364265,3.661770091566982,6.556835617912633,3.848312537234467,4.495033481816852
1431e26fc583,21,0.06,0.06,0.08,-13.429120431858925,3.6503994122052483,7.166184027222936,3.8432134740627295,4.576860769582925
144764fd8f75,21,0.04,0.06,0.2,-39.35232210610879,3.6196492316651456,8.83020493148886,3.746570872629392,3.8355436340279434
157a8ef23940,21,0.1,0.06,0.18,-14.454710022978269,3.6586358696060852,6.804452558023148,3.8320001957503624,4.298521495278591
15ba36f206f9,21,0.12,0.04,0.12,-2.6594644378011734,3.607527860920245,5.586331332547711,3.8984359935829462,4.812671499064111
15f72021dc8e,21,0.18,0.12,0.12,-8.25153560067575,3.610907113283033,5.22859845188999,3.7229977025702823,4.3036789638855275
168db1526133,21,0.04,0.1,0.02,-20.55630011896966,3.635360491636771,7.82415486223119,3.81148799211753,4.20362510314474
1693294e7178,21,0.2,0.14,0.06,-10.396684158521317,3.6283447493556533,4.816685495918472,3.7244822800813115,3.817173953183665
16974c67e866,21,0.1,0.02,0.08,-7.25467828477475,3.608231518991607,5.69920090779889,3.720906030992288,4.881783572339956
16a7ad73bb51,21,0.2,0.12,0.2,-6.390955218627314,3.610919811747387,5.034623458041643,3.7128566068464934,4.383149965432866
16de774e97e4,21,0.16,0.0,0.02,-37.01975953010759,3.5652557322566607,7.664956120431293,3.67106710649252,3.74784449066956
1739de308f18,21,0.16,0.16,0.14,-7.60116304807862,3.6572180683978046,5.98351516261425,3.8733605328637806,4.340581048594827
176848d78460,21,0.14,0.02,0.1,-9.038133579923608,3.6394920499078616,4.9169358096023625,3.720336511600934,4.1862527656233555
17eb9c21ac53,21,0.08,0.06,0.04,-3.9656250409956226,3.57829608414679,6.045102089262066,3.897608045073291,4.778830581122518
18374ded4fef,21,0.1,0.1,0.18,-24.024610903827615,3.643497962543835,7.550178376992229,3.801165399088605,3.762279561800197
18431cda48a4,21,0.16,0.08,0.08,-9.999507707743664,3.6241118721800607,5.115031324958959,3.7204714034524287,4.151483449286349
18afa9961d77,21,0.18,0.06,0.16,-8.412936344945969,3.6381690122153745,4.69322632659049,3.7181926634355347,4.019992442785124
191d2422b7c3,21,0.14,0.14,0.08,-5.263801895767791,3.6572907746605647,5.6917078080486165,3.898742164297505,4.4207555255419235
1925e230275d,21,0.14,0.04,0.0,-5.956071369141411,3.59465495709626,4.743663251188293,3.715193960453992,4.0257243444244635
19980bb952c0,21,0.2,0.2,0.06,-8.112964925978517,3.590527191934875,5.318533112344532,3.7431282447216354,4.080486123418148
19b0705ab6dd,21,0.04,0.04,0.14,-28.129677059207182,3.6393775848493513,8.198258625898887,3.79185037316302,3.909248330318521
19bde27ba6c5,21,0.1,0.04,0.16,-7.52771834443012,3.672273938525661,6.1202088711807665,3.8623193560428883,4.689600495461452
1a1d959d9e05,21,0.04,0.0,0.02,-3.998704714604179,3.5857197512351986,6.27074776526502,3.8983236091761557,5.02073724471306
1a7cbfc52f75,21,0.2,0.14,0.2,-3.0141942043478327,3.5972697495395174,5.150079448868486,3.8997645109114223,4.23830149229571
1b297dadab42,21,0.2,0.0,0.12,-70.62451919421228,3.587491242513689,6.621682067721213,3.6344941940466255,3.3021212149987145
1b3a6b6e476a,21,0.18,0.0,0.0,-63.604279957608085,3.5879786402492253,6.636146978066652,3.6385669054130085,3.4185167980196707
1b4a5b2f3bc0,21,0.02,0.04,0.08,-25.582534733359985,3.6380465057422278,8.218906419913784,3.799455705844254,4.089649952019841
1b91c75c23c2,21,0.18,0.02,0.02,-34.21346127228175,3.570754871499023,7.2473612513678205,3.6775275731920365,3.5942975570570166
1b965d6e1f30,21,0.0,0.0,0.18,-40.05825472750447,3.6260034924078153,9.171835169460262,3.7561235733536935,3.959451821766771
1ba4273a2e86,21,0.08,0.14,0.04,-17.030212910524963,3.6385609415239495,7.341612567828253,3.8217119459262454,4.222511968080659
1c34d2fa2535,21,0.04,0.08,0.18,-37.464531528773115,3.6131790890344773,8.780744554882881,3.745108734929212,3.838062176679726
1c70bf508760,21,0.18,0.2,0.14,-17.02765494047015,3.651108883606675,5.993677321781695,3.7592399419152307,4.152458972555754
1cb258b3058f,21,0.2,0.12,0.18,-8.125690231153325,3.614860721336047,5.002934710623022,3.7092095581645523,4.236285288884958
1ccfb5ff43e3,21,0.04,0.0,0.0,-3.9382055068500823,3.5899712596031996,6.280334500191716,3.899707746636489,5.060528561284817
1d1f73a3ad01,21,0.12,0.18,0.0,-17.532658297137,3.6448510607043056,6.2787982312434965,3.758394930779672,4.288072355477579
1d34a5952e18,21,0.12,0.04,0.2,-6.337421593416344,3.6813596088920106,5.78797316554244,3.865762145835207,4.6193365460378715
1da093ff438b,21,0.06,0.02,0.2,-26.464878743702936,3.649027007188582,7.843611094334467,3.796901261772314,3.9301368774605367
1daeded75e06,21,0.18,0.02,0.1,-91.43839794110974,3.558802129842287,7.768152475055926,3.6029780170147614,3.728780124377663
1dc6a342bf46,21,0.12,0.06,0.06,-8.033060249564379,3.60687924364007,5.647056240818872,3.7279242498650427,4.674694412904771
1ddab3caba42,21,0.08,0.12,0.2,-34.045658868419174,3.6152512206415537,8.356114468760108,3.7546358154356314,3.6106741028881033
1e0676521fa5,21,0.2,0.04,0.04,-70.92352982850568,3.5747741100714023,6.967927635898915,3.623963879404709,3.479215563330835
1e0718d0b8bb,21,0.12,0.08,0.2,-14.284839347134561,3.658566091711439,6.66349446406743,3.831413701735988,4.194394123330581
1e1b80218bb6,21,0.1,0.1,0.06,-6.540122785911461,3.6582051429216236,6.18747885170501,3.891362960716201,4.662598094833303
1e7a05788be6,21,0.0,0.02,0.02,-18.53923119675721,3.6450785000975285,7.949390900085565,3.8260174243106873,4.594922351605285
1e812b6d350f,21,0.14,0.1,0.02,-9.998041572838302,3.6080797363936257,5.542366785029156,3.7259591199886306,4.363803807265743
1ec0e1c6ef30,21,0.14,0.04,0.18,-2.558473479042244,3.6107675670592667,5.356112634859567,3.8982392455842403,4.6206239693776645
1ec6a7486947,21,0.08,0.14,0.2,-34.77448788112482,3.605393399471767,8.362927654190054,3.738078716276669,3.7488637129547886
1f6dfdf404ec,21,0.2,0.04,0.18,-102.34027091860403,3.552735781867389,7.869373165886053,3.593921309708778,3.6544350886725634
20139b46c0c9,21,0.18,0.08,0.06,-5.3847969736862655,3.5952960127825113,4.5000534099066405,3.715551636131197,3.852501293229882
203f7ef75b97,21,0.12,0.1,0.18,-15.446106050402951,3.6534132496485268,6.821039950543167,3.827924544169127,4.125519988384872
204115119e8e,21,0.2,0.12,0.02,-4.751419395903621,3.550952746510232,4.487130083014823,3.7186987686150017,3.6900983800005425
2081629009f3,21,0.14,0.0,0.04,-22.147624496331854,3.550367086625447,7.71117875108444,3.7185675614737206,3.9859377940401632
208b7a6eb81b,21,0.0,0.06,0.02,-26.73782024765692,3.630005386066462,8.465812582169676,3.7956704320001355,4.036290362675287
208b8b6e2fe3,21,0.02,0.02,0.0,-8.910709032110955,3.657968257882584,6.9907711822166645,3.8748599288101264,5.058112611092976
2093a7f6fcc6,21,0.0,0.0,0.06,-21.540478003851874,3.647610317150406,8.055705269972561,3.814596278775351,4.4587478366383815
212360526b85,21,0.06,0.12,0.0,-21.493482822332588,3.6405135939113533,7.300065772839672,3.7713793772977304,4.4873043055934785
212b0bf23952,21,0.18,0.14,0.14,-3.0319084777674017,3.5944089372656842,5.355258362025192,3.898909561646006,4.432040337481028
21456f58cbb7,21,0.14,0.2,0.1,-16.350228540268294,3.636203293759687,6.894850455607839,3.819001097047372,3.906064595195181
21b2a37f9fcc,21,0.18,0.14,0.2,-5.580054053013416,3.66846126890737,5.483403761051967,3.8765760156733418,4.322112224868645
2200c241b546,21,0.2,0.06,0.04,-35.99067238612602,3.561626737350778,7.369140752226941,3.666346058852553,3.600221959559163
22190ca00fc9,21,0.14,0.14,0.0,-8.435423497412001,3.589154791898568,5.7183128244153325,3.744048447434028,4.411719242911472
223e8e8c714c,21,0.18,0.02,0.16,-104.47923811474085,3.5507356620096386,8.113751210494904,3.592283051023938,3.772911660624144
22794c2d2a3f,21,0.12,0.08,0.0,-10.185096374931396,3.6079909790195384,5.6816612767492405,3.72560838755806,4.4837166354147175
22c5cd595538,21,0.2,0.02,0.12,-84.27151554126138,3.5758091434423975,7.090361623850305,3.6190203141500015,3.4488907800083615
2339ebbb1cf9,21,0.16,0.06,0.18,-7.79817050027157,3.6176135870098167,5.184201432338158,3.7006863212801404,4.536386086574421
234ff1326e54,21,0.08,0.02,0.18,-13.459542848180936,3.6634435153400267,6.776493163264612,3.8354133148058263,4.461858278761599
235ec4d3026c,21,0.1,0.08,0.04,-3.699655824613477,3.5822107108973897,5.929612512604989,3.8979663926260755,4.761425165542658
2388d4ab230f,21,0.06,0.12,0.06,-23.389554067265763,3.6314421462282285,7.845753977069147,3.8001278547043746,3.9002704782912954
238ae746a336,21,0.06,0.08,0.1,-22.002883192672403,3.641846636689844,7.72357393529011,3.8078560858310344,4.07088741695661
23af37bfb82e,21,0.18,0.1,0.18,-5.609086979584989,3.6099419197014053,5.173762662534297,3.728132282880351,4.510822635314851
23bdb886fec5,21,0.04,0.08,0.06,-22.671318930596268,3.637390507296215,7.945918822115248,3.8075823226674705,4.0874458964563605
23e8cee5b9d6,21,0.06,0.02,0.06,-5.241005810934161,3.668318474082322,6.122439341938384,3.8917854632889677,4.951247552954393
244e5aacc08c,21,0.2,0.04,0.12,-93.0789968538961,3.562648443266163,7.491212745914114,3.6043715808045325,3.6076649582455618
24934d0846db,21,0.12,0.14,0.12,-14.047964121119342,3.6460978441947076,6.862248409738984,3.8362602067312928,4.190854363637747
24e83d8ff328,21,0.2,0.12,0.06,-9.878501327597299,3.643020221410105,4.527989593943447,3.7195015546279153,3.772468642214895
256c982b10ae,21,0.2,0.14,0.16,-6.668236104237805,3.6079723947834617,5.121718125330396,3.731441321375489,4.2983981712779515
259a149a9d7b,21,0.06,0.1,0.02,-21.31989601414818,3.645148247405044,7.2022122072698025,3.7668707680452425,4.6071007246407625
25cdd11752a4,21,0.18,0.08,0.18,-8.545911005972012,3.6204628838612587,4.998175385162519,3.7056967448442175,4.269774394506762
25d5de5fae78,21,0.12,0.06,0.14,-3.3653002371331775,3.5922280978403,5.678844059243685,3.8913162658840914,4.672322576402186
25f9f86d4a00,21,0.16,0.04,0.18,-8.551001714568649,3.6283180143924048,4.986418212707164,3.708037221852833,4.304739133028988
2646d49d71c9,21,0.16,0.2,0.2,-24.47488657408645,3.6293516580604277,7.215836532832435,3.7879461136057193,3.3342552220824273
26999a50a053,21,0.1,0.08,0.16,-15.637704995966127,3.653623777976742,6.965955474885778,3.8285375546312044,4.230705435832991
2732e62c103c,21,0.16,0.1,0.18,-3.1597984637311183,3.5933960359102213,5.415705325215987,3.8952492270156034,4.4619100756888646
279d3a920b34,21,0.02,0.04,0.12,-31.901996674455354,3.6325173775632376,8.58116174163229,3.7808697370789,3.8484252617160157
27ced9b6fc5f,21,0.1,0.04,0.12,-3.4514247603966566,3.591636209016877,5.80926177837076,3.891055140556305,4.775839864324067
27e68d80c72d,21,0.04,0.02,0.18,-30.91177072129578,3.6414721174999594,8.317937292433141,3.7858587875131944,3.854689653772627
282a43e3f296,21,0.06,0.06,0.06,-10.664261498430234,3.6533426285344532,6.935656604420343,3.858377885315295,4.749107009711658
2838ce5a54e9,21,0.14,0.0,0.14,-8.769829582907075,3.6452003788999434,4.815989624294912,3.7151996902326876,4.2021075929858895
284f476b7b5f,21,0.16,0.0,0.14,-113.65614633392971,3.5506272559491756,8.01194949946917,3.586934003829835,3.8854644494358577
28807c8d36c8,21,0.16,0.2,0.14,-14.848999575542575,3.6403828303085035,6.671414386372141,3.827237756614798,3.8968056649619327
28bc1f5ef305,21,0.04,0.0,0.18,-26.61237631769361,3.649524476159827,7.988607976113281,3.798371884428347,4.0274247333580515
28de8bbf01bb,21,0.06,0.04,0.12,-16.04544352168523,3.6540459906865763,7.25607286798228,3.8297044774659956,4.437554539258416
28f5982fbd9c,21,0.1,0.0,0.06,-10.104801711032984,3.6244259821688276,5.470900984681987,3.715759744727376,4.547991424505287
290d05dfdd10,21,0.16,0.04,0.16,-8.727922325748905,3.6328234891008893,4.922003677766445,3.7144996851723517,4.2091401825920824
292456222683,21,0.1,0.12,0.1,-14.247798307667937,3.6464758238190917,7.006067635590994,3.8367321376302477,4.2953340496492665
294299380962,21,0.14,0.06,0.02,-10.544145632886936,3.6311533917954284,5.1012731926361585,3.72337834411469,4.128839864395811
295c37420c16,21,0.14,0.2,0.08,-19.70186923531866,3.637336444548987,6.708721599837846,3.7712187744182923,4.070989443832992
2996d21f2ba1,21,0.14,0.12,0.02,-8.55060374695238,3.595448992725291,5.664989599209468,3.73717669331773,4.453132191476813
29dd2f8f234a,21,0.1,0.14,0.1,-18.790079931493455,3.6392772875256125,7.312342614186379,3.8163493905299957,3.9851436450963775
2a18b3c79215,21,0.08,0.04,0.06,-3.821697514511876,3.5862545586466315,6.008757183710448,3.8983677663892395,4.815954913434194
2ade0d60032d,21,0.0,0.04,0.1,-34.55892133761104,3.6238575726335243,8.891371014409255,3.7697032511790645,3.851101682123425
2b01963adbcc,21,0.0,0.02,0.18,-42.02134236720074,3.6171210781726875,9.260987780705047,3.7406481480590354,4.070214485393686
2b2b502c9c56,21,0.16,0.12,0.04,-9.818728675681289,3.6080922111169857,5.403466275413995,3.7262335715929584,4.243468311524562
2b41255e778c,21,0.02,0.08,0.02,-23.890433118903342,3.6330133158752673,8.149075839812193,3.8023123362875704,4.104448915556215
2b5b93976f79,21,0.04,0.06,0.08,-22.22991527989727,3.64240820738791,7.871551236229724,3.808819693373868,4.17223800116007
2be2ba7e3b40,21,0.08,0.1,0.14,-24.640131177403862,3.637998191114704,7.772692661316068,3.7995561686199335,3.7918829028311536
2c12f2d38aa1,21,0.2,0.2,0.04,-8.89048624065318,3.5939373536099923,5.3043370085431505,3.7388083790109983,4.01636315054619
2c23670c61b6,21,0.16,0.2,0.02,-7.3013517926674245,3.5631315240144437,5.586895819638315,3.7554318795051955,4.1828432743453305
2c52527a32ac,21,0.16,0.16,0.02,-8.298729194339122,3.5886804136261214,5.589185872774584,3.743768812793726,4.302149246899066
2c598d8da0c7,21,0.1,0.06,0.06,-3.5803282571738,3.590637214618897,5.889325370548219,3.8994735015025976,4.783590085777871
2caf6c0c28b5,21,0.16,0.06,0.0,-6.285795865284944,3.5529175629934335,4.91479558568861,3.7174645030996203,3.8804871099238523
2cd2899c09f2,21,0.08,0.1,0.0,-6.514801582644606,3.6524963889158557,6.284149211903045,3.8991202790731063,4.677443501988619
2cec7779420b,21,0.2,0.1,0.1,-9.548607368472494,3.6468421284638026,4.445345130722721,3.715391802070421,3.7907912122161798
2d4d08793dc5,21,0.06,0.0,0.06,-3.6959047492914805,3.593262272867857,6.0832632196746745,3.898300954794511,4.955869306424341
2d65be672eb6,21,0.06,0.08,0.0,-17.918266478666087,3.6534766974507638,6.639550821921152,3.7564430153409827,4.794572899637166
2dbe09cace89,21,0.04,0.04,0.04,-10.860029422910022,3.6534425839778972,7.079616711949053,3.858554239321009,4.852098099941079
2e2173eaa077,21,0.12,0.14,0.2,-27.20965922260698,3.6318851992229453,7.655264881234444,3.7854045220273718,3.478056423640603
2eccce80288f,21,0.16,0.2,0.12,-19.135839931211713,3.6421775733438704,6.4730084450034076,3.7668034123487124,4.088188338513789
2f3aab52c5a8,21,0.06,0.02,0.18,-22.304357503794666,3.653216580321127,7.593013777423694,3.8099817687820927,4.096466969840573
2f44f24b21c7,21,0.18,0.1,0.08,-9.99966713558317,3.631540217528795,4.881653181961533,3.7232448155590108,3.964637726856921
2ff7357a6b75,21,0.16,0.14,0.12,-3.614644886410626,3.5812301125969475,5.525872311493988,3.8966096288339838,4.385887355849127
302076d1aaa7,21,0.14,0.04,0.2,-2.623296442366415,3.606673950789728,5.374452787266688,3.894550860272904,4.619266314780034
30325b108573,21,0.2,0.08,0.02,-36.28468492272633,3.5522370552818745,7.564675146793578,3.658314875316068,3.715674869563204
3054580a37be,21,0.02,0.0,0.1,-20.211075440563015,3.6516052861344344,7.784617208410518,3.817542186085583,4.430854005124697
30812db20453,21,0.12,0.16,0.16,-24.93757908615814,3.631428176502795,7.521679744224315,3.791699730394747,3.5248951937823128
3097bb9bc056,21,0.2,0.16,0.0,-10.380986236219798,3.6287943013187443,4.795931071149966,3.7314099222097825,3.7306797230589495
312bef34944b,21,0.12,0.18,0.16,-27.708888979718566,3.6228394568266844,7.662568382946365,3.777691485559036,3.3717907105174443
3162056f324a,21,0.1,0.12,0.2,-30.181329477690547,3.6284442298147237,7.967856540160991,3.776359808367655,3.503567728971759
319b8d988c50,21,0.2,0.08,0.0,-34.21858131302788,3.5556314319073348,7.4570464702993915,3.6667775593323944,3.653783671376832
322547fb4c2a,21,0.04,0.08,0.12,-31.59761378507708,3.6255134239955433,8.442926524730915,3.7751212211005702,3.715677132570101
32b460713bd7,21,0.08,0.04,0.16,-14.64655103825434,3.658689214061423,6.948113141506364,3.8325424439008744,4.4017629374974785
330a747d8653,21,0.2,0.18,0.06,-9.554745455135981,3.6039820805975737,5.222472567627721,3.7290007607184754,4.027950901935436
332a2926ca25,21,0.02,0.0,0.08,-16.426022774191043,3.6544089468681733,7.540902653498502,3.830728809786204,4.644668569664687
333a0406ab51,21,0.1,0.12,0.0,-7.3928002922642895,3.568035040022265,5.962652055154564,3.7530472639024413,4.594893632380732
337369b742af,21,0.08,0.04,0.04,-3.7051963493952473,3.5903384273105523,6.020835896764516,3.8995250749793158,4.875238658540459
340614b7b9a1,21,0.04,0.02,0.06,-10.020205728029671,3.659660718508085,6.918770830478606,3.8605220273715903,4.906099192864975
340cd9459c22,21,0.14,0.12,0.1,-3.7124272625210835,3.5812428541135732,5.653598205640006,3.8969038326406356,4.4817297832420575
34d5ea5e969d,21,0.1,0.1,0.0,-7.518470313049794,3.5799757488427875,5.975415695511078,3.752089636193304,4.681382543002623
34ee4d356e20,21,0.1,0.14,0.16,-27.775403347854347,3.6284493872431494,7.829896927788237,3.7838392059284987,3.5138820376527065
34f4e26b968a,21,0.08,0.08,0.04,-6.699244394879265,3.658334052842913,6.331454293031969,3.891664425469256,4.768317102059853
354594de66cd,21,0.16,0.2,0.16,-18.08928105899957,3.6371245546199216,6.863783740505328,3.8135210161416433,3.6728985702259003
