case,mAh,ps_label,p_frac,am_wt,dem_porosity_pct,mpm_porosity_pct,dem_cov_amp_hertz,dem_cov_amp_tabor,mpm_cov_amp_plastic_tabor,mpm_cov_amp_rigid_tabor,sigma_ionic_hertz_mScm,sigma_ionic_physics_mScm,thickness_um,fracture_severe_pct,n_am,n_se,r_se,e_se
input_8mAh_real_8,8,5:5,0.500,87,16.2,17.30,17.4,45.8,76,73,0.0713,0.0449,132.26,0.43,3137,142097,0.5,1.35
input_8mAh_real_7,8,3:7,0.300,87,18.18,18.64,14.8,38.4,74,70,0.0526,0.0334,136.26,0.12,4303,142112,0.5,1.35
input_2mAh_real_10,2,10:0,1.000,82,17.75,17.95,18.3,47.5,75,72,0.1255,0.0894,35.84,52.69,53,49152,0.5,1.35
input_2mAh_real_9,2,7:3,0.700,82,13.47,14.58,23.8,66.3,80,77,0.1682,0.1076,33.98,5.48,464,49140,0.5,1.35
input_2mAh_real_8,2,5:5,0.500,82,13.01,14.39,25.8,72.7,82,78,0.1773,0.1097,33.99,1.01,736,49142,0.5,1.35
input_2mAh_real_7,2,3:7,0.300,82,12.91,14.95,25.9,73.5,82,79,0.1686,0.1028,33.8,0.11,1012,49150,0.5,1.35
input_2mAh_real_6,2,0:10,0.000,82,16.74,18.20,21.2,63.1,78,73,0.1272,0.0741,35.28,0.0,1423,49172,0.5,1.35
input_2mAh_real_20,2,10:0,1.000,92,29.32,9.68,7.9,18.6,46,45,0.0021,0.0019,32.21,53.57,52,18863,0.5,1.35
input_2mAh_real_19,2,7:3,0.700,92,20.36,16.51,10.5,26.8,53,49,0.0037,0.0032,28.29,2.74,450,18851,0.5,1.35
input_2mAh_real_18,2,5:5,0.500,92,20.97,18.64,10.7,27.3,54,50,0.0037,0.0031,28.61,1.14,716,18854,0.5,1.35
input_2mAh_real_17,2,3:7,0.300,92,22.74,20.83,7.9,20.0,50,47,0.002,0.0016,29.39,0.3,983,18868,0.5,1.35
input_2mAh_real_16,2,0:10,0.000,92,28.12,25.41,6.3,17.3,47,41,0,0,31.29,0.0,1383,18873,0.5,1.35
input_2mAh_real_15,2,10:0,1.000,87,24.56,21.30,11.2,26.4,64,62,0.0171,0.0148,34.07,60.0,52,32865,0.5,1.35
input_2mAh_real_14,2,7:3,0.700,87,15.64,15.91,18.4,48.3,74,70,0.0631,0.0452,30.28,4.09,457,32832,0.5,1.35
input_2mAh_real_13,2,5:5,0.500,87,15.15,15.35,20.1,54.4,72,69,0.0649,0.0417,30.26,1.06,726,32870,0.5,1.35
input_2mAh_real_12,2,3:7,0.300,87,16.48,16.25,17.8,48.0,73,69,0.0579,0.0361,30.9,0.29,996,32863,0.5,1.35
input_2mAh_real_11,2,0:10,0.000,87,21.79,21.28,13.2,37.7,66,60,0.0288,0.0191,32.8,0.0,1400,32885,0.5,1.35
input_8mAh_real_6,8,0:10,0.000,87,22.21,22.80,10.9,30.3,65,59,0.0283,0.0188,144.73,0.0,6144,144362,0.5,1.35
input_8mAh_real_13,8,5:5,0.500,92,20.25,20.67,10.0,25.0,58,54,0.005,0.0039,125.82,1.82,3187,83799,0.5,1.35
input_8mAh_real_12,8,3:7,0.300,92,22.77,22.46,8.3,20.6,54,50,0.0019,0.0014,129.19,0.74,4307,82585,0.5,1.35
input_8mAh_real_11,8,0:10,0.000,92,27.37,27.76,5.7,15.5,47,41,0.0001,0.0001,137.62,0.0,6147,83863,0.5,1.35
input_1mAh_5_AMP_S5,1,10:0,1.000,80,20.19,18.12,17.3,45.4,76,72,0.1116,0.0839,20.05,49.23,48,28393,0.5,1.35
input_1mAh_5_AMP_S4,1,10:0,1.000,80,19.15,16.59,19.2,51.5,77,73,0.1059,0.082,19.79,56.52,48,28393,0.5,1.35
input_1mAh_5_AMP_S3,1,10:0,1.000,80,21.1,17.67,17.2,45.4,76,72,0.1014,0.0778,20.28,56.93,48,28399,0.5,1.35
input_1mAh_5_AMP_S2,1,10:0,1.000,80,20.43,17.56,18.8,49.8,78,75,0.1013,0.0778,20.11,57.75,48,28394,0.5,1.35
input_1mAh_5_AMP_S1,1,10:0,1.000,80,20.25,17.12,17.9,48.0,77,73,0.099,0.0772,20.06,38.09,48,28392,0.5,1.35
input_1mAh_8_S4,1,5:5,0.500,85,16.64,13.57,18.9,49.9,73,69,0.0668,0.0474,16.98,5.62,213,19952,0.5,1.35
input_1mAh_8_S3,1,5:5,0.500,85,15.52,12.37,20.3,55.4,74,70,0.0543,0.0395,16.75,3.56,213,19932,0.5,1.35
input_1mAh_8_S2,1,5:5,0.500,85,17.22,13.52,20.0,53.7,67,64,0.0506,0.0392,17.09,6.02,213,19935,0.5,1.35
input_1mAh_8_S1,1,5:5,0.500,85,16.83,12.89,19.9,53.8,71,67,0.0518,0.0394,16.98,4.43,212,19929,0.5,1.35
input_1mAh_8_AMS_S5,1,0:10,0.000,85,21.39,17.76,15.2,42.5,69,64,0.034,0.0255,17.91,0.0,378,19972,0.5,1.35
input_1mAh_8_AMS_S3,1,0:10,0.000,85,20.65,17.41,15.5,42.9,71,65,0.045,0.0322,17.74,0.0,378,19970,0.5,1.35
input_1mAh_8_AMS_S2,1,0:10,0.000,85,20.39,17.73,15.9,44.0,71,65,0.0487,0.0334,17.68,0.0,378,19970,0.5,1.35
input_1mAh_8_AMS_S1,1,0:10,0.000,85,21.07,17.86,15.4,42.9,70,64,0.0436,0.031,17.84,0.0,378,19971,0.5,1.35
input_8mAh_real_16,8,0:10,0.000,77,16.01,17.02,17.5,17.5,83,80,0.2687,0.1651,170.35,0.0,6149,289587,0.5,1.35
input_8mAh_real_20,8,10:0,1.000,77,11.87,12.58,20.2,20.2,82,80,0.3737,0.2321,161.78,2.16,228,286786,6.0,1.35
