ps,am_wt,c_const,c_bimodal,c_bimodal_sym,c_lam_SE_sat,c_se_solid,c_rAM_eff,c_lamSE_x_amwt,c_sefill_x_bim,c_rSE,porosity_pct
4:6,87.5,33.72,-21.04,14.11,-38.08,-5.97,10.72,19.34,5.46,-1.76,16.5
4:6,90,33.72,-21.04,14.11,-38.08,-4.93,10.72,19.89,4.5,-1.76,17.1
5:5,70,33.72,-23.31,14.7,-38.08,-11.87,11.92,15.47,12.01,-1.76,12.8
5:5,72.5,33.72,-23.31,14.7,-38.08,-11.15,11.92,16.02,11.29,-1.76,13.3
5:5,75,33.72,-23.31,14.7,-38.08,-10.4,11.92,16.58,10.53,-1.76,13.9
5:5,77.5,33.72,-23.31,14.7,-38.08,-9.61,11.92,17.13,9.73,-1.76,14.4
5:5,80,33.72,-23.31,14.7,-38.08,-8.78,11.92,17.68,8.88,-1.76,15.0
5:5,82.5,33.72,-23.31,14.7,-38.08,-7.89,11.92,18.23,7.99,-1.76,15.5
5:5,85,33.72,-23.31,14.7,-38.08,-6.96,11.92,18.79,7.05,-1.76,16.0
5:5,87.5,33.72,-23.31,14.7,-38.08,-5.97,11.92,19.34,6.05,-1.76,16.6
5:5,90,33.72,-23.31,14.7,-38.08,-4.93,11.92,19.89,4.99,-1.76,17.1
6:4,70,33.72,-24.39,14.11,-38.08,-11.87,13.11,15.47,12.57,-1.76,12.9
6:4,72.5,33.72,-24.39,14.11,-38.08,-11.15,13.11,16.02,11.81,-1.76,13.4
6:4,75,33.72,-24.39,14.11,-38.08,-10.4,13.11,16.58,11.02,-1.76,13.9
6:4,77.5,33.72,-24.39,14.11,-38.08,-9.61,13.11,17.13,10.18,-1.76,14.4
6:4,80,33.72,-24.39,14.11,-38.08,-8.78,13.11,17.68,9.29,-1.76,14.9
6:4,82.5,33.72,-24.39,14.11,-38.08,-7.89,13.11,18.23,8.36,-1.76,15.4
6:4,85,33.72,-24.39,14.11,-38.08,-6.96,13.11,18.79,7.37,-1.76,15.9
6:4,87.5,33.72,-24.39,14.11,-38.08,-5.97,13.11,19.34,6.33,-1.76,16.4
6:4,90,33.72,-24.39,14.11,-38.08,-4.93,13.11,19.89,5.22,-1.76,16.9
7:3,70,33.72,-24.27,12.35,-38.08,-11.87,14.3,15.47,12.5,-1.76,12.4
7:3,72.5,33.72,-24.27,12.35,-38.08,-11.15,14.3,16.02,11.75,-1.76,12.9
7:3,75,33.72,-24.27,12.35,-38.08,-10.4,14.3,16.58,10.96,-1.76,13.4
7:3,77.5,33.72,-24.27,12.35,-38.08,-9.61,14.3,17.13,10.13,-1.76,13.9
7:3,80,33.72,-24.27,12.35,-38.08,-8.78,14.3,17.68,9.25,-1.76,14.4
7:3,82.5,33.72,-24.27,12.35,-38.08,-7.89,14.3,18.23,8.32,-1.76,14.9
7:3,85,33.72,-24.27,12.35,-38.08,-6.96,14.3,18.79,7.34,-1.76,15.4
7:3,87.5,33.72,-24.27,12.35,-38.08,-5.97,14.3,19.34,6.3,-1.76,15.9
7:3,90,33.72,-24.27,12.35,-38.08,-4.93,14.3,19.89,5.19,-1.76,16.4
8:2,70,33.72,-22.96,9.41,-38.08,-11.87,15.49,15.47,11.83,-1.76,11.2
8:2,72.5,33.72,-22.96,9.41,-38.08,-11.15,15.49,16.02,11.12,-1.76,11.8
8:2,75,33.72,-22.96,9.41,-38.08,-10.4,15.49,16.58,10.37,-1.76,12.4
8:2,77.5,33.72,-22.96,9.41,-38.08,-9.61,15.49,17.13,9.58,-1.76,12.9
8:2,80,33.72,-22.96,9.41,-38.08,-8.78,15.49,17.68,8.75,-1.76,13.5
8:2,82.5,33.72,-22.96,9.41,-38.08,-7.89,15.49,18.23,7.87,-1.76,14.0
8:2,85,33.72,-22.96,9.41,-38.08,-6.96,15.49,18.79,6.94,-1.76,14.6
8:2,87.5,33.72,-22.96,9.41,-38.08,-5.97,15.49,19.34,5.96,-1.76,15.1
8:2,90,33.72,-22.96,9.41,-38.08,-4.93,15.49,19.89,4.91,-1.76,15.7
9:1,70,33.72,-20.45,5.29,-38.08,-11.87,16.68,15.47,10.53,-1.76,9.5
9:1,72.5,33.72,-20.45,5.29,-38.08,-11.15,16.68,16.02,9.9,-1.76,10.2
9:1,75,33.72,-20.45,5.29,-38.08,-10.4,16.68,16.58,9.23,-1.76,10.8
9:1,77.5,33.72,-20.45,5.29,-38.08,-9.61,16.68,17.13,8.53,-1.76,11.5
9:1,80,33.72,-20.45,5.29,-38.08,-8.78,16.68,17.68,7.79,-1.76,12.1
9:1,82.5,33.72,-20.45,5.29,-38.08,-7.89,16.68,18.23,7.01,-1.76,12.7
9:1,85,33.72,-20.45,5.29,-38.08,-6.96,16.68,18.79,6.18,-1.76,13.4
9:1,87.5,33.72,-20.45,5.29,-38.08,-5.97,16.68,19.34,5.3,-1.76,14.1
9:1,90,33.72,-20.45,5.29,-38.08,-4.93,16.68,19.89,4.37,-1.76,14.7
10:0,70,33.72,-5.58,0.0,-38.08,-11.87,17.87,15.47,2.87,-1.76,12.6
10:0,72.5,33.72,-5.58,0.0,-38.08,-11.15,17.87,16.02,2.7,-1.76,13.7
10:0,75,33.72,-5.58,0.0,-38.08,-10.4,17.87,16.58,2.52,-1.76,14.9
10:0,77.5,33.72,-5.58,0.0,-38.08,-9.61,17.87,17.13,2.33,-1.76,16.0
10:0,80,33.72,-5.58,0.0,-38.08,-8.78,17.87,17.68,2.13,-1.76,17.2
10:0,82.5,33.72,-5.58,0.0,-38.08,-7.89,17.87,18.23,1.91,-1.76,18.4
10:0,85,33.72,-5.58,0.0,-38.08,-6.96,17.87,18.79,1.69,-1.76,19.7
10:0,87.5,33.72,-5.58,0.0,-38.08,-5.97,17.87,19.34,1.45,-1.76,21.0
10:0,90,33.72,-5.58,0.0,-38.08,-4.93,17.87,19.89,1.19,-1.76,22.3
