metric,value,unit,cathode,cell,condition,stated_or_digitized,notes
cycle_retention_150cyc,65.6,percent,PC-NCM,ASSB,0.5C 150 cycles cut-off 3.9V In-Li,stated,PC 65.6% after 150 cyc ASSB (microcrack+contact loss)
microcrack_after_cycling,suppressed,qualitative,SC-NCM,both,cross-section FESEM after 100/150 cyc (Fig 5a/b Fig 7),stated_qualitative,SC monolith no microcrack -> integrity
microcrack_after_cycling,extensive,qualitative,PC-NCM,both,cross-section FESEM after 100/150 cyc (Fig 5a/b Fig 7),stated_qualitative,PC intergranular cracks along grain boundaries
GITT_overpotential_dV,smaller,V,PC-NCM,LIB,GITT 10min pulse + 1h relax 0.1C (Fig 4c),stated_qualitative,PC smaller dV in LIB (LE penetrates -> short diffusion in primaries)
GITT_overpotential_dV,larger,V,SC-NCM,LIB,GITT (Fig 4c),stated_qualitative,SC larger dV in LIB (longer solid diffusion length in monolith)
GITT_overpotential_dV,smaller,V,SC-NCM,ASSB,GITT dV-vs-SOC (Fig 6d),stated_qualitative,SC smaller dV in ASSB (opposite to LIB) -> ambipolar advantage
GITT_overpotential_dV,larger,V,PC-NCM,ASSB,GITT dV-vs-SOC (Fig 6d),stated_qualitative,PC larger dV in ASSB (GB+void bottleneck for ambipolar diffusion)
Rct_charge_transfer,lower,Ohm,PC-NCM,LIB,EIS Nyquist 2nd semicircle (Fig S7),stated_qualitative,PC lower Rct in LIB (larger interface area from primaries)
Rct_charge_transfer,higher,Ohm,SC-NCM,LIB,EIS Nyquist (Fig S7),stated_qualitative,SC higher Rct in LIB (smaller active interface)
composite_composition,60_35_5,wt percent,both,ASSB,NCM:LPSCl:SuperP composite cathode,stated,60:35:5 wt%
fab_pressure,437,MPa,both,ASSB,external pelletization pressure,stated,437 MPa composite/electrolyte stack
SE_separator_mass,100,mg,both,ASSB,LPSCl pellet 10 mm dia,stated,solid electrolyte separator
anode,In_Li,foil,both,ASSB,In foil + Li foil torque 11 N m,stated,In/Li anode
LIB_loading,17.0,mg,both,LIB,electrode area 1.131 cm2 roll-pressed 200 kgf/cm2,stated,LIB control electrode
post_heat_optimum,675,C,SC-NCM,powder,6h O2 atmosphere,stated,675C = D50 5um no structural damage
post_heat_range,600-700,C,SC-NCM,powder,6h O2 structural recovery,stated,600 low rate / 700 agglomeration
