# Thornton & Ning (1998) Powder Technology 99(2) 154-162, DOI 10.1016/S0032-5910(98)00099-0
# "A theoretical model for the stick/bounce behaviour of adhesive, elastic-plastic spheres" (Aston Univ.)
# The 4-phase NORMAL adhesive elasto-plastic contact LAW + JKR adhesion + restitution.
# This is the ANALYTICAL contact LAW (per-contact constitutive), the base model Varkey 2026 uses,
# and the "path A" yield-cap LAW that Luding 2008 (our hooke/hysteresis) LACKS.
# All values are STATED equations / parameters in the paper (no digitized-from-figure numbers unless flagged).
# E* = reduced modulus 1/E*=(1-v1^2)/E1+(1-v2^2)/E2 (eq5); R* reduced radius 1/R*=1/R1+1/R2 (eq6);
# m* reduced mass 1/m*=1/m1+1/m2 (eq8); alpha = relative approach (overlap); a = contact radius; Gamma = surface/interface energy.
category,phase_or_quantity,symbol,equation_or_value,paper_eq,notes
restitution,general COR (e=Vr/Vi),e,e=(6*sqrt(3)/5)^(1/2)·[1-(1/6)(V_y/V_i)^2]^(1/2)·[(V_y/V_i)/((V_y/V_i)+2*sqrt(6/5-(1/5)(V_y/V_i)^2))]^(1/4),eq44,satisfies e=1 at Vi=Vy
restitution,high-velocity limit,e,e=1.185·(V_y/V_i)^(1/4),eq46,valid for V_i>10*V_y; e ~ V^(-1/4)
restitution,sphere-plane high-V,e,e=1.324·(p_y^5/(E*^4·rho))^(1/8)·V_i^(-1/4),eq47,Johnson textbook prefactor 1.72 (assumed 2x plastic stiffness)
# ===== JKR ADHESION (elastic adhesive spheres) =====
jkr,pull-off force,P_c,P_c = (3/2)*pi*Gamma*R*,eq50,pull-off (separation) force; Gamma=interface energy
jkr,equilibrium contact at zero load,alpha_f,alpha_f=(3/4)*(pi^2·Gamma^2·R*/E*^2)^(1/3)=(3*P_c^2/(16*R*·E*^2))^(1/3),eq49,JKR overlap at P=0
jkr,jump-in force on contact,P_jump,P = -8*P_c/9,fig5 text,VdW force drops contact to -8Pc/9 on first touch (point A)
jkr,work to break contact,W_s,W_s=0.9355·P_c·alpha_f=7.09·(Gamma^5·R*^4/E*^2)^(1/3),eq52,energy to separate surfaces (integral of adhesive curve)
jkr,sticking velocity (sphere-sphere),V_s,V_s=(14.18/m*)^(1/2)·(Gamma^5·R*^4/E*^2)^(1/6),eq54,critical velocity below which sticking occurs
jkr,sticking velocity (sphere-plane),V_s_plane,V_s=1.84·((Gamma/R)^5/(rho^3·E*^2))^(1/6),eq55,
jkr,COR adhesive elastic,e,e=[1-(V_s/V_i)^2]^(1/2),eq57,e=0.995 at Vi=10*Vs
# ===== ADHESIVE ELASTIC-PLASTIC (JKR + plastic, combined) =====
adh_ep,JKR traction with py cap,p(r),p(r)=(2*E*·a/(pi*R*))[1-(r/a)^2]^(1/2)-(2*Gamma*E*/(pi*a))^(1/2)[1-(r/a)^2]^(-1/2),eq58,JKR distribution capped at p_y (Fig 7)
adh_ep,effective Hertz force,P_1,P_1 = P + 2*P_c +/- (4*P*P_c+4*P_c^2)^(1/2),eq60,gives same contact area as applied force P + pull-off P_c
adh_ep,adhesive plastic force,P,P=(4*E*·a^3)/(3*R*)-(8*pi*Gamma*E*·a^5)^(1/2)/... ,eq62,JKR loading force (relative approach eq61)
adh_ep,limiting pressure (adhesive),p_y,p_y = 2*E*·a_y/(pi*R*) - (2*Gamma*E*/(pi*a_y))^(1/2),eq65,p_y reduced by adhesion term vs eq9
adh_ep,plastic stiffness (adhesive),dPp/dalpha,dPp/dalpha = (3*pi*R*·p_y·sqrt(P_1)-2*E*·a_y·sqrt(P_c))/(3*sqrt(P_1)-sqrt(P_c)),eq69,
adh_ep,unload stiffness (adhesive),dP/dalpha,dP/dalpha = 2*E*·a·(3*sqrt(P_1r)-3*sqrt(P_cr))/(3*sqrt(P_1r)-sqrt(P_cr)),eq73,Ning 1995 thesis; R_p*=R*·P_1*/(P*+sqrt(4Pc·P1*)) eq76
adh_ep,enhanced pull-off (plastic),P_cr,P_cr = (3/2)*pi*Gamma*R_p*,eq77,pull-off force RISES with impact velocity (larger R_p*)
# ===== COMBINED adhesive elastic-plastic COR (additive dissipation) =====
combined,additive dissipation rule,e,(1-e^2)=(1-e_p^2)+(1-e_a^2),eq78,plastic work (e_p eq44) + adhesive rupture (e_a eq57) ADDITIVE
combined,COR Vi<=Vs,e,e=0,eq79,stick (no rebound)
combined,COR Vs<Vi<=Vy,e,e=[1-(V_s/V_i)^2]^(1/2),eq80,adhesive-only regime (elastic)
combined,COR Vi>Vy,e,e^2=(6*sqrt(3)/6)·[1-(1/6)(V_s/V_i)^2]·[(V_y/V_i)/((V_y/V_i)+2*sqrt(6/5-(1/5)(V_y/V_i)^2))]^(1/2)-(V_s/V_i)^2,eq81,full adhesive elastic-plastic
# ===== WORKED PARAMETER EXAMPLE (Fig 9/10 numerical sims, Ning 1995 thesis) =====
example,interface energy,Gamma,0.2 (also 0.4) J/m^2,fig9/fig10,STATED example values
example,limiting pressure case A,p_y,3.04 GPa,fig10,V_y=0.62 m/s, V_s=0.016 m/s, e_max=1.0
example,limiting pressure case B,p_y,1.0 GPa,fig10,V_y=0.045 m/s, V_s unchanged, e_max=0.9
example,limiting pressure case C,p_y,0.5 GPa,fig10,plastic at zero load (V_y=0) -> e_max=0.5, V_s rises to 0.032 m/s
example,yield velocity (illustrated),V_y,0.62 m/s,fig9,for the Gamma=0.2 / p_y=3.04 GPa case
# ===== LINK to our model: LPSCl numbers for path-A feasibility check =====
link_LPSCl,LPSCl yield stress range,sigma_y,0.05 - 0.30 GPa,our_baseline,LPSCl single-crystal->granular literature
link_LPSCl,LPSCl limiting pressure (est),p_y,~0.08 - 0.48 GPa (=1.6*sigma_y),derived,p_y~1.6*sigma_y (Tabor lower bound); our compaction contacts ~300 MPa = 0.30 GPa
link_LPSCl,our DEM contact pressure target,P_macro,300 MPa = 0.30 GPa,our_baseline,macroscopic press; local contact pressure capped at p_y in TN law
link_LPSCl,So2021 H-cap analog,F_th,F_th = (2/3)*H*A_con,so2021_eq14,same idea: contact pressure -> H (Tabor H~3*sigma_y); TN p_y is the Hertz-based version
link_LPSCl,Luding gap (no cap),hooke/hyst,piecewise-LINEAR k1->k2 + delta0; NO p_y/H cap,luding2008_eq6,what TN ADDS = the missing yield-pressure cap -> removes our 18x E-softening
