ps,P,am_wt,r_AM_P,r_AM_S,r_SE,se_of_solid_pct,porosity_pct,err_band_pct,source
5:5,0.5,90,6.0,2.0,0.5,21.1,16.9,2.5,MPM
6:4,0.6,75,6.0,2.0,0.5,44.4,11.2,2.5,MPM
6:4,0.6,78,6.0,2.0,0.5,40.4,12.3,2.5,MPM
6:4,0.6,80,6.0,2.0,0.5,37.5,13.0,2.5,MPM
6:4,0.6,82,6.0,2.0,0.5,34.5,13.8,2.5,MPM
6:4,0.6,85,6.0,2.0,0.5,29.8,14.9,2.5,MPM
6:4,0.6,88,6.0,2.0,0.5,24.7,16.0,2.5,MPM
6:4,0.6,90,6.0,2.0,0.5,21.1,16.8,2.5,MPM
7:3,0.7,75,6.0,2.0,0.5,44.4,10.9,2.5,MPM
7:3,0.7,78,6.0,2.0,0.5,40.4,12.0,2.5,MPM
7:3,0.7,80,6.0,2.0,0.5,37.5,12.7,2.5,MPM
7:3,0.7,82,6.0,2.0,0.5,34.5,13.5,2.5,MPM
7:3,0.7,85,6.0,2.0,0.5,29.8,14.6,2.5,MPM
7:3,0.7,88,6.0,2.0,0.5,24.7,15.7,2.5,MPM
7:3,0.7,90,6.0,2.0,0.5,21.1,16.5,2.5,MPM
8:2,0.8,75,6.0,2.0,0.5,44.4,10.2,2.5,MPM
8:2,0.8,78,6.0,2.0,0.5,40.4,11.3,2.5,MPM
8:2,0.8,80,6.0,2.0,0.5,37.5,12.1,2.5,MPM
8:2,0.8,82,6.0,2.0,0.5,34.5,12.9,2.5,MPM
8:2,0.8,85,6.0,2.0,0.5,29.8,14.0,2.5,MPM
8:2,0.8,88,6.0,2.0,0.5,24.7,15.2,2.5,MPM
8:2,0.8,90,6.0,2.0,0.5,21.1,16.0,2.5,MPM
9:1,0.9,75,6.0,2.0,0.5,44.4,9.1,2.5,MPM
9:1,0.9,78,6.0,2.0,0.5,40.4,10.3,2.5,MPM
9:1,0.9,80,6.0,2.0,0.5,37.5,11.1,2.5,MPM
9:1,0.9,82,6.0,2.0,0.5,34.5,12.0,2.5,MPM
9:1,0.9,85,6.0,2.0,0.5,29.8,13.2,2.5,MPM
9:1,0.9,88,6.0,2.0,0.5,24.7,14.5,2.5,MPM
9:1,0.9,90,6.0,2.0,0.5,21.1,15.3,2.5,MPM
10:0,1.0,75,6.0,0.0,0.5,44.4,14.4,2.5,MPM
10:0,1.0,78,6.0,0.0,0.5,40.4,16.0,2.5,MPM
10:0,1.0,80,6.0,0.0,0.5,37.5,17.1,2.5,MPM
10:0,1.0,82,6.0,0.0,0.5,34.5,18.2,2.5,MPM
10:0,1.0,85,6.0,0.0,0.5,29.8,19.9,5.7,DEM
10:0,1.0,88,6.0,0.0,0.5,24.7,21.7,5.7,DEM
10:0,1.0,90,6.0,0.0,0.5,21.1,22.9,5.7,DEM
