quantity,stage,value,units,dimless_time,porosity_pct,condition,precision,note
RVE_thickness_dried,geometry,80,um,,,dried_electrode_z,stated,"z thickness after drying ~80 um (calendering initial)"
AM_diam_mean,geometry,13,um,,,Gaussian_mean,stated,"AM diameter Gaussian, mean 13 um, std 0.61 [ref51]"
AM_diam_std,geometry,0.61,dimensionless,,,Gaussian_std,stated,"std of Gaussian AM size distribution"
CBD_diam,geometry,2.2,um,,,CBD_particle_diam,stated,"CBD particles 2.2 um [ref28]; both AM and CBD assumed spherical"
slurry_solid_mass_ratio,composition,65,pct,,,AM_CBD_solid_fraction,stated,"AM:CBD weight ratio 94:6; solid (AM+CBD) = 65pct of slurry mass [ref26 case]"
AM_CBD_weight_ratio,composition,94,to_6,,,AM_to_CBD,stated,"94:6 AM:CBD"
bond_separation_lambda,bond,1.67,dimensionless,,,bond_gap_criterion,stated,"bond forms if ||Pi-Pj|| <= lambda*(Ri+Rj), lambda=1.67 [ref51]"
# --- BONDS & FLUID-SUBSTITUTION (drying) physics ---
bond_model_AM,bond,,linear_contact_bond,,,AM_AM_and_AM_collector,stated,"linear CONTACT bond among AM particles and AM-collector (no bending moment transfer)"
bond_model_CBD,bond,,linear_parallel_bond,,,CBD_CBD_CBD_AM_CBD_collector,stated,"linear PARALLEL bond among CBD, CBD-AM, CBD-collector (transfers bending+twisting moment); breakdown stress sigma_c/tau_c"
fluid_buoyancy,drying,,F_b=4/3 pi R^3 rho_liquid g,,,solvent_buoyant_force,stated_eq27,"fluid substitution model (NOT explicit CFD): buoyant + gravity + viscous damping replace solvent"
fluid_viscous_damping,drying,,F_r = alpha * v,,,velocity_dependent,stated_eq29,"viscous damping not constant (depends on particle velocity v); alpha = damping coeff"
calendering_plate_speed,calendering,0.01,m_per_s,,,constant_z_speed,stated,"pressure plate moves down along z at constant 0.01 m/s [ref51]"
