metric,value,unit,phase_or_particle,condition,stated_or_digitized,notes
pre_cycling_cracking,none,categorical,NMC811_assessed,pristine scan all assessed particles,stated,NO cracking present prior to charging -> cracks attributed SOLELY to electrochemical delithiation
# === electrode / cell parameters ===
composition_NMC_carbon_PVDF,90_5_5,wt percent,electrode,NEI Corp NMC811 + conductive carbon + PVDF,stated,90:5:5 wt% (LIB liquid-electrolyte electrode, NOT ASSB)
areal_capacity,2.2,mAh/cm2,electrode,printed electrode,stated,areal capacity 2.2 mAh/cm2
electrode_thickness,69,um,electrode,calendared,stated,~69 um thick
electrode_porosity,30,percent,electrode,calendared to porosity (active density 11.36 mg/cm2),stated,~30% porosity (LIB electrode, liquid-filled)
active_material_density,11.36,mg/cm2,electrode,calendared,stated,active loading
specific_capacity_NMC811,190-220,mAh/g,NMC811,literature (intro),stated,NMC811 specific capacity range
secondary_particle_diameter_FEM,14,um,NMC811_secondary,extracted from X-ray CT for phase-field model,stated,14 um agglomerate, 400 Voronoi primary grains
# === phase-field FEM material parameters ===
E_primary_particle,150,GPa,NMC811_primary,phase-field FEM (isotropic linear elastic),stated,E_p = 150 GPa
poisson_primary_particle,0.3,(-),NMC811_primary,phase-field FEM,stated,nu_p = 0.3
E_carbon_binder,0.3,GPa,CBD,phase-field FEM (linear elastic isotropic),stated,E_c = 0.3 GPa carbon-binder (nano-porous, soft)
poisson_carbon_binder,0.3,(-),CBD,phase-field FEM,stated,nu_c = 0.3
carbon_binder_shell_thickness,20,um,CBD,shell around 14um particle (numerical method),stated,20 um diameter shell captured CBD presence
FEM_elements,4000000,count,model,COMSOL 3D tomography-based mesh,stated,~4 million elements, 13 million DOF
charge_rate_FEM,C/50,rate,model,phase-field FEM charge,stated,C/50 slow charge -> homogeneous intraparticle delithiation
# === imaging parameters ===
pixel_size,124,nm,X-ray nano-CT,Zeiss Xradia 810 Ultra Cr source 5.4 keV,stated,~124 nm pixel; crack <124 nm unresolvable
crack_unresolvable_floor,124,nm,X-ray nano-CT,resolution limit,stated,cracks below 124 nm technically unresolvable but documented for NMC811
xray_energy,5.4,keV,X-ray nano-CT,quasi-monochromatic Cr source Fresnel zone plate,stated,parallel-beam geometry
scan_projections,1601,count,X-ray nano-CT,per tomogram,stated,~24 h total scan incl movements
