# Kang & Shin et al., ACS Appl. Mater. Interfaces 2025, 17, 60558-60567 (DOI 10.1021/acsami.5c14519)
# Hanyang (Jong-Won Lee) + Samsung SDI. CAM=NCA LiNi0.88Co0.09Al0.03O2, SE=LPSCl Li6PS5Cl, +Super P; 72:27:1 wt%.
# fab 400 MPa / operating stack 200 MPa; 2.5-4.3 V; 0.1C 1st then 0.5C; 30 C; Li-In counter.
# source: stated=text/Tables S1-S6 (verbatim) ; digitized=read from figure (TREND only, approximate).
# CAM-types: U-NCA (unimodal 3um polycryst), B-NCA (bimodal 3+10um), LZO-B-NCA (LZO 6-8nm coated B-NCA).
quantity,value,unit,cathode_or_system,condition,source,figure_table,notes
FEM_Gc,1,J_m-2,FEM,critical energy release rate (cohesive),stated,Table_S4,ref_S4_Boyce2022
# --- XPS binding energies (decomposition byproducts) ---
XPS_PS4_S2p_a,161.3,eV,LPSCl,S2p PS4^3-,stated,Fig5,characteristic LPSCl
XPS_PS4_S2p_b,162.5,eV,LPSCl,S2p PS4^3-,stated,Fig5,
XPS_Li2Sn,163.0,eV,LPSCl,S2p Li2Sn byproduct (oxidative decomp),stated,Fig5,suppressed by LZO
XPS_P2Sx,133.5,eV,LPSCl,P2p P2Sx,stated,Fig5,
XPS_PO4,134.4,eV,LPSCl,P2p PO4^3- byproduct,stated,Fig5,suppressed by LZO
# --- pressures ---
fabrication_pressure,400,MPa,cell,composite cathode + SE pellet,stated,text,
operating_stack_pressure,200,MPa,cell,cycling,stated,text,fab != operating
LPSCl_separator_press,400,MPa,separator,0.1g LPSCl pellet,stated,text,
