case_id,block,d_am_p_um,d_am_s_um,ps_frac,ps_label,d_se_um,am_pct,rve_um,loading_mAh_cm2,pressure_MPa,e_se_gpa,thickness_est_um,phi_am_est,phi_se_est,se_percolation,d_am_max_um,sv_inv_um,r_AM_P_um,r_AM_S_um,r_SE_um,size_ratio_P_over_S,size_ratio_AM_over_SE,n_am_p_est,n_am_s_est,n_se_est,n_total_est,rve_min_um,rve_recommended_um,rve_over_d_am_max,thick_over_d_am_max,finite_size_flag,phi_se,phi_se_status,phi_am,phi_am_status,coverage_AM_P_hertz_pct,coverage_AM_P_hertz_pct_status,coverage_AM_S_hertz_pct,coverage_AM_S_hertz_pct_status,coverage_AM_total_hertz_pct,coverage_AM_total_hertz_pct_status,tortuosity_dijkstra_SE,tortuosity_dijkstra_SE_status,porosity_sphere_pct_RECORD_ONLY,porosity_sphere_pct_RECORD_ONLY_status
lhs00_016,bimodal,15.0000,4.0000,0.1000,1:9,2.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,15.0000,0.2317,7.5000,2.0000,1.0000,3.7500,7.5000,2.9458,1398.1221,5263.5183,6664.5862,159.5608,159.5608,3.3333,2.4188,thin+n_am_p_CRIT,0.13754441159749728,OK,0.32538486527293425,OK,20.137885075723176,OK,21.46894064137235,OK,21.466092448293214,OK,,NOT_PERCOLATING,53.70707231295684,OK
lhs00_017,bimodal,14.0000,2.0000,0.8000,8:2,2.0000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,14.0000,0.1571,7.0000,1.0000,1.0000,7.0000,7.0000,28.9860,2485.5503,12782.8302,15297.3666,50.8670,50.8670,3.5714,3.6930,n_am_p_low,0.275930396928133,OK,0.26822790637348887,OK,45.836736361614626,OK,43.990376283761066,OK,44.011674789034636,OK,,NOT_PERCOLATING,45.58416966983781,OK
lhs00_018,bimodal,8.0000,3.0000,0.4000,4:6,1.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,8.0000,0.2500,4.0000,1.5000,0.5000,2.6667,8.0000,77.6734,2209.3781,12558.5701,14845.6216,31.0738,50.0000,6.2500,3.5883,se_BELOW_phic,0.05262511837654388,OK,0.4167537430937092,OK,3.1993081484675154,OK,4.265021432010594,OK,4.228626670138283,OK,,NOT_PERCOLATING,53.062113852974704,OK
lhs00_019,bimodal,11.0000,5.0000,0.4000,4:6,2.0000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,11.0000,0.1564,5.5000,2.5000,1.0000,2.2000,5.5000,29.8789,477.2257,3314.0671,3821.1717,50.1012,50.1012,4.5455,2.9349,thin+n_am_p_low+se_BELOW_phic,0.09967940511013165,OK,0.3746622587246576,OK,12.681977761826802,OK,13.264499137178593,OK,13.230098268555455,OK,,NOT_PERCOLATING,52.56583361652108,OK
lhs00_020,bimodal,7.0000,4.0000,0.8000,8:2,1.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,7.0000,0.1643,3.5000,2.0000,0.5000,1.7500,7.0000,231.8881,310.6938,12558.5701,13101.1519,17.9842,50.0000,7.1429,4.1009,se_BELOW_phic,0.0525418933566775,OK,0.4171509164763847,OK,2.3123452429477354,OK,2.533871941801602,OK,2.438639984545235,OK,,NOT_PERCOLATING,53.03071901669378,OK
lhs00_021,bimodal,13.0000,2.0000,0.7000,7:3,1.5000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,13.0000,0.2038,6.5000,1.0000,0.7500,6.5000,8.6667,31.6775,3728.3255,7855.5665,11615.5694,48.6581,50.0000,3.8462,2.4834,thin+se_BELOW_phic,0.10391008648763873,OK,0.3921201872376492,OK,15.77132735511063,OK,17.036797211865565,OK,17.02601004206904,OK,,NOT_PERCOLATING,50.3969726274712,OK
lhs00_022,bimodal,5.0000,4.0000,0.8000,8:2,1.0000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,5.0000,0.2100,2.5000,2.0000,0.5000,1.2500,5.0000,636.3009,310.6938,26512.5368,27459.5315,10.8567,50.0000,10.0000,6.4567,se_BELOW_phic,0.10596719171200947,OK,0.39761766725370734,OK,8.375905366749308,OK,8.877801897878863,OK,8.540557076856155,OK,,NOT_PERCOLATING,49.64151410342832,OK
lhs00_023,bimodal,10.0000,1.0000,0.7000,7:3,1.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,10.0000,0.3700,5.0000,0.5000,0.5000,10.0000,10.0000,69.5954,29826.6039,12558.5701,42454.7694,32.8277,50.0000,5.0000,2.8706,thin+se_BELOW_phic,0.05479886102519815,OK,0.4352667553491254,OK,7.112553312089346,OK,7.353892893188358,OK,7.353326482316067,OK,,NOT_PERCOLATING,50.993438362567645,OK
lhs00_024,bimodal,14.0000,2.0000,0.9000,9:1,1.5000,75.0000,50.0000,2.0000,300.0000,1.3500,45.8766,0.4539,0.3631,OK,14.0000,0.1143,7.0000,1.0000,0.7500,7.0000,9.3333,32.6093,1242.7752,23566.6994,24842.0838,47.9579,50.0000,3.5714,3.2769,,0.22734860266789936,OK,0.2872153889748515,OK,40.73287389231353,OK,40.6766253949456,OK,40.67808009746374,OK,,NOT_PERCOLATING,48.54360083572491,OK
lhs00_025,bimodal,6.0000,4.0000,0.6000,6:4,1.5000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,6.0000,0.2000,3.0000,2.0000,0.7500,1.5000,4.0000,276.1723,621.3876,30300.0421,31197.6019,16.4794,50.0000,8.3333,8.6170,,0.2870345594586511,OK,0.2791180141816619,OK,46.888183487749345,OK,46.91383551879919,OK,46.90596014552915,OK,,NOT_PERCOLATING,43.3847426359687,OK
lhs00_026,bimodal,11.0000,3.0000,0.3000,3:7,1.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,11.0000,0.2606,5.5000,1.5000,0.5000,3.6667,11.0000,22.4092,2577.6077,12558.5701,15158.5870,57.8519,57.8519,4.5455,2.6097,thin+n_am_p_low+se_BELOW_phic,0.05061071812972176,OK,0.4038142350869219,OK,3.524115684715356,OK,4.341109093929887,OK,4.333887399690097,OK,,NOT_PERCOLATING,54.55750467833563,OK
lhs00_027,bimodal,9.0000,1.0000,0.6000,6:4,2.0000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,9.0000,0.4667,4.5000,0.5000,1.0000,9.0000,4.5000,81.8288,39768.8052,12782.8302,52633.4643,30.2745,50.0000,5.5556,5.7447,,0.28042000056961325,OK,0.27483100716601755,OK,28.01727327591879,OK,27.546832339179126,OK,27.547812399864085,OK,1.4080649036922568,OK,44.474899226436925,OK
lhs00_028,bimodal,5.0000,2.0000,0.1000,1:9,1.5000,75.0000,50.0000,2.0000,300.0000,1.3500,45.8766,0.4539,0.3631,OK,5.0000,0.4700,2.5000,1.0000,0.7500,2.5000,3.3333,79.5376,11184.9765,23566.6994,34831.2135,30.7075,50.0000,10.0000,9.1753,,0.22775863039750474,OK,0.2848422904862308,OK,32.58546266732631,OK,31.34613533460654,OK,31.354932689230996,OK,1.5293194209066423,OK,48.73990791162646,OK
lhs00_029,bimodal,9.0000,1.0000,0.2000,2:8,1.5000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,9.0000,0.8222,4.5000,0.5000,0.7500,9.0000,6.0000,27.2763,79537.6104,17675.0245,97239.9112,52.4370,52.4370,5.5556,4.5310,n_am_p_low,0.18597577657721084,OK,0.3092869158880742,OK,14.358805460640676,OK,14.484590883202797,OK,14.484548214612946,OK,2.0399453366892737,OK,50.47373075347149,OK
lhs00_030,bimodal,13.0000,1.0000,0.2000,2:8,2.0000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,13.0000,0.8154,6.5000,0.5000,1.0000,13.0000,6.5000,9.0507,79537.6104,3314.0671,82860.7282,91.0310,91.0310,3.8462,2.4834,thin+n_am_p_CRIT+se_BELOW_phic,0.09518085344931343,OK,0.356522640991495,OK,4.227187518995399,OK,5.292767481252463,OK,5.29264696022573,OK,,NOT_PERCOLATING,54.82965055591917,OK
lhs00_031,bimodal,13.0000,4.0000,0.3000,3:7,1.5000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,13.0000,0.1981,6.5000,2.0000,0.7500,3.2500,8.6667,13.5761,1087.4283,30300.0421,31401.0464,74.3265,74.3265,3.8462,3.9771,n_am_p_low,0.27345904607962446,OK,0.26832783420869966,OK,49.17314429223152,OK,48.537467776742716,OK,48.54554352194856,OK,,NOT_PERCOLATING,45.82131197116759,OK
lhs00_032,bimodal,14.0000,3.0000,0.7000,7:3,1.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,14.0000,0.1500,7.0000,1.5000,0.5000,4.6667,14.0000,25.3628,1104.6890,42108.1467,43238.1985,54.3791,54.3791,3.5714,2.5915,thin+n_am_p_low,0.14889651022861664,OK,0.35724912012620796,OK,25.31964167693334,OK,27.99650503525953,OK,27.93474953630968,OK,,NOT_PERCOLATING,49.385436964517524,OK
lhs00_033,bimodal,5.0000,5.0000,0.2000,2:8,1.5000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,5.0000,0.2000,2.5000,2.5000,0.7500,1.0000,3.3333,159.0752,636.3009,30300.0421,31095.4182,21.7135,50.0000,10.0000,10.3404,,0.2864569319036732,OK,0.278580726807196,OK,47.32023459984553,OK,47.252401439621565,OK,47.26595102815877,OK,1.3178437279895212,OK,43.49623412891308,OK
lhs00_034,bimodal,13.0000,1.0000,0.3000,3:7,2.0000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,13.0000,0.7231,6.5000,0.5000,1.0000,13.0000,6.5000,13.5761,69595.4091,12782.8302,82391.8154,74.3265,74.3265,3.8462,3.9771,n_am_p_low,0.37578258471357534,OK,0.36857266589864873,OK,18.52290947509027,OK,20.24860625559063,OK,20.248259157610214,OK,,NOT_PERCOLATING,25.564474938777572,OK
lhs00_035,bimodal,9.0000,3.0000,0.4000,4:6,1.5000,75.0000,50.0000,2.0000,300.0000,1.3500,45.8766,0.4539,0.3631,OK,9.0000,0.2444,4.5000,1.5000,0.7500,3.0000,6.0000,54.5525,2209.3781,23566.6994,25830.6300,37.0786,50.0000,5.5556,5.0974,,0.23758276248393675,OK,0.2979533919126709,OK,40.64736943376539,OK,40.806253003424075,OK,40.802396606102256,OK,,NOT_PERCOLATING,46.44638456033924,OK
lhs00_036,bimodal,5.0000,3.0000,0.4000,4:6,1.5000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,5.0000,0.2800,2.5000,1.5000,0.7500,1.6667,3.3333,318.1504,2209.3781,17675.0245,20202.5530,15.3537,50.0000,10.0000,8.1558,,0.19735057291396144,OK,0.32917596571254315,OK,30.6339883555687,OK,30.766305663150472,OK,30.749615579671396,OK,,NOT_PERCOLATING,47.34734613734955,OK
lhs00_037,bimodal,12.0000,2.0000,0.5000,5:5,2.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,12.0000,0.2917,6.0000,1.0000,1.0000,6.0000,6.0000,28.7679,6213.8758,1569.8213,7812.4650,51.0595,51.0595,4.1667,2.3922,thin+n_am_p_low+se_BELOW_phic,0.05033226086468583,OK,0.3999651506674015,OK,5.997924919035845,OK,6.05674572757365,OK,6.056472405438159,OK,,NOT_PERCOLATING,54.970258846791275,OK
lhs00_038,bimodal,12.0000,5.0000,0.3000,3:7,2.0000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,12.0000,0.1650,6.0000,2.5000,1.0000,2.4000,6.0000,17.2608,556.7633,7456.6510,8030.6750,65.9175,65.9175,4.1667,3.3983,n_am_p_low,0.19307958143373088,OK,0.3207401560061672,OK,31.615505807637124,OK,34.02546837717029,OK,33.95421730989714,OK,,NOT_PERCOLATING,48.6180262560102,OK
lhs00_039,bimodal,10.0000,5.0000,0.5000,5:5,1.0000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,10.0000,0.1500,5.0000,2.5000,0.5000,2.0000,10.0000,49.7110,397.6881,59653.2078,60100.6069,38.8422,50.0000,5.0000,4.0779,,0.20319843491009643,OK,0.33965151622565387,OK,30.789528703808195,OK,32.114659202918155,OK,31.966765173999637,OK,,NOT_PERCOLATING,45.71500488642497,OK
lhs00_040,bimodal,8.0000,5.0000,0.1000,1:9,1.0000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,8.0000,0.1925,4.0000,2.5000,0.5000,1.6000,8.0000,19.4184,715.8385,26512.5368,27247.7937,62.1476,62.1476,6.2500,4.0354,n_am_p_low+se_BELOW_phic,0.10489139054361608,OK,0.39444509643781867,OK,7.555854778235359,OK,8.74468514447227,OK,8.712379971476702,OK,,NOT_PERCOLATING,50.06635130185653,OK
lhs00_041,bimodal,13.0000,5.0000,0.6000,6:4,2.0000,95.0000,50.0000,2.0000,300.0000,1.3500,28.7064,0.7254,0.0916,BELOW_phic,13.0000,0.1262,6.5000,2.5000,1.0000,2.6000,6.5000,27.1521,318.1504,1569.8213,1915.1238,52.5568,52.5568,3.8462,2.2082,thin+n_am_p_low+se_BELOW_phic,0.049192705482712415,OK,0.39662010457104735,OK,4.217142300032031,OK,5.744284532692947,OK,5.620700768200156,OK,,NOT_PERCOLATING,55.41871899462403,OK
lhs00_042,bimodal,11.0000,5.0000,0.7000,7:3,1.0000,75.0000,50.0000,2.0000,300.0000,1.3500,45.8766,0.4539,0.3631,OK,11.0000,0.1236,5.5000,2.5000,0.5000,2.2000,11.0000,52.2881,238.6128,79537.6104,79828.5113,37.8730,50.0000,4.5455,4.1706,,0.2535512915081325,OK,0.31613294542181714,OK,36.952458589365854,OK,38.318344319400566,OK,38.07510439487383,OK,,NOT_PERCOLATING,43.03157630700505,OK
lhs00_043,bimodal,7.0000,5.0000,0.5000,5:5,2.0000,70.0000,50.0000,2.0000,300.0000,1.3500,51.7022,0.4027,0.4143,OK,7.0000,0.1714,3.5000,2.5000,1.0000,1.4000,3.5000,144.9300,397.6881,12782.8302,13325.4483,22.7484,50.0000,7.1429,7.3860,,0.27906720286000214,OK,0.27135625025927856,OK,45.69763978204286,OK,46.46354602847769,OK,46.25902226101351,OK,,NOT_PERCOLATING,44.957654688071926,OK
lhs00_044,bimodal,5.0000,1.0000,0.9000,9:1,1.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,5.0000,0.2800,2.5000,0.5000,0.5000,5.0000,5.0000,715.8385,9942.2013,42108.1467,52766.1865,10.2358,50.0000,10.0000,7.2563,,0.16248333758166375,OK,0.3839887629674531,OK,22.163006095460304,OK,21.18754477328134,OK,21.25321051058322,OK,,NOT_PERCOLATING,45.35278994508831,OK
lhs00_045,bimodal,11.0000,5.0000,0.5000,5:5,2.0000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,11.0000,0.1455,5.5000,2.5000,1.0000,2.2000,5.5000,37.3486,397.6881,5263.5183,5698.5550,44.8119,50.0000,4.5455,3.2983,,0.1455283221118607,OK,0.3466421059078528,OK,22.049033549767692,OK,23.881035049796875,OK,23.721365194289746,OK,,NOT_PERCOLATING,50.78295719802865,OK
lhs00_046,bimodal,12.0000,2.0000,0.2000,2:8,1.0000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,12.0000,0.4167,6.0000,1.0000,0.5000,6.0000,12.0000,11.5072,9942.2013,26512.5368,36466.2453,80.7321,80.7321,4.1667,2.6903,thin+n_am_p_low+se_BELOW_phic,0.09806518650691266,OK,0.37083243986387815,OK,12.596799551232793,OK,13.462471465833959,OK,13.461428278148157,OK,,NOT_PERCOLATING,53.11023736292092,OK
lhs00_047,bimodal,14.0000,4.0000,0.3000,3:7,1.5000,90.0000,50.0000,2.0000,300.0000,1.3500,32.2836,0.6450,0.1720,BELOW_phic,14.0000,0.1964,7.0000,2.0000,0.7500,3.5000,9.3333,10.8698,1087.4283,7855.5665,8953.8645,83.0655,83.0655,3.5714,2.3060,thin+n_am_p_low+se_BELOW_phic,0.1014566820114272,OK,0.38131375554726715,OK,11.151234461351818,OK,13.80613032357366,OK,13.779508760689028,OK,,NOT_PERCOLATING,51.72295624413057,OK
lhs00_048,bimodal,15.0000,4.0000,0.1000,1:9,1.0000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,15.0000,0.2317,7.5000,2.0000,0.5000,3.7500,15.0000,2.9458,1398.1221,59653.2078,61054.2757,159.5608,159.5608,3.3333,2.7186,thin+n_am_p_CRIT,0.1929181668978598,OK,0.3221422755425767,OK,31.469240194456813,OK,31.6716124787151,OK,31.671179442443506,OK,,NOT_PERCOLATING,48.49395575595635,OK
lhs00_049,bimodal,10.0000,5.0000,0.9000,9:1,1.5000,85.0000,50.0000,2.0000,300.0000,1.3500,36.2815,0.5739,0.2431,OK,10.0000,0.1100,5.0000,2.5000,0.7500,2.0000,6.6667,89.4798,79.5376,12476.4879,12645.5053,28.9513,50.0000,5.0000,3.6282,,0.153296061328486,OK,0.36397992794647255,OK,20.646465608125542,OK,25.889857086336463,OK,23.113943950813034,OK,,NOT_PERCOLATING,48.272401072504145,OK
lhs00_050,bimodal,6.0000,1.0000,0.9000,9:1,1.5000,80.0000,50.0000,2.0000,300.0000,1.3500,40.7792,0.5106,0.3064,OK,6.0000,0.2500,3.0000,0.5000,0.7500,6.0000,4.0000,414.2584,9942.2013,17675.0245,28031.4842,13.4553,50.0000,8.3333,6.7965,,0.20662038388712622,OK,0.34470010377749616,OK,29.87719149199967,OK,27.3091629848071,OK,27.412251767016897,OK,,NOT_PERCOLATING,44.86795123353776,OK
lhs00_051,bimodal,10.0000,3.0000,0.7000,7:3,1.5000,75.0000,50.0000,2.0000,300.0000,1.3500,45.8766,0.4539,0.3631,OK,10.0000,0.1700,5.0000,1.5000,0.7500,3.3333,6.6667,69.5954,1104.6890,23566.6994,24740.9838,32.8277,50.0000,5.0000,4.5877,,0.244272627442374,OK,0.3064621792532199,OK,43.56264866211316,OK,44.13893277214716,OK,44.10460095282598,OK,,NOT_PERCOLATING,44.926519330440605,OK
