quantity,structure,value,units,pressure_MPa,porosity_pct,condition,precision,note
CED_CBD,bond,70000,pg_per_um_us2,,,SJKR_adhesion_CBD,stated_Table2,"CBD weakest (~1/9 of AM) but sticky"
CED_Al,bond,550000,pg_per_um_us2,,,SJKR_adhesion_Al_collector,stated_Table2,
CED_Steel,bond,600000,pg_per_um_us2,,,SJKR_adhesion_Steel_roll,stated_Table2,
friction_Xu_AM,particle,0.001,dimensionless,,,AM,stated_Table2,"near-frictionless particles"
friction_Xu_CBD,particle,0.001,dimensionless,,,CBD,stated_Table2,
friction_Xu_Al,wall,1.2,dimensionless,,,Al_collector,stated_Table2,
friction_Xu_Steel,wall,0.76,dimensionless,,,Steel_roll,stated_Table2,
CBD_inner_porosity,particle,47,pct,,,CBD_nanoporosity_FIBSEM,stated,"rho_CBD,solid 1.81 -> compressed particle 0.95 g/cm3"
CBD_diam_slurry,particle,3.1,um,,,slurry_with_solvent,stated_Fig1,"shrinks to 0.65 um on drying (solvent evaporation)"
CBD_diam_dry,particle,0.65,um,,,dried_electrode,stated_Fig1,
D_eff_CBD_FEM,FEM,2.46e-11,m2_per_s,,,CBD_partial_blocking,stated,"vs pore D=7.5e-11; CBD allows ion transport, no intercalation"
sigma_e_NMC_FEM,FEM,5e-3,S_per_m,,,NMC_electronic,stated,"lowered below experiment for COMSOL convergence (authors note)"
D_Li_solid_FEM,FEM,2e-15,m2_per_s,,,NMC_Li_diffusion,stated,
NMC_PSD_bin1,particle,2.5,um,,,SEM_binned,stated_FigS1,"6 AM diameters used in CGMD"
NMC_PSD_bin2,particle,3.5,um,,,SEM_binned,stated_FigS1,
NMC_PSD_bin3,particle,4.5,um,,,SEM_binned,stated_FigS1,
NMC_PSD_bin4,particle,5.86,um,,,SEM_binned,stated_FigS1,
NMC_PSD_bin5,particle,8.28,um,,,SEM_binned,stated_FigS1,
NMC_PSD_bin6,particle,10.35,um,,,SEM_binned,stated_FigS1,
slurry_viscosity_hi,slurry,3.3,Pa_s,,,low_shear_sim_eq_exp,stated_FigS2,"eta-gamma 3.3->1.0 Pa.s; rho sim=exp=2.14 g/cm3 (Lombardo ref18 validation)"
slurry_viscosity_lo,slurry,1.0,Pa_s,,,high_shear,stated_FigS2,
