category,symbol,name,value,unit,branch_or_condition,stated_or_digitized,notes
result,consolidated_porosity_eta_c,consolidated porosity range,~35 to ~47,%,sigma1 20..100 kPa,digitized,Fig18 decreases with stress and increases with adhesion
micromech,lambda_p,contact plasticity,1 - k1/k2,dimensionless,deltap/delta (linear n=1),stated,Eq16 ★ key micromech variable; 0=elastic 1=fully plastic
micromech,lambda_b,bulk plasticity,eps_p/eps,dimensionless,,stated,Eq17 bulk plastic / total deformation
micromech,Rumpf,tensile strength of agglomerate,sigma_t = Fat*(1-eta)*Z/(pi*d^2),Pa,Rumpf 1962,stated,Eq18 ★ links contact adhesion Fat + Z + porosity to bulk
micromech,sigma_u_to_t,unconfined comp from tensile,sigma_u = (1+sin phi)/(1-sin phi)*sigma_t,Pa,Mohr circle,stated,Eq19 phi=internal friction angle
micromech,master_relation,normalized unconfined strength,sigma_u*d^2/fatp ~ (1-eta_c)*Z,dimensionless,LINEAR,stated,Eq20 ★ Fig21 R2=0.94 universal collapse across ALL adhesion params
micromech,Fig15_collapse,sigma_u*d^2/f0 vs Z critical curve,single curve,,all lambda_p & sigma1 (k_adh=0),stated,Fig15 critical-state-like collapse
micromech,additive_adhesion,unconfined strength f0+k_adh,approx additive,kPa,both nonzero,stated,Fig19 sigma_u(f0,k_adh) ~ sigma_u(f0)+sigma_u(k_adh)
liggghts_map,k1,EEPA k1,coefficientLoadingStiffness (or youngsModulus-derived),,,mapping,maps to our hooke/hysteresis k1 (Luding)
liggghts_map,k2,EEPA k2,coefficientMaxElasticStiffness (m6),,,mapping,our LIGGGHTS m6 = EEPA k2/k_hat2
liggghts_map,k_adh,EEPA k_adh,coefficientAdhesionStiffness (m7),,,mapping,our LIGGGHTS m7 = EEPA k_adh (AREA-dependent adhesion)
liggghts_map,deltap,EEPA plastic overlap,coefficientPlasticityDepth (m8) governs,,,mapping,our m8 phi_f sets plastic-flow limit => deltap
liggghts_map,f0,EEPA f0,constant pull-off (cohesionEnergyDensity-like),,,mapping,no direct single m-slot; constant adhesion term
