case,ps_label,p_frac,am_wt,se_of_solid_pct,dem_porosity_pct,mpm_porosity_pct,gap_dem_minus_mpm,trust,verdict
input_1mAh_100_4,7:3,0.7,77,39,4.1,6.3,-2.2,both,cross-validated
input_2mAh_a9_p06,6:4,0.6,90,19,22.8,20.8,2.1,both,cross-validated
input_1mAh_5_AMP_S5,10:0,1.0,80,35,20.2,18.1,2.1,both,cross-validated
input_2mAh_real_7,3:7,0.3,82,32,12.9,14.9,-2.0,both,cross-validated
input_1mAh_100_8,5:5,0.5,82,32,12.4,10.3,2.0,both,cross-validated
input_2mAh_real_17,3:7,0.3,92,16,22.7,20.8,1.9,both,cross-validated
input_1mAh_100_7,3:7,0.3,82,32,13.1,11.4,1.7,both,cross-validated
input_2mAh_real_9_E1.5_S3,7:3,0.7,82,32,12.5,14.1,-1.6,both,cross-validated
input_2mAh_a9_p04,4:6,0.4,90,19,23.9,22.4,1.5,both,cross-validated
input_2mAh_real_6,0:10,0.0,82,32,16.7,18.2,-1.5,both,cross-validated
input_2mAh_real_8,5:5,0.5,82,32,13.0,14.4,-1.4,both,cross-validated
input_6mAh_real40_2,3:7,0.3,82,32,15.9,17.2,-1.4,both,cross-validated
input_2mAh_real_5,10:0,1.0,77,39,10.2,11.6,-1.3,both,cross-validated
input_6mAh_real40_4,7:3,0.7,82,32,13.8,15.2,-1.3,both,cross-validated
input_2mAh_real_9_E1.5_S2,7:3,0.7,82,32,13.2,14.3,-1.1,both,cross-validated
input_2mAh_real_9_E2,7:3,0.7,82,32,15.0,16.1,-1.1,both,cross-validated
input_8mAh_real_8,5:5,0.5,87,25,16.2,17.3,-1.1,both,cross-validated
input_2mAh_real_9,7:3,0.7,82,32,13.5,14.6,-1.1,both,cross-validated
input_2mAh_a9_50_p00,0:10,0.0,90,19,17.9,16.8,1.1,both,cross-validated
input_2mAh_a9_50_p04,4:6,0.4,90,19,13.9,12.8,1.1,both,cross-validated
input_8mAh_real_19,7:3,0.7,77,39,12.2,13.2,-1.0,both,cross-validated
input_8mAh_real_16,0:10,0.0,77,39,16.0,17.0,-1.0,both,cross-validated
input_2mAh_a8_p10,10:0,1.0,80,35,15.7,16.6,-0.9,both,cross-validated
input_2mAh_real_9_E1.5,7:3,0.7,82,32,12.6,13.6,-0.9,both,cross-validated
input_1mAh_100_1,0:10,0.0,77,39,14.1,14.9,-0.8,both,cross-validated
input_8mAh_real_1,0:10,0.0,82,32,18.6,19.3,-0.8,both,cross-validated
input_2mAh_a9_p00,0:10,0.0,90,19,28.1,27.4,0.7,both,cross-validated
input_8mAh_real_20,10:0,1.0,77,39,11.9,12.6,-0.7,both,cross-validated
input_2mAh_a9_50_p02,2:8,0.2,90,19,15.5,14.8,0.7,both,cross-validated
input_8mAh_real_3,5:5,0.5,82,32,16.1,16.8,-0.7,both,cross-validated
input_8mAh_real_5,10:0,1.0,82,32,16.3,16.8,-0.6,both,cross-validated
input_2mAh_a9_p02,2:8,0.2,90,19,25.9,25.3,0.6,both,cross-validated
input_8mAh_real_6,0:10,0.0,87,25,22.2,22.8,-0.6,both,cross-validated
input_1mAh_100_2,3:7,0.3,77,39,11.1,11.7,-0.6,both,cross-validated
input_8mAh_real_4,7:3,0.7,82,32,15.0,15.6,-0.6,both,cross-validated
input_8mAh_real_9,7:3,0.7,87,25,15.0,15.5,-0.5,both,cross-validated
input_8mAh_real_7,3:7,0.3,87,25,18.2,18.6,-0.5,both,cross-validated
input_2mAh_real_11,0:10,0.0,87,25,21.8,21.3,0.5,both,cross-validated
input_8mAh_real_2,3:7,0.3,82,32,17.6,18.1,-0.5,both,cross-validated
input_8mAh_real_13,5:5,0.5,92,16,20.2,20.7,-0.4,both,cross-validated
input_8mAh_real_11,0:10,0.0,92,16,27.4,27.8,-0.4,both,cross-validated
input_2mAh_real_14,7:3,0.7,87,25,15.6,15.9,-0.3,both,cross-validated
input_8mAh_real_12,3:7,0.3,92,16,22.8,22.5,0.3,both,cross-validated
input_2mAh_real_10,10:0,1.0,82,32,17.8,17.9,-0.2,both,cross-validated
input_2mAh_real_13,5:5,0.5,87,25,15.2,15.3,-0.2,both,cross-validated
input_2mAh_real_12,3:7,0.3,87,25,16.5,16.2,0.2,both,cross-validated
input_1mAh_100_3,5:5,0.5,77,39,10.1,10.3,-0.2,both,cross-validated
input_8mAh_real_15,10:0,1.0,92,16,27.3,27.4,-0.1,both,cross-validated
input_8mAh_real_14,7:3,0.7,92,16,19.1,19.0,0.1,both,cross-validated
input_8mAh_real_10,10:0,1.0,87,25,19.0,19.0,-0.0,both,cross-validated
input_2mAh_real_20,10:0,1.0,92,16,29.3,22.2,7.1,bracket,"BRACKET mono-large se16 extreme-SE-poor: wallP cond 9.7->22.2 but still ~5pp below trusted same-comp 8mAh_real_15 27.4(=DEM 27.3) -> residual over-compress; truth ~27-29 lean DEM/8mAh anchor"
input_2mAh_a9_p10,10:0,1.0,90,19,26.4,15.44,10.96,bracket,"BRACKET mono-large r_SE=1.5 DEGENERATE (629 SE, percolation 0%, tau 17.5 RVE-artifact): wallP cond 10.9->15.44; NO cross-capacity sibling (am_wt90+rSE1.5 only @2mAh); both bounds low-confidence"
input_1mAh_100_10,10:0,1.0,82,32,28.3,21.78,6.52,bracket,"BRACKET mono-large: wallP cond 15.9->21.78; same-comp bulk 2mAh_real_10 17.9 / 8mAh_real_5 16.8 trusted ~17; 1mAh MPM 21.78 = mid-bracket [bulk 17, thin-DEM 28.3] plausible thin-loose (se32 enough SE -> NOT over-compressed, unlike se16 2mAh_real_20)"
input_2mAh_a9_50_p10,10:0,1.0,90,19,18.4,11.95,6.5,bracket,"BRACKET mono-large se19 borderline, NO cross-capacity sibling (a9 series 2mAh-only): wallP cond 9.3->11.95; DOCUMENTED over-compress confound (a9_50_ps_sweep_vs_bimodal266 §발견3) -> MPM 11.95 lower bound, lean DEM 18.45/mid; structure OK (perc 99.4%, NOT degenerate unlike a9_p10 rSE1.5)"
input_1mAh_8_AMP_S5,10:0,1.0,85,28,21.9,15.93,5.95,MPM,"SE-sufficient (se28>=25) -> regime-1 MPM reliable; wallP cond 15.0->15.93; no cross-cap sibling (am_wt85 mono=1mAh only) BUT seed-pair S2 17.3/S5 15.93 ~16 + real_14(am_wt85) MPM 16.7 consistent; r_AM_P=5um -> DEM 21.9 lower (better pack, mild thin-loose)"
input_1mAh_8_AMP_S2,10:0,1.0,85,28,23.6,17.3,6.3,bracket,"BRACKET mono-large: DEM upper/MPM lower, no anchor"
input_2mAh_a7_p04,4:6,0.4,70,48,9.1,15.8,-6.7,review,review MPM>DEM moderate SE-rich
input_2mAh_a7_p02,2:8,0.2,70,48,10.2,16.8,-6.6,review,review MPM>DEM moderate SE-rich
input_2mAh_a7_p00,0:10,0.0,70,48,11.5,17.9,-6.4,review,review MPM>DEM moderate SE-rich
input_2mAh_a7_p08,8:2,0.8,70,48,7.6,13.6,-6.0,review,review MPM>DEM moderate SE-rich
input_2mAh_a7_p06,6:4,0.6,70,48,9.4,14.9,-5.5,review,review MPM>DEM moderate SE-rich
input_2mAh_a7_p10,10:0,1.0,70,48,8.8,13.9,-5.2,review,review MPM>DEM moderate SE-rich
