# Mesarovic & Fleck (2000) Int. J. Solids Struct. 37(46-47) 7071-7091
# Frictionless indentation of dissimilar elastic-plastic spheres (FEM, ABAQUS J2)
# DOI 10.1016/S0020-7683(99)00328-5
# All values STATED unless marked digitized(approx, TREND-only). Mean pressure normalized by sigma_0 (lower of two yield strengths) or sigma_r (reduced ref stress for hardening).
# quantity,value,units,regime/condition,source,notes
# --- regime structure: mean contact pressure F/(pi a^2 sigma_0) vs (a E*/R0 sigma_0) ---
group_finite_def_governing,a/R0,dimensionless,governs finite-deformation regime onset,stated_sec2.3,"no general a/R0 transition criterion exists across geometries (only similarity scaling used)"
map_axis_x,a/R0,dimensionless,indentation map abscissa,stated_Fig8,"normalized contact radius"
map_axis_y,sigma0/E*,dimensionless,indentation map ordinate,stated_Fig8,"= yield strain measure (lower yield / combined modulus)"
# --- combined (reduced) parameters ---
combined_radius_R0,1/R0=1/R1+1/R2,formula,equivalent radius,eq1.3,"harmonic-style sum (reduced radius)"
combined_modulus_Estar,1/E*=(1-nu1^2)/E1+(1-nu2^2)/E2,formula,combined plane-strain modulus,eq2.4,"rigorously valid only in Hertz limit"
combined_strength_sigma_e,sigma_e^-m = sigma_1^-m + sigma_2^-m,formula,equivalent strength (power-law solids),eq1.3,"m = strain-hardening exponent; reduces to series-like combination"
yield_strength_governing_sigma0,sigma0 = min(sigma01,sigma02),formula,governing yield (lower of two),eq5.1,"the SOFTER body's yield governs the elastic-plastic regime"
# --- strain-hardening exponents studied ---
hardening_exponent_m_values,3;5;inf,dimensionless,m studied,stated,"m=3 strongly hardening (annealed Cu); m=5; m=inf elastic-ideally-plastic"
# --- similarity (Storakers 1997) contact law constants ---
similarity_F_law,F/(pi a^2 sigma_e)=k(m)(a/R0)^(1/m),eq1.4,mean pressure vs contact radius,eq1.4,"k(m),c(m) tabulated Biwa-Storakers 1995; indep of depth/size/strength"
similarity_h_law,h/R0=(1/2c^2(m))(a/R0)^2,eq1.5,contact area prop to depth,eq1.5,"a^2 prop to h R0"
similarity_F_vs_h,F/(pi R0^2 sigma_e)=K(m)(h/R0)^(1+1/2m),eq1.6a,force vs indent depth,eq1.6a,"K=2^(1+1/2m) c^(2+1/m) k (eq1.6b); for m=inf exponent=1, m=3 exponent=7/6"
# --- the SEMI-EMPIRICAL contact law correction (paper's key deliverable for compaction) ---
KFEM_over_Ktheory_range,0.55-0.87,dimensionless,stiffness reduction factor (all geometries m=3..inf),stated_sec7+Fig10,"K_FEM/K_theory at h/R0=0.1; multiply similarity K by this in finite-def regime"
KFEM_over_Ktheory_m3,~0.6-0.7,dimensionless,strong hardening m=3,digitized_Fig10(approx),"increases as m decreases (less hardening -> closer to theory)"
KFEM_over_Ktheory_m_inf,~0.85,dimensionless,elastic-ideally-plastic m=inf,digitized_Fig10(approx),"least reduction for ideally-plastic"
# --- independent-contact assumption validity (3D B2 unit cell) ---
B2_initial_relative_density_D0,0.68,relative density,B2 unit cell start,stated_sec6,"two overlapping simple-cubic lattices; close to RCP 0.64"
B2_independent_contact_valid_to_D,0.82,relative density,independent-contact assumption holds below,stated_sec7,"contacts deform independently for D < ~0.82 (h/R0)^7/6 = 0.2"
B2_contact_count_evolution,8->14,contacts,coordination during compaction,stated_sec6,"central soft sphere: 8 initial (rigid NN) -> +6 (deformable NN) at h/R0~0.2"
stage_I_compaction_end_D,~0.8,relative density,stage I powder compaction end,stated_sec2.1+Fleck1992,"discrete-contact (stage I) regime ends ~0.8"
# --- mesh / numerics ---
fem_code,ABAQUS_v5.5,software,FE solver,stated,"updated Lagrangian finite deformation, Jaumann stress rate"
mesh_axisym_elements,~2500,2nd-order elements,axisym mesh,stated_Fig3,"8-node rect + 6-node tri; ~23500 DOF; node spacing 1.5e-3 R at initial contact"
mesh_3D_B2_elements,~4300,2nd-order elements,3D B2 mesh,stated_Fig3,"~100000 DOF; 20-node brick+15-node prism; node spacing 5e-3 R"
scatter_h_at_a_over_R_0.01,7.5,percent,numerical scatter (small contact),stated,"drops to <2.5% for a/R>0.08"
