# Sangros Gimenez et al., Chem. Eng. Technol. 43 (2020) No.5, 819-829, DOI 10.1002/ceat.201900501
# "Modeling the Electrical Conductive Paths within All-Solid-State Battery Electrodes"
# Material: LFP active material + carbon black (CB) additive + PEO-LiTFSI POLYMER electrolyte (insulator -> treated as pore).
# Method: DEM (LIGGGHTS, Hertz-Mindlin elastic + vdW) -> A* shortest-path -> equivalent-circuit (cylinder R=rho*l/A, no constriction) -> sigma_e.
#   sigma_ionic NOT solved directly -> estimated via skeleton-model tortuosity tau + Bruggeman D_eff = eps_el/tau * D_el.
# WARNING: LFP+CB+POLYMER, NOT our LPSCl+NMC811 -> do NOT transfer absolute values. TREND/method only.
# source: stated = Table/text exact; digitized = read off Fig (TREND only, +/- approximate).
quantity,value,unit,condition_CB_wt_pct,composition_or_note,stated_or_digitized,figure_or_table
rho_particle_LFP,6177.91,Ohm.mm,NA,single-particle fit (LFP ~1e5x CB),stated,text4.1
rho_particle_CB,0.07,Ohm.mm,NA,single-particle fit (CB most conductive),stated,text4.1
# --- DEM material parameters (Table 2) ---
E_LFP,123.90,GPa,NA,Young modulus LFP,stated,Table2
E_CB,5.00,GPa,NA,Young modulus CB (soft),stated,Table2
nu_LFP,0.28,-,NA,Poisson LFP,stated,Table2
nu_CB,0.23,-,NA,Poisson CB,stated,Table2
COR_LFP,0.40,-,NA,coeff restitution LFP,stated,Table2
COR_CB,0.40,-,NA,coeff restitution CB,stated,Table2
rho_density_LFP,4.28,g/cm3,NA,density LFP (supplier),stated,Table2
rho_density_CB,1.96,g/cm3,NA,density CB (supplier),stated,Table2
Hamaker_LFP,1.21e-19,J,NA,van der Waals Hamaker LFP,stated,Table2
Hamaker_CB,1.09e-19,J,NA,van der Waals Hamaker CB,stated,Table2
distance_limit_vdW_LFP,7.30e-6,mm,NA,vdW cutoff distance LFP,stated,Table2
distance_limit_vdW_CB,7.80e-6,mm,NA,vdW cutoff distance CB,stated,Table2
# --- PSD (Table 1, LFP; CB single size) ---
LFP_size,0.28,um,NA,dQ3=15pct,stated,Table1
LFP_size,0.30,um,NA,dQ3=15pct,stated,Table1
LFP_size,0.32,um,NA,dQ3=15pct,stated,Table1
LFP_size,0.34,um,NA,dQ3=10pct,stated,Table1
LFP_size,0.36,um,NA,dQ3=10pct,stated,Table1
LFP_size,0.40,um,NA,dQ3=15pct,stated,Table1
LFP_size,0.60,um,NA,dQ3=20pct,stated,Table1
CB_size,0.065,um,NA,CB aggregate (shear-fragmented 65nm); primary 40-50nm,stated,text3.1
# --- domain / setup ---
n_particles,6000,count,NA,all cases (domain resized to keep N const),stated,Table4-5
domain_L,6.8,um,0,cubic l=w=h,stated,Table4
domain_L,4.57,um,0.5,cubic,stated,Table4
domain_L,3.25,um,2,cubic,stated,Table4
domain_L,2.69,um,3.7,cubic,stated,Table4
domain_L,2.43,um,5.2,cubic,stated,Table4
domain_L,2.19,um,8,cubic extended,stated,Table5
domain_L,2.05,um,10,cubic extended,stated,Table5
domain_L,1.83,um,15,cubic extended,stated,Table5
domain_L,1.69,um,20,cubic extended,stated,Table5
plate_speed,0.75,mm/s,NA,calendering-mimic compression (stop at target V_par),stated,text3.1
load_measurement_LFP,380,N,NA,4-point on LFP powder,stated,text2
load_measurement_composite,40,N,NA,4-point on composite electrode,stated,text2
D_el_electrolyte,2e-4,S/cm-1,NA,Pesko et al [39]; for sigma_ion Bruggeman estimate,stated,text3.3
