case_id,block,am_pct,ps_frac,d_am_p_um,d_am_s_um,d_se_um,loading_mAh_cm2,rve_area_cm2,am_loading_mg_cm2,w_am,w_se,m_am_g,m_se_g,m_total_g,v_needed_cm3,h_am_um,h_se_um,h_solid_um,thickness_target_um,sim_rve_m,sim_v_needed_m3,sim_h_set_m,insert_volfrac,sim_E_am_Pa,sim_E_se_Pa,sim_press_MPa,sim_radius_p_m,sim_radius_s_m,sim_radius_se_m,h_set_recommended_m,sim_thickness_target_m,sim_plate_z_m,n_am_p,n_am_s,n_se,n_total
lhs00_021,bimodal,90,0.1,11.0000,3.0000,2.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.0055,0.0015,0.001,0.105556,0.0322997,0.0322997,7.47347,3315.73,3315.73,6638.93
lhs00_022,bimodal,85,0.1,10.0000,5.0000,2.0000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.005,0.0025,0.001,0.118627,0.0362997,0.0362997,9.94718,716.197,5266.16,5992.3
lhs00_023,bimodal,75,0.9,12.0000,5.0000,2.0000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.006,0.0025,0.001,0.15,0.0458996,0.0458996,51.8082,79.5775,9947.18,10078.6
lhs00_024,bimodal,70,0.6,15.0000,5.0000,2.0000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.0075,0.0025,0.001,0.169048,0.0517282,0.0517282,17.6839,318.31,12789.2,13125.2
lhs00_025,bimodal,70,0.9,6.0000,1.0000,1.0000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.003,0.0005,0.0005,0.169048,0.0517282,0.0517282,414.466,9947.18,102314,112676
lhs00_026,bimodal,80,0.6,9.0000,5.0000,0.5000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.0045,0.0025,0.00025,0.133333,0.0407997,0.0407997,81.8698,318.31,477465,477865
lhs00_027,bimodal,75,0.3,14.0000,2.0000,0.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.007,0.001,0.00025,0.15,0.0458996,0.0458996,10.8752,8703.79,636620,645334
lhs00_028,bimodal,90,0.5,9.0000,3.0000,2.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.0045,0.0015,0.001,0.105556,0.0322997,0.0322997,68.2249,1842.07,3315.73,5226.02
lhs00_029,bimodal,70,0.8,15.0000,2.0000,2.0000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.0075,0.001,0.001,0.169048,0.0517282,0.0517282,23.5785,2486.8,12789.2,15299.6
lhs00_030,bimodal,75,0.9,6.0000,3.0000,2.0000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.003,0.0015,0.001,0.15,0.0458996,0.0458996,414.466,368.414,9947.18,10730.1
lhs00_031,bimodal,80,0.4,10.0000,3.0000,1.0000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.005,0.0015,0.0005,0.133333,0.0407997,0.0407997,39.7887,2210.49,59683.1,61933.4
lhs00_032,bimodal,95,0.2,5.0000,4.0000,1.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.0025,0.002,0.0005,0.0938596,0.0287208,0.0287208,159.155,1243.4,12564.9,13967.4
lhs00_033,bimodal,75,0.1,13.0000,2.0000,1.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.0065,0.001,0.00075,0.15,0.0458996,0.0458996,4.52762,11190.6,23578.5,34773.6
lhs00_034,bimodal,85,0.6,10.0000,4.0000,2.0000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.005,0.002,0.001,0.118627,0.0362997,0.0362997,59.6831,621.699,5266.16,5947.54
lhs00_035,bimodal,85,0.4,11.0000,3.0000,1.5000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.0055,0.0015,0.00075,0.118627,0.0362997,0.0362997,29.8939,2210.49,12482.7,14723.1
lhs00_036,bimodal,90,0.3,14.0000,1.0000,1.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.007,0.0005,0.0005,0.105556,0.0322997,0.0322997,10.8752,69630.3,26525.8,96167
lhs00_037,bimodal,90,0.6,8.0000,5.0000,2.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.004,0.0025,0.001,0.105556,0.0322997,0.0322997,116.569,318.31,3315.73,3750.61
lhs00_038,bimodal,70,0.1,14.0000,5.0000,1.5000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.007,0.0025,0.00075,0.169048,0.0517282,0.0517282,3.62507,716.197,30315.2,31035
lhs00_039,bimodal,90,0.1,6.0000,1.0000,1.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.003,0.0005,0.0005,0.105556,0.0322997,0.0322997,46.0518,89524.7,26525.8,116097
lhs00_040,bimodal,95,0.8,7.0000,2.0000,2.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.0035,0.001,0.001,0.0938596,0.0287208,0.0287208,232.004,2486.8,1570.61,4289.41
lhs00_041,bimodal,85,0.7,7.0000,2.0000,2.0000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.0035,0.001,0.001,0.118627,0.0362997,0.0362997,203.004,3730.19,5266.16,9199.35
lhs00_042,bimodal,80,0.5,15.0000,3.0000,1.0000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.0075,0.0015,0.0005,0.133333,0.0407997,0.0407997,14.7366,1842.07,59683.1,61539.9
lhs00_043,bimodal,95,0.5,13.0000,2.0000,1.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.0065,0.001,0.0005,0.0938596,0.0287208,0.0287208,22.6381,6216.99,12564.9,18804.5
lhs00_044,bimodal,95,0.5,14.0000,2.0000,1.5000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.007,0.001,0.00075,0.0938596,0.0287208,0.0287208,18.1253,6216.99,3722.92,9958.04
lhs00_045,bimodal,80,0.7,7.0000,3.0000,2.0000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.0035,0.0015,0.001,0.133333,0.0407997,0.0407997,203.004,1105.24,7460.39,8768.63
lhs00_046,bimodal,75,0.8,9.0000,3.0000,1.0000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.0045,0.0015,0.0005,0.15,0.0458996,0.0458996,109.16,736.828,79577.5,80423.5
lhs00_047,bimodal,80,0.2,11.0000,5.0000,1.5000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.0055,0.0025,0.00075,0.133333,0.0407997,0.0407997,14.9469,636.62,17683.9,18335.4
lhs00_048,bimodal,75,0.5,5.0000,5.0000,0.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.0025,0.0025,0.00025,0.15,0.0458996,0.0458996,397.887,397.887,636620,637416
lhs00_049,bimodal,80,0.9,14.0000,3.0000,1.5000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.007,0.0015,0.00075,0.133333,0.0407997,0.0407997,32.6256,368.414,17683.9,18084.9
lhs00_050,bimodal,75,0.6,6.0000,1.0000,1.0000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.003,0.0005,0.0005,0.15,0.0458996,0.0458996,276.311,39788.7,79577.5,119643
lhs00_051,bimodal,85,0.3,5.0000,5.0000,2.0000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.0025,0.0025,0.001,0.118627,0.0362997,0.0362997,238.732,557.042,5266.16,6061.93
lhs00_052,bimodal,70,0.6,10.0000,5.0000,0.5000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.005,0.0025,0.00025,0.169048,0.0517282,0.0517282,59.6831,318.31,818511,818889
lhs00_053,bimodal,85,0.1,11.0000,2.0000,0.5000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.0055,0.001,0.00025,0.118627,0.0362997,0.0362997,7.47347,11190.6,337034,348232
lhs00_054,bimodal,70,0.5,14.0000,3.0000,2.0000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.007,0.0015,0.001,0.169048,0.0517282,0.0517282,18.1253,1842.07,12789.2,14649.4
lhs00_055,bimodal,85,0.1,12.0000,3.0000,1.0000,2,2.5e-05,10,0.85,0.15,2.5e-07,4.41176e-08,2.94118e-07,7.41422e-08,20.8333,8.82353,29.6569,36.2997,0.05,7.41422e-05,0.133,0.222984,1.4e+08,2.4e+07,0.3,0.006,0.0015,0.0005,0.118627,0.0362997,0.0362997,5.75647,3315.73,42129.2,45450.7
lhs00_056,bimodal,95,0.1,13.0000,1.0000,2.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.0065,0.0005,0.001,0.0938596,0.0287208,0.0287208,4.52762,89524.7,1570.61,91099.8
lhs00_057,bimodal,90,0.9,5.0000,4.0000,1.0000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.0025,0.002,0.0005,0.105556,0.0322997,0.0322997,716.197,155.425,26525.8,27397.4
lhs00_058,bimodal,95,0.1,14.0000,2.0000,2.0000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.007,0.001,0.001,0.0938596,0.0287208,0.0287208,3.62507,11190.6,1570.61,12764.8
lhs00_059,bimodal,70,0.3,5.0000,3.0000,0.5000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.0025,0.0015,0.00025,0.169048,0.0517282,0.0517282,238.732,2578.9,818511,821329
lhs00_060,bimodal,95,0.4,9.0000,2.0000,0.5000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.0045,0.001,0.00025,0.0938596,0.0287208,0.0287208,54.5799,7460.39,100519,108034
lhs00_061,bimodal,75,0.9,12.0000,5.0000,1.0000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.006,0.0025,0.0005,0.15,0.0458996,0.0458996,51.8082,79.5775,79577.5,79708.9
lhs00_062,bimodal,90,0.2,6.0000,4.0000,0.5000,2,2.5e-05,10,0.9,0.1,2.5e-07,2.77778e-08,2.77778e-07,6.59722e-08,20.8333,5.55556,26.3889,32.2997,0.05,6.59722e-05,0.133,0.198413,1.4e+08,2.4e+07,0.3,0.003,0.002,0.00025,0.105556,0.0322997,0.0322997,92.1036,1243.4,212207,213542
lhs00_063,bimodal,75,0.2,9.0000,2.0000,1.0000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.0045,0.001,0.0005,0.15,0.0458996,0.0458996,27.2899,9947.18,79577.5,89551.9
lhs00_064,bimodal,70,0.2,13.0000,3.0000,1.5000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.0065,0.0015,0.00075,0.169048,0.0517282,0.0517282,9.05524,2947.31,30315.2,33271.6
lhs00_065,bimodal,70,0.8,14.0000,1.0000,0.5000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.007,0.0005,0.00025,0.169048,0.0517282,0.0517282,29.0005,19894.4,818511,838435
lhs00_066,bimodal,70,0.7,10.0000,1.0000,1.5000,2,2.5e-05,10,0.7,0.3,2.5e-07,1.07143e-07,3.57143e-07,1.05655e-07,20.8333,21.4286,42.2619,51.7282,0.05,0.000105655,0.133,0.317759,1.4e+08,2.4e+07,0.3,0.005,0.0005,0.00075,0.169048,0.0517282,0.0517282,69.6303,29841.6,30315.2,60226.4
lhs00_067,bimodal,75,0.1,7.0000,5.0000,1.5000,2,2.5e-05,10,0.75,0.25,2.5e-07,8.33333e-08,3.33333e-07,9.375e-08,20.8333,16.6667,37.5,45.8996,0.05,9.375e-05,0.133,0.281955,1.4e+08,2.4e+07,0.3,0.0035,0.0025,0.00075,0.15,0.0458996,0.0458996,29.0005,716.197,23578.5,24323.7
lhs00_068,bimodal,80,0.4,9.0000,1.0000,2.0000,2,2.5e-05,10,0.8,0.2,2.5e-07,6.25e-08,3.125e-07,8.33333e-08,20.8333,12.5,33.3333,40.7997,0.05,8.33333e-05,0.133,0.250627,1.4e+08,2.4e+07,0.3,0.0045,0.0005,0.001,0.133333,0.0407997,0.0407997,54.5799,59683.1,7460.39,67198.1
lhs00_069,bimodal,95,0.6,14.0000,1.0000,1.5000,2,2.5e-05,10,0.95,0.05,2.5e-07,1.31579e-08,2.63158e-07,5.86623e-08,20.8333,2.63158,23.4649,28.7208,0.05,5.86623e-05,0.133,0.176428,1.4e+08,2.4e+07,0.3,0.007,0.0005,0.00075,0.0938596,0.0287208,0.0287208,21.7504,39788.7,3722.92,43533.4
