column	n_filled	pct_filled	verdict	class	why
P_c_mN_median_AM_P-AM_S	96	58.9	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
P_c_mN_median_AM_S-AM_S	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
R_brug_over_full	157	96.3	🔶 행 선별	COND_sig	CL-81 — 접촉망 σ 는 CONTACT_FREE 가지. 절대값 인용 시 단서 필요
R_brug_over_full_physics	157	96.3	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
R_bruggeman_over_full	157	96.3	🔶 행 선별	COND_sig	CL-81 — 접촉망 σ 는 CONTACT_FREE 가지. 절대값 인용 시 단서 필요
R_min_um_median_AM_P-AM_P	120	73.6	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
R_min_um_median_AM_P-AM_S	96	58.9	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
R_min_um_median_AM_S-AM_S	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
am_am_cn	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
am_am_cn_std	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
am_am_mean_area	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
am_am_n_contacts	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
am_am_total_area	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
am_se_cn_mean	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
am_se_cn_surface_weighted	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
am_se_ratio	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
am_vulnerable_pct	163	100.0	🔶 채널 종속	COND_cov	coverage 문턱 기반 → Hertz(기하 교차 원판) 채널에 종속
area_AM_P_AM_P_mean	120	73.6	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_AM_P_n	120	73.6	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_AM_P_total	120	73.6	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_AM_S_mean	96	58.9	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_AM_S_n	96	58.9	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_AM_S_total	96	58.9	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_SE_mean	121	74.2	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_SE_n	121	74.2	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_P_SE_total	121	74.2	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_S_AM_S_mean	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_S_AM_S_n	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_S_AM_S_total	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_S_SE_mean	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_S_SE_n	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM_S_SE_total	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM전체_AM_total_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
area_AM전체_SE_mean	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM전체_SE_n	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM전체_SE_total	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_AM전체_SE_total_delta_pct_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
area_AM전체_SE_total_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
area_SE_SE_mean	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_SE_SE_n	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_SE_SE_total	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
area_SE_SE_total_delta_pct_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
area_SE_SE_total_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
bulk_resistance_fraction	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
bulk_resistance_fraction_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
contact_pressure_max	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
contact_pressure_mean	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
coverage_AM_P_delta_pct_physics	121	74.2	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_P_delta_pct_rough	121	74.2	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
coverage_AM_P_mean	121	74.2	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
coverage_AM_P_mean_physics	121	74.2	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_P_mean_physics_rough	121	74.2	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_P_std	121	74.2	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
coverage_AM_P_std_physics	121	74.2	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_P_std_physics_rough	121	74.2	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_S_delta_pct_physics	138	84.7	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_S_delta_pct_rough	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
coverage_AM_S_mean	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
coverage_AM_S_mean_physics	138	84.7	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_S_mean_physics_rough	138	84.7	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_S_std	138	84.7	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
coverage_AM_S_std_physics	138	84.7	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_S_std_physics_rough	138	84.7	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_delta_pct_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_delta_pct_rough	163	100.0	✅ 쓴다(이름 주의)	NAME	L1-04 — c_cpl[22] 는 기하 교차 원판(πrδ−δ²/4), Hertz 탄성 아님. A_dem_geometric 로 부를 것
coverage_AM_mean_physics	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
coverage_AM_mean_physics_rough	163	100.0	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
e_se_eff_gpa	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
electronic_R_brug	145	89.0	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
electronic_active_fraction	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
electronic_percolating_fraction	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
electronic_sigma_full_mScm	152	93.3	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
electronic_sigma_full_mScm_fracture_aware	68	41.7	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
electronic_sigma_full_mScm_physics	153	93.9	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
electronic_sigma_full_mScm_stage_e	153	93.9	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
electronic_sigma_full_mScm_stage_e_physics	153	93.9	🔧 재실행	RERUN	DESC-03(단위·volume cap 이 163/163 에서 미결속) + L1-01(하한>상한) + L1-02(부피식 0.494배)
electronic_sigma_full_mScm_stagewise	68	41.7	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
electronic_sigma_loss_pct	68	41.7	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
electronic_sigma_loss_pct_stage_e	152	93.3	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
electronic_sigma_loss_pct_stagewise	68	41.7	🔶 행 선별	COND_fb	bruggeman_fallback_fired_any=True 115/163 → 48행만
fn_AM_P_AM_P_max	120	73.6	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_P_AM_P_mean	120	73.6	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_P_AM_S_max	96	58.9	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_P_AM_S_mean	96	58.9	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_P_SE_max	121	74.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_P_SE_mean	121	74.2	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_S_AM_S_max	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_S_AM_S_mean	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_S_SE_max	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_AM_S_SE_mean	138	84.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_SE_SE_max	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
fn_SE_SE_mean	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_force_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_force_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_force_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_force_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_fragmentation_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_force_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_force_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_force_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_force_pct	94	57.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_intact_pct	94	57.7	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_force_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_force_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_force_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_force_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_microcrack_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_force_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_force_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_force_AM_S-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_force_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_multicrack_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_pulverization_AM_P-AM_P_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
frac_pulverization_AM_P-AM_S_pct	163	100.0	✅ 쓴다	SAFE	기하·위상·설계·응력·파괴 — cap 선택과 무관 (Hertz/Physics Δ=0%)
