## Yun et al., Energy Storage Materials 59 (2023) 102787 — "Deciphering the critical degradation factors of solid composite electrodes with halide electrolytes: Interfacial reaction versus ionic transport"
## Lab paper (Jong-Won Lee co-corresponding, Hanyang + Janghyuk Moon co-corresponding, Chung-Ang). System: single-particle (SC) NCM811 LiNi0.8Co0.1Mn0.102 + two SEs compared: sulfide LPSCl (Li6PS5Cl) vs halide LIC (Li3InCl6).
## Composite NCM:SE:SuperP = 72:27:1 wt%. SE layer pressed 433 MPa, full cell 250 MPa. Voltage 2.5-4.3 V vs Li/Li+, 0.33C cycling, 30 C. EIS 7 MHz-1 mHz, 5 mV, modified TLM decoupling (R_ion / R_int).
## CORE THESIS: NCM-LPSCl degrades by INTERFACIAL REACTION (R_int up, resistive interphase P2Sx/Li2S); NCM-LIC degrades by IONIC TRANSPORT (R_ion up, cracking-induced mechanical deformation of LIC under pressure).
## src: stated = text/Table; digitized = read off figure (TREND only, approximate). All Ohm.cm2 unless noted.
##
## ===== A. DECOUPLED IMPEDANCE (modified TLM fit, Table S1) — the paper's central numbers =====
category,quantity,system,condition,value,unit,src,note
modulus,yield_strength_LPSCl,LPSCl,FEM_input_AS_PRINTED,200,GPa,stated_text_TYPO,⚠ PAPER SAYS 200 GPa but yield > modulus 32.8 GPa is impossible -> almost certainly 200 MPa typo (yield strengths are MPa)
##
## ===== D. FEM crack-propagation (cohesive-zone, Voronoi SE) =====
fem,domain_size,both,FEM_2D,12.55,um,stated_text,square domain matched to NCM:SE volume fractions
fem,NCM_effective_size,NCM811,Voronoi_pack,10,um,stated_text,effective NCM particle size in FEM (single-particle ~1-5 um real; 10 um for packing match)
fem,NCM_volume_change,NCM811,full_lithiation,5.9,percent,stated_text,delitiation/lithiation volume change (ref 38 Marker)
fem,partial_molar_volume,NCM811,Omega,1.338e-6,m3/mol,stated_text,Omega in eps = Omega/3 * delta_c (diffusion-induced strain via thermal-strain analogy)
fem,crack_energy_release_Gc,sulfide_SE,parameterized,0.5-3,J/m2,stated_text,crack-tip opening G_c range; sulfide SE known value 2.93 J/m2 (ref 40 Smith)
fem,GB_interfacial_strength,SE_grain_boundary,assumed,30,percent_weaker,stated_text,interfacial (GB) strength assumed 30% weaker than within-grain
fem,sigma_Mises_LPSCl,NCM-LPSCl,full_lithiation,<0.2,GPa,stated_Fig5a,★ LPSCl PLASTIC -> stress REDISTRIBUTED over large region, low values (<0.2 GPa)
fem,sigma_Mises_LIC,NCM-LIC,full_lithiation,>0.5,GPa,stated_Fig5b,★ LIC ELASTIC-ONLY -> stress ACCUMULATES at NCM/LIC interface (>0.5 GPa) -> cracks
fem,crack_count_LPSCl,NCM-LPSCl,vs_LIC,fewer,relative,stated_text,LPSCl had FEWER cracks (plastic redistribution lowers crack driving force)
fem,crack_count_LIC,NCM-LIC,vs_LPSCl,more,relative,stated_text,LIC MORE cracks (elastic stress concentration at interface)
fem,deformation_LPSCl,LPSCl,FEM_assumption,elastic-plastic,mode,stated_text,LPSCl viscoelastic/plastic (ref 54 Papakyriakou) -> can yield and redistribute
fem,deformation_LIC,LIC,FEM_assumption,elastic-only,mode,stated_text,LIC assumed deform ONLY elastically -> no redistribution -> interface stress accumulates
##
## ===== E. SSRM (scanning spreading resistance microscopy) local resistivity mapping =====
ssrm,scan_area,both,cross_section,2x2,um,stated_text,3D resistivity-topology map; z up to ~200 nm topology
ssrm,bias,both,DC,2.5,V,stated_SI,+2.5 V (sufficient to measure R_e while preventing LPSCl decomposition)
ssrm,tip,both,CONTSCPt,Pt-coated,probe,stated_text,resistivity rho_e = 4*r*R_e (r = probe radius)
ssrm,resistivity_NCM_phase,NCM,cross_section,<10,kOhm.cm,stated_text,low-resistivity NCM phase (green-blue in maps)
ssrm,resistivity_SE_phase,SE,cross_section,very_high,kOhm.cm,stated_text,extremely high resistivity SE phase (red), up to ~10^3-10^5 kOhm.cm in line scan
ssrm,interface_LPSCl,NCM-LPSCl,after_cycling_linescan,variation_~50nm,resistivity,stated_Fig3a,★ CONTINUOUS resistivity VARIATION across ~50 nm interfacial region = RESISTIVE INTERPHASE present
ssrm,interface_LIC,NCM-LIC,after_cycling_linescan,DISCONTINUITY_no_finite,resistivity,stated_Fig3b,★ resistivity DISCONTINUITY (no continuous variation over finite distance) = NO interphase (clean interface)
##
## ===== F. XPS chemical state (interphase identification) =====
xps,P2p_LPSCl_before,LPSCl,P2p,131.9_132.7,eV,stated_Fig3c,argyrodite P + phosphates (pristine)
xps,P2p_LPSCl_after,LPSCl,P2p_after_cycle,P2Sx_132.8_phosphate_133.7,eV,stated_Fig3c,★ NEW P2Sx + phosphate peaks after cycling = LPSCl OXIDATIVE DECOMPOSITION (interphase)
xps,S2p_LPSCl_after,LPSCl,S2p_after_cycle,Li2S_P2Sx,species,stated_Fig3c,★ sulfide species (Li2S, P2Sx) formed = resistive interphase
xps,In3d_LIC_after,LIC,In3d_after_cycle,UNCHANGED,species,stated_Fig3d,★ In 3d UNCHANGED after cycling = LIC electrochemically stable (no decomposition)
xps,Cl2p_LIC_after,LIC,Cl2p_after_cycle,UNCHANGED,species,stated_Fig3d,★ Cl 2p UNCHANGED = LIC interface stable (confirms SSRM no-interphase)
##
## ===== G. RATE CAPABILITY + CYCLING (Fig 1b-d) =====
electrochem,discharge_capacity,NCM-LPSCl,0.1C_initial,186.4,mAh/g,stated_text,initial discharge capacity (0.1C, lower than LIC)
electrochem,discharge_capacity,NCM-LIC,0.1C_initial,197.7,mAh/g,stated_text,★ LIC higher initial capacity (better NCM/LIC interface)
electrochem,initial_coulombic_efficiency,NCM-LPSCl,1st_cycle,84.5,percent,stated_text,lower ICE (LPSCl interphase side reaction)
electrochem,initial_coulombic_efficiency,NCM-LIC,1st_cycle,89.5,percent,stated_text,★ LIC higher ICE (stable interface, no sagging in voltage profile)
electrochem,capacity_2C,NCM-LPSCl,rate_2C,higher_than_LIC,relative,stated_text,★ at 2C LPSCl BETTER (interfacial charge transfer enhanced by large overpotential driving force)
electrochem,capacity_2C,NCM-LIC,rate_2C,inferior,relative,stated_text,LIC WORSE at 2C (low Li+ conductivity -> ionic transport bottleneck at high rate, larger polarization)
electrochem,capacity_retention,NCM-LPSCl,after_100cyc_0.33C,84.7,percent,stated_text,cap 138.5 mAh/g (LPSCl retains BETTER over 100 cyc)
electrochem,capacity_retention,NCM-LIC,after_100cyc_0.33C,75.7,percent,stated_text,★ cap 140.4 mAh/g; LIC FASTER decay (SE cracking -> ionic transport loss) despite higher start
electrochem,capacity_after100,NCM-LPSCl,100cyc,138.5,mAh/g,stated_text,absolute end capacity
electrochem,capacity_after100,NCM-LIC,100cyc,140.4,mAh/g,stated_text,absolute end capacity (still slightly higher than LPSCl but declining)
##
## ===== H. CELL / TEST PARAMETERS =====
params,composite_ratio,NCM:SE:SuperP,wt,72:27:1,wt%,stated_text,single-particle NCM + SE + Super P, ball-mill 250 rpm 48 h ZrO2
params,SE_layer_press,LPSCl_separator,fabrication,433,MPa,stated_text,100 mg LPSCl pressed at 433 MPa (then powder mix on one side)
params,cell_press,full_cell,fabrication,250,MPa,stated_text,after SUS current collectors inserted both sides
params,SE_layer_thickness,LPSCl_separator,cell,~200,um,stated_text,separator thickness
params,anode,In_Li,counter,In_100um+Li_200um,um,stated_text,indium 100 um (4 mm) + Li foil 200 um (4 mm)
params,voltage_window,full_cell,cycling,2.5-4.3,V_vs_Li,stated_text,formation 0.05C x2 (CC-CV to 4.3 V, CV cutoff 0.01C); cycling 0.33C
params,temperature,full_cell,test,30,degC,stated_text,galvanostatic + EIS at 30 C
params,EIS_range,full_cell,measurement,7MHz-1mHz,Hz,stated_text,AC amplitude 5 mV, Biologic SP-300, potentiostat
params,cell_types,both,EIS_decoupling,ion-blocking[SUS|elec|SUS]+full[SUS|elec|LPSCl|LiIn|SUS],config,stated_text,two cell types for electronic/ionic/interfacial decoupling
params,LIC_synthesis,Li3InCl6,prep,LiCl+InCl3_600rpm_3h+anneal_260C_12h_vacuum,method,stated_text,high-energy ball mill then anneal
