id	section	location	citation_as_written	canon_card	bib_verdict	claim	claim_verdict	evidence	first_commit
G1a-D14a	1a	build.js:355–359 (D14 메모)	Amin & Chiang 2016 (NMC333/532, 30 °C) · Wang 2018 (NCM811 DC 20 °C)	aminchiang2016_… · wang2018_…	V	"5.0 × 10⁻⁸ → 1.4 × 10⁻²" · "NCM811 pristine 4.1 × 10⁻³ S/cm (20 °C)" · "NMC532 Wang 1.3 × 10⁻³ ↔ Amin & Chiang 1.9 × 10⁻⁶"	V	aminchiang2016 카드 표 (x=0 NMC333 5.0e-8, x=0.75 NMC532 1.4e-2, NMC532 x=0 1.9e-6) · wang2018 카드 (NMC811 4.1e-3 @20 °C DC; NMC532 1.3e-3; 5e-5 는 논문에 없음)	—
G1a-D14b	1a	build.js:369–370 (D14 메모)	"Showa Denko VGCF-H 카탈로그 0.012 Ω cm ≈ 83 S cm⁻¹" · "단섬유 고유값 1e−4 Ω cm ≈ 10⁴"	endo2001_… (카탈로그 카드 없음)	U (카탈로그)	VGCF 분말·단섬유 저항률	P	Endo 2001: 흑연화(2800 °C) 단섬유 1 × 10⁻⁴ Ω·cm (4 단자) · 0.8 g/cm³ 압분 ≈0.012 Ω·cm (Fig. 7 판독, 본문에 "0.012" 없음) → 값은 대체로 맞고 "VGCF-H" 라벨·"83" 자릿수는 근거 없음 (카드 §3-5, si_table_response §8 ᵈ 권고)	—
G1a-D17	1a	build.js:411–419 (D17 메모)	Sedlatschek JPS 681 (2026) 240276 · Xu JES 164 (2017) A3333 · Cronau 2021 SI Fig. S2c	sedlatschek2026 · xu2017 · cronau2021	V	138 ± 24 GPa (n 29, ν 0.32 가정) · NMC532 142.5 ± 11.3 GPa · µC 펠릿 ≥146 MPa 평탄 2.88–3.46	V	세 카드 모두 원문 대조로 확인된 값 (xu2017 L20 서지, sedlatschek p.4, cronau2021 SI 판독)	—
G1d-S6	1a2	DEM_methodology_and_tables_v1.docx — 참고문헌 [S6] · 표 S2 NCM811 E "Ref. S6"	옛 [S6] (CL-90 인용 금지 서지 — 제목·논문번호는 등록부 참조)	없음	F	NCM811 E 140 GPa 의 출처	F	원장 CL-90 (live): 실재 미확인·지어진 제목. build.js 는 171934433 (09-25) 에서 Sedlatschek 로 바꿨으나 **docx 는 fe3b642a7 (08-25) 이후 재생성되지 않아 그대로** 들어 있다. docx 는 "DRAFT STATUS" 배너로 철회-스윕 파일 면제를 받는다 — 배너는 CL-33/41/58 용인데 CL-90 서지까지 면제된다	c2670de6e 2026-08-23 ([36]) → 9aa882135 2026-08-24 (S6 + 제목) · docx 최종 fe3b642a7 2026-08-25
G1d-10	1a2	DEM_methodology_and_tables_v1.docx — Methods "Microstructure reconstruction"	"…softened from the dense-material value of 24 GPa[34] to 1.35 GPa, which reproduces the ~10 % porosity and 11–12 % contact overlap reported for cold-pressed LPSCl at 300 MPa.[9]"	sakuda2013 · minnmann2022	V · M(서지 이니셜)	24 GPa = LPSCl 치밀값 [34] · 10 % 공극과 11–12 % 겹침이 "reported for cold-pressed LPSCl" [9]	M · M	24 GPa 는 유리값 (SA-2). 10 % 는 어느 정본 카드에도 없고 11–12 % 겹침은 우리 DEM 결과 (감사 C A1·A2·B6). build.js 는 d45576e2a (08-29) 에서 이 문장을 고쳤지만 docx 는 옛 문장 그대로	c2670de6e 2026-08-23
G1d-cal	1a2	DEM_methodology_and_tables_v1.docx — Methods	"The two models were calibrated independently against the same experimental porosity"	—	—	같은 "실험" 공극 (10 %)	M	10 % 는 실험값이 아니다 (감사 A ④ · C A1). build.js 현판은 D8 로 "1 %p 일치" 주장은 뺐으나 이 문장형은 docx 에 남아 있다	c2670de6e 2026-08-23
G1d-gi	1a2	DEM_methodology_and_tables_v1.docx — 표 S2	"Ionic conductivity (grain interior) 3.0 × 10⁻³ — Ref. S8"	cronau2021	V	"grain interior" 값	M (라벨)	S2c 는 입계 포함 펠릿값 (CL-91). build.js 는 라벨을 "(pellet, SI Fig. S2c)" 로 고쳤으나 docx 는 옛 라벨	c2670de6e 2026-08-23
G1d-D14	1a2	DEM_methodology_and_tables_v1.docx — D14 메모	"문헌 두 출처(Alabdali 2023 · Wang 2018)는 NMC bulk 를 5 × 10⁻⁵ S cm⁻¹ 로 준다"	alabdali2023 · wang2018	V	NMC bulk σ_e 5e-5 (문헌 측정처럼)	M (Wang) · P (Alabdali)	wang2018 카드 §3-4: 5e-5 는 그 논문 어디에도 없다. Alabdali 는 모델 입력값 (감사 D, 원장 CL-50). build.js 는 09-25 정정, docx 는 옛 문장	c2670de6e 2026-08-23 계열
Wang2022	1b	main.tex:75,122,202,324 · refs.bib:84	Wang, J., Lin, R., Liu, Y. and others, "Thermal conductivity of single- and polycrystalline NCM cathodes (UNVERIFIED — placeholder…)", Energy Storage Materials 49 (2022) 77–87	없음 (정본 wang2022 두 장은 무관 주제)	F (bib 파일 자신이 PHANTOM 표기)	"AM-grain phonon-scattering factor of Wang2022" · f_Wang(AM_P, AM_S) (Stage E κ 보정)	F	감사 B B13 (F). refs.bib 주석이 06-26 에 스스로 "does NOT resolve to a real paper" 라 적었는데 초록·서론·그림 1 캡션·식 (Stage E) 네 곳에서 여전히 인용된다	c66f9ae94 2026-05-08
Minnmann2021	1b	main.tex:89,111,507 · refs.bib:105	Minnmann, Quillman, Burkhardt, Richter, Janek, "Editors' choice — quantifying the impact of charge rate and inactive components on cathode performance for solid-state batteries", JES 168 (2021) 040502, doi 10.1149/1945-7111/abf3a3	없음 (minnmann2022 카드가 이 항목을 리포에서 옮겨 적었을 뿐)	F (추정)	"case-level ASR consistent with literature" · "reporting cathode ASR consistently" · "within the literature ranges reported by …"	F	감사 C E4 (웹 2 회) + 이번 검색 1 회: 040502/abf3a3/그 제목 모두 미발견, 실재 확인은 040537/abf8d7 (Bottlenecks) 뿐	c66f9ae94 2026-05-08
LiuYin2025	1b	main.tex:569,682,899,912,943,962,989 · refs.bib:265	Liu, Z. and Yin, H., "Stress-bearing percolation in all-solid-state battery composite cathodes", J. Power Sources 2025 (권·쪽 없음)	없음	F (그 서지) — 실재하는 Liu & Yin 2025 는 모래–고무 DEM (Comput. Geotech. 177, 106907)	f_perc = 0.65 "ASSB-specific stress-bearing percolation" · "their Methods section should be consulted" · "mono-AM-calibrated 0.65"	M	감사 C D8. 본문이 "their Methods section" 까지 언급해 원문을 본 것처럼 쓴다	bib 144e18b60 2026-05-13 (기원 33c9bdad9 · 4af41f62d)
Lewis2022	1b	main.tex:111 · refs.bib:439	Lewis, Cortes, … McDowell, "Linking void and interphase evolution to electrochemistry in solid-state batteries using operando X-ray tomography", Nature Materials 21 (2022) 1391–1398, doi 10.1038/s41563-022-01334-x	없음	M (서지) — 제목·저자는 실재 논문이나 연도·권·쪽·DOI 가 전부 다르다: 실제 Nat. Mater. **20**, 503–510 (**2021**), DOI 10.1038/s41563-020-00903-2. 적힌 DOI 는 무관한 Nat. Mater. 논평 ("Polarization from sliding molecular rotors", 21, 1100–1101)	"reporting cathode ASR consistently and linking mechanical degradation…" · bib note "provides experimental anchor for the porosity validation panels"	B⚠ · M	검색 (OSTI/Nature): 실제 논문은 Li/Li₁₀SnP₂S₁₂ 계면의 void·interphase (음극 쪽) — 양극 공극 앵커가 아니다. plainnat 는 note 를 참고문헌에 찍는다	49e3f85b8 2026-05-15
Tippens2019	1b	main.tex:114 · refs.bib:458	Tippens, Miers, … McDowell, "Visualizing chemomechanical degradation of a solid-state battery electrolyte", ACS Energy Lett. 4 (2019) 2756–2766, doi 10.1021/acsenergylett.9b01956	없음	M (서지) — 실제 4(6), **1475–1483**, DOI **10.1021/acsenergylett.9b00816**. 적힌 DOI 는 무관한 페로브스카이트 단결정 논문	"linking mechanical degradation to capacity fade" · bib note "Direct imaging of cycling-induced fracture in **garnet** electrolyte"	B · M	검색: 소재는 LAGP (NASICON) — garnet 아님. 본문 주장 자체 (계면상 성장이 균열·임피던스 증가를 부른다) 는 논문 주제와 맞다	49e3f85b8 2026-05-15
Bielefeld2022	1b	main.tex:89,111,507,743 · refs.bib:94	Bielefeld, Weber, Janek, "Microstructural modeling of composite cathodes for all-solid-state batteries", J. Phys. Chem. C **2022**, 123, 1626–1634, doi jpcc.8b11043	bielefeld2019_microstructural_modeling_composite_cathode	M (서지) — 2019 논문에 연도만 2022	ASR "within the literature ranges reported by" (89, 111, 507) · "experimental envelopes" (743)	M	카드: "유효 σ 를 안 푼다" (percolation·utilization·기하 A_spec 까지) · 실험이 아니라 GeoDict 기하 모델 → ASR 범위·"experimental envelope" 근거가 못 된다 (감사 C E1)	c66f9ae94 2026-05-08
Trevisanello2021	1b	main.tex:74,122,201,322 · refs.bib:63	Trevisanello, Ruess, Conforto, Richter, Janek, "Polycrystalline and single crystalline NCM cathode materials — Quantifying particle cracking, intra-particle gas evolution and lattice oxygen release", AEM 11 (2021) 2003400	trevisanello2021_sc_pc_ncm_cracking_diffusion	M (서지 — 제목 뒷부분: 실제 "…Quantifying Particle Cracking, Active Surface Area, and Lithium Diffusion")	"AM-crystallinity factor" · grain-level σ corrections f_Trev(AM_P, AM_S) (σ_e)	M	카드 L32: 측정한 것은 D_Li·BET·R_ct 뿐, σ_e 미측정 · 액체 LIB (감사 B B8·④)	c66f9ae94 2026-05-08
Cronau2021	1b	main.tex:73,122,201,320,848 · refs.bib:51	Cronau, Szabo, König, Wassermann, Roling, ACS Energy Lett. 6 (2021) 3072–3077, doi 1c01299	cronau2021_stack_pressure_ionic_conductivity	V	① "SE-size amorphisation factor of Cronau2021" · f_Cronau(r_SE) (73, 122, 201, 320) ② σ_grain 3.0 = µC-Li₆PS₅Cl 펠릿 ≥146 MPa 평탄 하단 [SI Fig. S2c] (848)	M · P	① 카드 §0(B): 입경 r 의 함수로 σ 를 재지 않았다 (감사 A CR-7) — main.tex:833–837 스스로 "a model assumption; its values are not taken from the literature" 라 적어 같은 원고 안에서 모순. ② CL-91 (판독값)	① c66f9ae94 (Cronau2022 로) → b1ab279c5 2026-06-30 재배선
Sakuda2013	1b	main.tex:226,252,777,806,810,824,831,849 · refs.bib:146	Sakuda, Hayashi, Tatsumisago, Sci. Rep. 3 (2013) 2261	sakuda2013_sulfide_mechanical_property	V	① So 2021 이 쓴 "real LPS modulus 24 GPa" (226) ② "E_eff taken from a Tabor-regime calibration" (252) ③ "LPSCl deforms plastically rather than brittlely" (777) ④ "**single-crystal grain conductivity** σ_grain^LPSCl = 3.0 mS/cm \citep{Sakuda2013}" (803–805) ⑤ 상온 압밀이 SE–SE 입계저항을 없앤다는 가정 (810) ⑥ 87 % @~300 MPa 추세 (824) ⑦ 360 MPa 입계 소멸 SEM (831) ⑧ "0.25–0.40 mS/cm … glass" (849)	①V ②M ③P ④M ⑤P ⑥V ⑦V ⑧P	카드: E 24 = 75Li₂S·25P₂S₅ 유리, 경도·Tabor 없음, σ = 0.31 (냉간 360 MPa)/0.34 (열간) mS/cm, 단결정 없음. ④ 는 같은 원고 842–849 의 SELF-51 정정 문단 ("not a single-crystal value … Cronau2021 SI S2c") 과 정면 모순 — 정정이 이 문장을 놓쳤다. ③: 정본 song2025_porous 는 LPSCl 펠릿 K_IC 0.17 MPa·m^½ (취성 파괴 시험) — Sakuda 는 유리의 상온 가압소결만 보인다. ⑧: 카드엔 0.31/0.34 만, 범위 0.25–0.40 없음	④ 830c54e99 2026-05-18 · ② c66f9ae94 2026-05-08
So2021	1b	main.tex:220,810,814,894 · refs.bib:179	So, Inoue, Hirate, Nunoshita, Ishikawa, Tsuge, "Effect of mold pressure on compaction and ion conductivity of ASSB revealed by the discrete element method", JPS 508 (2021) 230344	so2021_dem_mold_pressure_assb_coldpress	V	① 비선형 Hertz + 경도 문턱 h_eq 소성, LPS/Si, 50–600 MPa, E_SE 24 (Sakuda), 상대밀도·τ·modified Bruggeman (220–226) ② "restricted in practice to single-case analyses because of the cost of integrating h_eq" ③ 입계저항 무시 가정 + 직접 인용문 "the relative conduction coefficient could be estimated based solely on the geometry … without including the effects of the SE–SE grain-boundary resistance" (810–814) ④ "Bruggeman over-estimating the SE conductivity by ~3×" · φ_crit ≈ 0.13 (894) ⑤ bib note "Hooke + **1000×**-softened E_eff shortcut"	①V ②M ③U ④U·V ⑤M(내부)	카드 §4: "1 sim ≈ 25분", 몰드압 × f_AM 2D 스윕 → ② 반대. 카드에 입계·인용문·"3배" 없음 (원문 대조 필요). φ_crit 0.13 (eq 16) V. note 의 1000× 는 본문 (~18×) 과 어긋나고 plainnat 가 참고문헌에 찍는다	② ④ 296711edc 2026-05-18 · ③ 830c54e99 2026-05-18
CundallStrack1979	1b	main.tex:109,237 · refs.bib:328	Cundall & Strack, "A discrete numerical model for granular assemblies", Géotechnique 29 (1979) 47–65	없음	V (검색)	① "DEM gives forces and overlaps" (109) ② E_SE 24 → 1.35 연화가 "the standard DEM convention of Cundall & Strack and Thornton" (237)	①C ②M	두 논문 어디에도 "연화 E 로 소성 흐름 흡수" 관행이 없다 — 그 관행 (접촉 강성 감소) 을 문서화한 것은 정본 coetzee2017 §7 (감사 C·D)	② 296711edc 2026-05-18
Thornton1997	1b	main.tex:237,756 · refs.bib:765	Thornton, "Coefficient of restitution for collinear collisions of elastic-perfectly plastic spheres", J. Appl. Mech. 64 (1997) 383–386	없음	V (검색)	① 연화 관행 (237) ② "comparison between Hooke and Hertz contact-force forms in DEM is well documented" (756)	①M ②P	검색 요약: 탄성–완전소성 구의 반발계수 해석해 — Hooke↔Hertz 비교 논문이 아니다 (그 비교는 Di Renzo 2004)	296711edc 2026-05-18
Bruggeman1935	1b	main.tex:126,363,874 · refs.bib:33	Bruggeman, Ann. Phys. 416 (1935) 636–664, doi 10.1002/andp.19354160705	없음	V (검색)	L6 폴백 σ_eff ≈ σ_baseline·Σg_i f_i / Σg_i 가 "Bruggeman EMT fallback" · "the conductance-weighted form of Bruggeman averaging"	M (방법 오귀속)	그 식은 컨덕턴스 가중 **산술평균** (Wiener 병렬 상한) 이다. Bruggeman 1935 의 것은 자기일관 EMA (Σφ_i(σ_i−σ)/(σ_i+2σ)=0) 와 구형 지수 3/2 — 판단 근거는 식 형태 (카드 없음). 같은 원고가 739 행에서는 이 폴백을 "conservative lower bound", 854 행 절 제목에서는 "sound upper bound" 라 부른다	c66f9ae94 (식) · 9a13628aa 2026-05-13 (계보 문장)
Landauer1952	1b	main.tex:876 · refs.bib:689	Landauer, "The electrical resistance of binary metallic mixtures", J. Appl. Phys. 23 (1952) 779–784	없음	V (검색)	"the rigorous Bergman–Milton two-point bounds (Milton2002, Landauer1952)"	M	검색 요약: Landauer 1952 = 자기일관 유효매질 (EMA) 이론 — 경계 (bounds) 논문이 아니다	9a13628aa 2026-05-13
Bergman1978	1b	main.tex:875 · refs.bib:283	Bergman, Phys. Rep. 43 (1978) 377–407	없음	V (검색)	"Bruggeman averaging that Bergman placed inside the rigorous Bergman–Milton two-point bounds"	U	경계 이론 자체는 실재 (검색 요약: rigorous upper and lower bounds). 가중 산술평균은 그 상한 (Wiener) 이라 "inside" 는 공허하다 — 주장 성격상 원문 대조 불요, 오귀속 위험만 표시	9a13628aa
Torquato2002	1b	main.tex:877 · refs.bib:296	Torquato, Random Heterogeneous Materials, Springer 2002 (IAM 16)	없음	V (검색)	"treats [the weighted mean] as the canonical effective-medium estimate when volume fractions are replaced by edge-conductance weights"	U	교과서 특정 쪽 없이 쓴 해석 — 확인 불가	9a13628aa
Milton2002	1b	main.tex:876 · refs.bib:714	Milton, The Theory of Composites, CUP 2002	없음	V (검색)	Bergman–Milton bounds	C	—	
Lawn1998	1b	main.tex:76,120,310,752 · refs.bib:14	Lawn, "Indentation of ceramics with spheres: A century after Hertz", J. Am. Ceram. Soc. 81 (1998) 1977–1994	없음	V (감사 B A2)	"per-contact Lawn-stage fracture distribution" · 5 단계 (intact … pulverisation) 각 σ 배수 (1.0, 0.9, 0.5, 0.2, 0.05) (309–312) · Auerbach 유도는 Hertz 접촉 가정 (752)	U · C	감사 B F4 (U). 같은 원고 735 행은 사다리를 (1, 0.85, 0.40, 0.10, 0.02) 로 적어 309–312 와 다르다 (코드 Stage D 는 후자)	c66f9ae94 2026-05-08
Bouvard2004	1b	main.tex:560 · refs.bib:169	키 Bouvard2004 = Bouvard, "Densification behaviour of mixtures of hard and soft powders under pressure", Powder Technology 111 (**2000**) 231–239 + note "Binary RCP curve used for ε_RCP(f_SE, λ)"	bouvard2000_hard_soft_powder_densification	M (키↔내용·연도 불일치; 스크립트는 같은 키로 "Bouvard 2004, IJMS 46:907" 을 인용)	"Bouvard binary random close packing" — 이성분 RCP 곡선 ε_RCP(f_SE, λ) 의 출처	M	카드에 이성분 RCP 곡선 없음 (경/연 분말 가압 압밀 리뷰). 감사 C D5	bib 144e18b60 2026-05-13 (스크립트 ead2d1f9e 2026-05-12)
Bouvard2000	1b	main.tex:569 · refs.bib:235	Bouvard, "Densification of mixtures of hard and soft powders", **Mechanics of Materials 32** (2000) 231–239	bouvard2000_hard_soft_powder_densification	M (학술지 — 실제 Powder Technology 111)	f_perc = 0.65 "consensus" 의 한 축 · note "skeleton transition at hard ≈ 0.30"	M	카드의 0.32 는 경상 입자의 **기하** 퍼콜레이션 (힘 없는 패킹) — 연상 응력-지지 0.65 가 아니다 (감사 C D3·D4)	144e18b60 2026-05-13
Jacobs2009	1b	main.tex:569 · refs.bib:245	Jacobs & Thorpe, "Generic rigidity percolation in two dimensions", PNAS 106 (2009) 5390–5395	없음	M (서지 — 같은 제목은 PRE 53, 3682 (1996))	f_perc ≈ 0.65 consensus (Maxwell 2/3)	M	감사 C D6	144e18b60 / 4af41f62d 2026-05-13
Henkes2005	1b	main.tex:569 · refs.bib:255	Henkes, O'Hern & Chakraborty, "Entropy and temperature of a static granular assembly: An ab initio approach", PRL 95 (2005) 198002	없음	M (서지 혼합 — PRL 95, 198002 는 Henkes & Chakraborty "Jamming as a critical phenomenon…")	f_perc consensus · note "minority backbone carries the load"	U	감사 C D7	144e18b60 2026-05-13
Storakers2000	1b	main.tex:569 · refs.bib:225	Storåkers, Fleck & McMeeking, "The viscoplastic compaction of composite powders", JMPS 48 (2000) 785–815	없음	M (서지 — 실제 JMPS **47 (1999)** 785–815)	note "stress-bearing skeleton at hard 0.30–0.35; supports f_perc ≈ 0.65"	B	감사 C D2	144e18b60 2026-05-13
Sridhar2000	1b	main.tex:564,910 · refs.bib:205	Sridhar & Fleck, "The multiple state of stress and strain in cold-compacted bimodal powder mixtures", Acta Mater. 48 (2000) 3341–3352	없음	M (제목 — 실제 "Yield behaviour of cold compacted composite powders")	α_KC = 2 (K_C = 1 + α f_AM²)	B	감사 C D1 (정본 martinbouvard2003 의 K_h 1.3/1.8 과 α=2 식 1.08/1.32 불일치 계산)	144e18b60 2026-05-13 (스크립트 ead2d1f9e)
Furnas1929	1b	main.tex:562 · refs.bib:351	Furnas, "Flow of gases through beds of broken solids", Ind. Eng. Chem. 23 (1929) 1052–1058, doi ie50261a017	없음	M (서지 혼합 — DOI·권·쪽은 Furnas **1931** "Grading Aggregates I")	"original binary-packing argument" · note "D_large/D_small ≳ 4"	B	감사 C D11	49e3f85b8 2026-05-15
Yi2004	1b	main.tex:560 · refs.bib:613	Yi & Sastry, "Analytical approximation of the percolation threshold for overlapping ellipsoids of revolution", Proc. R. Soc. A 460 (2004) 2353–2380	없음	V (검색)	"Bouvard binary random close packing (Bouvard2004, Sohn1968, **Yi2004**, Hopkins2013)" · note "theoretical context for the Bouvard binary RCP"	M	겹치는 회전타원체의 퍼콜레이션 문턱 논문 — 이성분 무작위 조밀충전 (RCP) 과 주제가 다르다	49e3f85b8 2026-05-15
Sun2017	1b	main.tex:322 · refs.bib:503	Sun & Manthiram, Chem. Mater. 29 (2017) 8486–8493	없음	V (검색)	f_Trev(AM_P, AM_S) σ_e 결정립 계수의 근거 · note "companion to the Trevisanello 2021 polycrystalline correction"	B⚠	검색 요약: 액체 LIB 에서 Ni-rich (Ni0.9) 미세균열·표면열화 — σ_e 계수 없음 (원문 미대조)	49e3f85b8 2026-05-15
Ryu2018	1b	main.tex:322 · refs.bib:517	Ryu, Park, Yoon, Sun, Chem. Mater. 30 (2018) 1155–1163	없음	V (검색)	같은 σ_e 결정립 계수 · note "supports the Trevisanello 2021 grain-correction factor"	B⚠	검색 요약: Ni 함량별 용량 감소 기구 (bulk vs surface) — σ_e 계수 없음	49e3f85b8
Koerver2017b	1b	main.tex:114 · refs.bib:410	Koerver, Walther, Aygün, Sann, Dietrich, Zeier, Janek, "Redox-active cathode interphases in solid-state batteries", JMCA 5 (2017) 22750–22760	없음	V (검색)	"linking mechanical degradation to capacity fade" · note "stack-pressure dependence of NCM–LPSCl composite cathode impedance"	B⚠ · U	검색 요약: SE 의 산화환원 활성 저항층 (전기화학) — "기계적 열화" 논문이 아니다; note 의 적층압 의존은 미확인	49e3f85b8 2026-05-15
Koerver2017a	1b	main.tex:111,810 · refs.bib:393	Koerver, Aygün, Leichtweiß, … Janek, Chem. Mater. 29 (2017) 5574–5582	없음	V (검색)	① cathode ASR / 기계 열화 문헌 (111) ② 상온 압밀이 SE–SE 입계저항을 없앤다는 "foundational assumption" (810)	①B ②U	주제 (NCM811/β-Li₃PS₄ 계면상 + 화학기계) 는 ① 과 맞음. ② 는 원문 필요	c66f9ae94 / 830c54e99
