status	author	year	n_occ	n_files	areas	canon_cards	numbers_on_same_lines
CARD	Lee	2024	9	4	docs:8,webapp:1	lee2024_multicomponent_argyrodite_mixed_oxidation_mtp|lee2024_multiphysics_dem_fem_initial_pressure_assb	90 MPa×2; 0.0002 S/cm×1
CARD	Storakers	1997	8	2	docs:8	storakers1997_similarity_inelastic_contact	24 GPa×1
CARD	Bucci	2018	8	5	docs:7,scripts:1	bucci2018_mechanical_instability_interface_delamination	
CARD	Schneider	2023	8	4	docs:8	schneider2023_particle_size_pressure_transport	90 MPa×7; 0.1 GPa×3; 0.09 GPa×2; 100 MPa×2
CARD	Coetzee	2017	7	4	docs:6,scripts:1	coetzee2017_dem_calibration_review	1.35 GPa×1; 300 MPa×1; 500 µm×1
CARD	Huang	2025	7	3	docs:7	huang2025_dem_lbm_heat_conduction_composite_cathode	
CARD	Han	2025	7	5	docs:6,scripts:1	han2025_icep_binder_ultrahigh_loading_ncm811|han2025_icep_conductive_elastic_binder	7 nm×1; 0.1 mS/cm×1; 0.135 mS/cm×1
CARD	Cho-	2024	7	4	scripts:6,docs:1	cho2024_conflicting_roles_conductive_additive	
CARD	Park	2026	6	3	docs:6	park2026_ceramic_pp_separator|park2026_ml_framework_stable_interfaces_assb|park2026_thiolene_sbr_binder_assb	
CARD	Zhang	2023	6	3	docs:6	zhang2023_pfib_multiscale_imaging_4d_thick_cathode	3 S/cm×1
CARD	Schlautmann	2023	6	2	docs:6	schlautmann2023_se_particle_size_composite_transport	
CARD	Ma	2024	6	4	webapp:3,scripts:2,docs:1	ma2024_sb_doping_lpsc_conductivity	0.29 eV×3; 375 MPa×1
CARD	Patil	1987	5	5	docs:4,CLAUDE.md:1	patil1987_self_doped_conducting_polymers	250 S/cm×2
CARD	Minnmann	2024	5	5	docs:5	minnmann2024_microstructure_porosity_visualization	90 MPa×3; 100 MPa×2; 0.1 GPa×1
CARD	Bak	2024	5	3	docs:5	bak2024_binder_distribution_multilayer	2.8 g/cm×1
CARD	Minnmann	2022	5	4	docs:5	minnmann2022_designing_cathodes_solidstate	
CARD	Yoo	2026	5	4	docs:5	yoo2026_porosity_gradient_dry_electrode	
CARD	Mun	2025	5	4	docs:4,webapp:1	mun2025_dry_electrode_technology_assb_review	
CARD	Stomakhin	2013	5	2	docs:5	stomakhin2013_mpm_snow_elastoplastic	
CARD	Shi	2019	5	2	docs:5	shi2019_high_am_loading_particle_size_assb	10 µm×1
CARD	Lyu	2025	4	2	docs:4	lyu2025_3d_dem_drying_calendering_lib	
CARD	Duquesnoy	2023	4	4	docs:3,scripts:1	duquesnoy2023_ml_multiobjective_manufacturing_optimization	
CARD	Nisar	2024	4	1	docs:4	nisar2024_dem_effective_electrical_conductivity_sps	
CARD	Frankenberg	2024	4	1	docs:4	frankenberg2024_dem_high_intensity_mixer_assb	
CARD	Giovannetti	2008	3	1	docs:3	giovannetti2008_doping_graphene_metal_contacts	
CARD	Liao	2025	3	2	docs:3	liao2025_interfacial_adhesion_li_plating_carbon_interlayer	400 MPa×1
CARD	Deysher	2022	3	3	docs:3	deysher2022_transport_mechanical_aspects_assb_review	
CARD	Cho	2026	3	2	docs:3	cho2026_eipc_zn_anode_azib	
CARD	Choi	2026	3	2	docs:3	choi2026_bzox_dry_zro2x_nmc_shell_coating|choi2026_elastomeric_li_metal_anode	
CARD	Luding	2008	3	1	docs:3	luding2008_cohesive_frictional_contact_models	1.35 GPa×1
CARD	Chen	2011	3	1	docs:3	chen2011_percolation_micromodel_composite_electrode	
CARD	Alabdali	2023	3	3	docs:3	alabdali2023_cgmd_wet_manufacturing_ssb_cathode	5 mS/cm×1; 5 S/cm×1
CARD	Martin-Bouvard	2003	2	2	DEM_BRANCH_CONSOLIDATION.md:1,docs:1	martinbouvard2003_dem_composite_cold_compaction	
CARD	Park	2024	2	1	docs:2	park2024_sevennet_parallel_gnn_md	
CARD	Pasha	2014	2	2	docs:2	pasha2014_linear_elastoplastic_adhesive_contact	
CARD	Ngandjong	2021	2	1	docs:2	ngandjong2021_dem_calendering_digital_twin	
CARD	Schreiner	2020	2	1	docs:2	schreiner2020_dem_calendering_lib	
CARD	Shenouda	2020	2	1	docs:2	shenouda2020_dem_metal_powder_am_liggghts_tutorial	
CARD	Lee	2026	2	2	docs:2	lee2026_eecfp_dnn_electrolyte_ce_lmb|lee2026_lpscl_coating_thickness_ncm811|lee2026_mechanical_halogen_argyrodite_drycoating	
CARD	Paulick	2015	2	2	docs:2	paulick2015_elastic_particle_properties_dem_review	
CARD	Famprikis	2019	2	1	scripts:2	famprikis2019_fundamentals_inorganic_sse	
CARD	Thakur	2014	1	1	docs:1	thakur2014_eepa_adhesive_elastoplastic_dem	
CARD	Maurer	2015	1	1	docs:1	maurer2015_mbd_adsorbates_metal_surfaces	
CARD	Choi	2025	1	1	docs:1	choi2025_mlip_cu_taxn_interfacial_adhesion	
CARD	Pustorino	2025	1	1	docs:1	pustorino2025_lpscl_bulk_surface_mechanical_electronic_li_filament	
CARD	Spencer-Jolly	2023	1	1	docs:1	spencerjolly2023_ag_graphite_interlayer_operando_xrd	
CARD	Li	2026	1	1	docs:1	li2026_functionally_differentiated_interphase|li2026_mci_vs_sei_na3ps4_na_mlip_md|li2026_na_sulfide_halide_interface_review	
CARD	ThorntonNing	1998	1	1	docs:1	thorntonning1998_adhesive_elastoplastic_contact	
CARD	KogutEtsion	2002	1	1	docs:1	kogutetsion2002_ep_sphere_rigid_flat	
CARD	JacksonGreen	2005	1	1	docs:1	jacksongreen2005_fem_elastoplastic_hemispherical_contact	
CARD	MesarovicFleck	2000	1	1	docs:1	mesarovicfleck2000_dissimilar_elastoplastic_indentation	
CARD	Hollmann	2025	1	1	docs:1	hollmann2025_tabpfn_tabular_foundation_model	
CARD	Matthews	2024	1	1	docs:1	matthews2024_ptfe_nanofibril_network	
CARD	Otani	2025	1	1	docs:1	otani2025_dem_se_dispersion_aggregation_compression	
CARD	Zunker	2025	1	1	docs:1	zunker2025_dem_large_deformation_compaction	
CARD	Giannis	2021	1	1	docs:1	giannis2021_stress_based_multicontact_dem	
CARD	PyCompact	2025	1	1	docs:1	pycompact2025_dem_mpfem_workflow	
CARD	Demirtas	2021	1	1	docs:1	demirtas2021_mpfem_hollow_sphere_die_compaction	
CARD	Gonzalez	2012	1	1	docs:1	gonzalez2012_nonlocal_contact_confined_granular	
CARD	Cronk	2026	1	1	docs:1	cronk2026_lis_cathode_interphase_chemistry|cronk2026_lis_positive_electrode_geometry_fem	
NO_CARD	Lawn	1998	64	25	docs:23,scripts:23,webapp:14,STAGE_E_ASR_GUIDE.md:4		0.548 MPa×2; 100 MPa×1; 150 MPa×1
NO_CARD	Holm	1967	62	29	scripts:35,docs:16,CLAUDE.md:7,webapp:4		
NO_CARD	Cronau	2022	59	23	docs:23,scripts:15,webapp:11,CLAUDE.md:5		3.0 mS/cm×10; 0.5 μm×4; 0.3 μm×4; 10 μm×2
NO_CARD	Chen	2020	47	23	docs:27,scripts:13,webapp:5,CLAUDE.md:2		5.22 µm×2; 3.5 µm×1; 10 mS/cm×1; 5 mS/cm×1; 4 µm×1
NO_CARD	Quinn	2020	33	6	docs:18,webapp:8,scripts:7		0.3 MPa×4
NO_CARD	Park	2023	33	9	scripts:19,webapp:8,docs:6		
NO_CARD	Liu	2020	22	6	docs:12,scripts:6,webapp:4		1.0 MPa×3
NO_CARD	Sridhar	2000	22	7	scripts:22		
NO_CARD	Wang	2023	21	7	scripts:12,docs:9		1.35 GPa×1
NO_CARD	Bouvard	2004	21	12	scripts:17,docs:4		
NO_CARD	Wang	2020	19	10	docs:14,scripts:4,CLAUDE.md:1		24 GPa×5; 140 GPa×2; 22 GPa×1
NO_CARD	Brake	2012	16	4	docs:14,scripts:2		0.30 GPa×3; 0.85 GPa×1
NO_CARD	Shin	2025	16	7	docs:10,scripts:6		10 µm×4; 3 µm×2; 100 MPa×1; 0.010 S/cm×1; 0.5 MPa×1
NO_CARD	CLOSED	2026	15	7	docs:13,CLAUDE.md:1,webapp:1		5 mS/cm×1; 0.30 GPa×1; 0.56 GPa×1; 0.2 µm×1; 2 µm×1
NO_CARD	Bielefeld	2022	15	8	webapp:7,docs:5,STAGE_E_ASR_GUIDE.md:2,scripts:1		380 MPa×1
NO_CARD	Xu	2017	14	7	docs:11,scripts:3		140 GPa×2; 0.010 S/cm×1; 0.5 MPa×1; 0.85 GPa×1
NO_CARD	GeoDict	2023	13	6	docs:13		2 nm×1
NO_CARD	Lee	2020	12	6	webapp:6,docs:3,STAGE_E_ASR_GUIDE.md:2,scripts:1		380 MPa×5
NO_CARD	Tabor	1951	12	4	docs:11,scripts:1		
NO_CARD	Koerver	2017	12	4	docs:12		70 MPa×1; 64 MPa×1
NO_CARD	GeoDict	2022	12	3	docs:12		2 nm×1
NO_CARD	Lim	2018	12	3	docs:8,scripts:3,webapp:1		
NO_CARD	McGrogan	2017	10	5	docs:9,scripts:1		0.85 GPa×2; 0.6 GPa×2; 0.7 GPa×2; 1.9 GPa×1; 0.30 GPa×1
NO_CARD	Cheng	2017	10	4	docs:10		0.85 GPa×3; 0.9 GPa×1; 0.6 GPa×1; 0.30 GPa×1
NO_CARD	Bielefeld	2023	10	6	webapp:6,docs:3,scripts:1		
NO_CARD	Jiang	2015	9	1	docs:9		
NO_CARD	Oh	2025	9	4	webapp:4,scripts:3,docs:2		
NO_CARD	Radjai	1996	8	2	scripts:7,docs:1		
NO_CARD	Koerver	2018	8	6	docs:6,scripts:1,webapp:1		0.010 S/cm×1; 0.5 MPa×1; 22.1 GPa×1; 24 GPa×1; 0.85 GPa×1
NO_CARD	Ozkan	2010	8	3	docs:8		245 GPa×6; 10 GPa×1; 100 GPa×1; 83 S/cm×1
NO_CARD	Ketter	2025	7	5	scripts:6,GB_correction_fitting_report.md:1		4 W/m·K×1; 0.7 W/(m·K)×1; 0.7 W/m·K×1
NO_CARD	Mücke	2025	7	3	scripts:4,docs:2,webapp:1		
NO_CARD	Yin	2025	7	6	scripts:4,docs:3		
NO_CARD	Sangrós	2019	7	2	docs:7		300 MPa×1
NO_CARD	Greenwood	1966	7	3	docs:7		
NO_CARD	Vasconcelos	2019	7	4	scripts:3,docs:2,webapp:2		
NO_CARD	Conforto	2021	7	2	docs:7		
NO_CARD	Janek	2023	6	2	docs:3,scripts:3		0.5 mS/cm×2
NO_CARD	BUILT	2026	6	2	docs:6		
NO_CARD	Kirkpatrick	1973	6	4	scripts:4,docs:2		
NO_CARD	O'Regan	2022	6	4	docs:6		
NO_CARD	GeoDict	2025	6	3	docs:6		0.01 µm×2
NO_CARD	Jacobs	2009	6	2	scripts:4,docs:2		
NO_CARD	Moulinec-Suquet	1998	5	4	docs:4,scripts:1		
NO_CARD	Greenwood	1992	5	2	docs:3,scripts:2		
NO_CARD	Kondrakov	2017	5	3	scripts:3,docs:2		
NO_CARD	Yu	2023	5	3	docs:4,scripts:1		0.010 S/cm×1; 0.5 MPa×1
NO_CARD	Mast	2013	5	1	docs:5		
NO_CARD	Sangrós	2020	5	2	docs:5		
NO_CARD	Weitze	2024	5	2	docs:5		
NO_CARD	Heckel	1961	5	5	scripts:3,docs:2		
NO_CARD	Power	2023	5	1	docs:5		
NO_CARD	Yovanovich	1982	5	4	docs:4,scripts:1		
NO_CARD	CLOSE-OUT	2026	4	3	CLAUDE.md:2,docs:2		
NO_CARD	Bistri	2024	4	2	docs:4		
NO_CARD	Yu	2018	4	1	docs:4		6 mS/cm×1; 1.64 g/cm×1
NO_CARD	Joule	2026	4	2	docs:4		4.0 g/cm×1
NO_CARD	Song	2023	4	3	docs:4		2.61 GPa×2; 2.611 GPa×1; 0.1534 GPa×1; 140 GPa×1; 200 GPa×1
NO_CARD	Strauss	2018	4	2	docs:4		5 µm×1; 5 μm×1
NO_CARD	GeoDict	2020	4	2	docs:4		
NO_CARD	Sulsky	1994	4	3	docs:3,scripts:1		
NO_CARD	Narain	2010	4	1	docs:4		
NO_CARD	Zhou	2025	4	3	docs:4		2 MPa×1
NO_CARD	Zhang	2024	4	1	docs:4		
NO_CARD	Amin	2016	4	4	docs:4		
NO_CARD	Peaceman	1978	4	3	docs:2,scripts:2		
NO_CARD	Mikić	1974	4	3	docs:3,scripts:1		
NO_CARD	UPDATE	2026	3	3	CLAUDE.md:1,docs:1,scripts:1		0.2 µm×1
NO_CARD	Direct	2023	3	2	docs:2,scripts:1		
NO_CARD	Asia	2024	3	2	docs:2,scripts:1		
NO_CARD	Torquato	2002	3	1	docs:3		
NO_CARD	Thornton	1998	3	3	docs:2,scripts:1		
NO_CARD	Alabdali	2024	3	2	docs:3		
NO_CARD	Schmidt	2024	3	2	docs:2,scripts:1		
NO_CARD	Boulineau	2012	3	1	docs:3		3 mS/cm×1
NO_CARD	Frontiers	2021	3	1	docs:3		3 mS/cm×1
NO_CARD	Seminar	2026	3	3	docs:2,scripts:1		
NO_CARD	Kato	2016	3	2	docs:2,webapp:1		2.7 mS/cm×2
NO_CARD	Nam	2018	3	2	docs:3		
NO_CARD	Wiegmann	2006	3	1	docs:3		
NO_CARD	Kato	2018	3	2	docs:3		
NO_CARD	Magazine	2024	3	2	docs:3		
NO_CARD	Bonet	2008	3	1	docs:3		
NO_CARD	Kang	2023	3	1	docs:3		10 µm×1
NO_CARD	Storåkers	1997	3	2	docs:3		
NO_CARD	Klár	2016	3	2	docs:2,scripts:1		
NO_CARD	Cooper	2016	3	1	docs:3		
NO_CARD	Green	2005	3	2	docs:3		
NO_CARD	Vaucorbeil	2020	3	1	docs:3		
NO_CARD	McMeeking	2000	3	2	scripts:2,docs:1		
NO_CARD	ScienceDirect	2023	3	2	docs:2,scripts:1		80 nm×1; 0.1 μm×1; 100 nm×1
NO_CARD	Min	2024	3	2	docs:2,scripts:1		
NO_CARD	Jiang	2021	3	2	docs:2,scripts:1		
NO_CARD	Eyre-Milton	1999	3	2	docs:2,scripts:1		
NO_CARD	Storåkers	2000	3	2	scripts:2,docs:1		
NO_CARD	Henkes	2005	3	2	scripts:2,docs:1		
NO_CARD	Energy	2024	3	1	docs:3		
NO_CARD	Feng	2025	3	1	docs:3		
NO_CARD	Inorganics	2025	3	2	docs:3		
NO_CARD	Wang	2021	3	3	scripts:2,docs:1		5 μm×1
NO_CARD	Mikic	1974	3	2	scripts:2,docs:1		
NO_CARD	Dewald	2021	3	3	scripts:3		
NO_CARD	FINALIZED	2026	2	2	CLAUDE.md:1,docs:1		
NO_CARD	RESOLVED	2026	2	1	CLAUDE.md:2		
NO_CARD	COMPLETE	2026	2	2	CLAUDE.md:1,scripts:1		
NO_CARD	FINAL	2026	2	1	CLAUDE.md:2		
NO_CARD	ADOPTED	2026	2	2	CLAUDE.md:1,scripts:1		
NO_CARD	Comm	2025	2	1	GB_correction_fitting_report.md:2		
NO_CARD	Makse	2004	2	2	GB_correction_fitting_report.md:1,docs:1		
NO_CARD	Mater	2025	2	2	docs:1,scripts:1		
NO_CARD	Zheng	1990	2	1	docs:2		0.93 µm×1; 1.0 µm×1; 1.35 GPa×1; 300 MPa×1
NO_CARD	Tanaka	2017	2	1	docs:2		
NO_CARD	Yang	2022	2	2	docs:2		
NO_CARD	Bergman	1978	2	1	docs:2		
NO_CARD	Moulinec	1998	2	2	docs:2		
NO_CARD	Ning	1998	2	2	docs:2		
NO_CARD	Shozib	2024	2	1	docs:2		530 MPa×1
NO_CARD	IMPORTANT	2026	2	2	docs:1,scripts:1		
NO_CARD	Zhou	2020	2	1	docs:2		6 mS/cm×1
NO_CARD	Deiseroth	2008	2	1	docs:2		
NO_CARD	HISTORICAL	2026	2	2	docs:2		
NO_CARD	Franco	2026	2	2	docs:2		
NO_CARD	Philipse	1996	2	2	docs:1,scripts:1		
NO_CARD	Balberg	1984	2	2	docs:1,scripts:1		
NO_CARD	Ebner	2013	2	1	docs:2		
NO_CARD	Nature	2025	2	2	docs:1,webapp:1		
NO_CARD	Received	2019	2	2	docs:2		
NO_CARD	Braun	2018	2	1	docs:2		
NO_CARD	Received	2021	2	1	docs:2		
NO_CARD	GeoDict	2024	2	1	docs:2		
NO_CARD	Received	2022	2	2	docs:2		
NO_CARD	Revised	2022	2	2	docs:2		
NO_CARD	Thinky	2000	2	2	docs:2		50 MPa×1
NO_CARD	Received	2024	2	2	docs:2		
NO_CARD	Received	2020	2	2	docs:2		
NO_CARD	Lim	2023	2	2	docs:2		
NO_CARD	Ruess	2020	2	2	docs:2		
NO_CARD	Hlushkou	2018	2	1	docs:2		
NO_CARD	Zhou	2019	2	1	docs:2		1 mS/cm×1
NO_CARD	Mohayman	2025	2	2	docs:1,scripts:1		
NO_CARD	Bardenhagen	2000	2	1	docs:2		
NO_CARD	Drucker	1952	2	1	docs:2		
NO_CARD	Zhu	2005	2	1	docs:2		
NO_CARD	Otaduy	2011	2	1	docs:2		
NO_CARD	Macklin	2014	2	1	docs:2		
NO_CARD	Mast	2014	2	1	docs:2		
NO_CARD	Bosch	2014	2	1	docs:2		
NO_CARD	Bouvard	2003	2	1	docs:2		
NO_CARD	Fleck	2000	2	2	docs:2		
NO_CARD	Materials	2026	2	1	docs:2		
NO_CARD	Chem	2024	2	2	docs:2		
NO_CARD	Kang	2024	2	2	docs:1,webapp:1		
NO_CARD	Amin	2015	2	2	docs:1,scripts:1		2 S/cm×1
NO_CARD	Knauth	2009	2	1	docs:2		
NO_CARD	Wenzel	2016	2	1	docs:2		
NO_CARD	Communications	2024	2	1	docs:2		
NO_CARD	Payandeh	2023	2	2	docs:2		
NO_CARD	Yu-Standish	1996	2	1	docs:2		
NO_CARD	Batteries	2023	2	2	docs:1,scripts:1		
NO_CARD	SUPERSEDED	2026	2	2	docs:2		
NO_CARD	Lischka	2023	2	2	docs:2		0.25 GPa×1
NO_CARD	Pritzl	2019	2	2	docs:2		
NO_CARD	Auvergniot	2017	2	1	docs:2		
NO_CARD	Shi	2023	2	1	docs:2		4 nm×1
NO_CARD	Energy	2025	2	1	docs:2		
NO_CARD	Small	2025	2	1	docs:2		
NO_CARD	Glover	2010	2	2	docs:1,scripts:1		
NO_CARD	AlexNet	2012	2	1	machine-learning:2		
NO_CARD	ZFNet	2013	2	1	machine-learning:2		
NO_CARD	GoogLeNet	2014	2	1	machine-learning:2		
NO_CARD	ResNet	2015	2	1	machine-learning:2		
NO_CARD	SENet	2017	2	1	machine-learning:2		
NO_CARD	Energy	2023	2	2	pipeline:1,scripts:1		
NO_CARD	Thornton	1997	2	1	scripts:2		
NO_CARD	Lim	2017	2	2	scripts:1,webapp:1		
NO_CARD	Bernal	1965	2	1	scripts:2		
NO_CARD	Adopted	2026	2	2	scripts:2		
NO_CARD	Ohno	2020	2	1	scripts:2		
NO_CARD	Tippens	2019	2	1	scripts:2		
NO_CARD	Verma	2020	2	1	scripts:2		
NO_CARD	Bernal	1960	2	2	scripts:2		
NO_CARD	Storakers-Fleck-McMeeking	1999	2	2	scripts:2		
NO_CARD	Yu-Standish	1987	2	1	scripts:2		
NO_CARD	Tran	2025	2	1	scripts:2		
NO_CARD	Yu-Standish	1991	2	1	scripts:2		
NO_CARD	PENDING	2026	1	1	CLAUDE.md:1		
NO_CARD	GPa	2026	1	1	CLAUDE.md:1		1.35 GPa×1
NO_CARD	TIMELOG	2026	1	1	CLAUDE.md:1		
NO_CARD	CONVERGENCE	2026	1	1	CLAUDE.md:1		
NO_CARD	CROSS-CHECK	2026	1	1	CLAUDE.md:1		
NO_CARD	GRID-CONVERGENCE	2026	1	1	CLAUDE.md:1		
NO_CARD	USABLE	2026	1	1	CLAUDE.md:1		
NO_CARD	CROSS-VALIDATION	2026	1	1	CLAUDE.md:1		
NO_CARD	MOMENT	2026	1	1	CLAUDE.md:1		
NO_CARD	REFINEMENT	2026	1	1	CLAUDE.md:1		
NO_CARD	EXHAUSTED	2026	1	1	CLAUDE.md:1		
NO_CARD	VALIDATION	2026	1	1	CLAUDE.md:1		
NO_CARD	Haile	2003	1	1	GB_correction_fitting_report.md:1		
NO_CARD	Letters	2025	1	1	docs:1		
NO_CARD	Materials	2024	1	1	docs:1		
NO_CARD	Direct	2021	1	1	docs:1		
NO_CARD	German	2014	1	1	docs:1		
NO_CARD	Brouwers	2006	1	1	docs:1		
NO_CARD	Thornton	2015	1	1	docs:1		
NO_CARD	Alabdali	2022	1	1	docs:1		1.35 GPa×1; 300 MPa×1
NO_CARD	Birkholz	2022	1	1	docs:1		
NO_CARD	Grießer	2021	1	1	docs:1		
NO_CARD	Ryu	2018	1	1	docs:1		
