Volume_A3,Energy_fit_eV
1178.1203,-17182.711775
1178.4511,-17182.713372
1178.782,-17182.714953
1179.1128,-17182.716518
1179.4436,-17182.718068
1179.7744,-17182.719602
1180.1053,-17182.721121
1180.4361,-17182.722625
1180.7669,-17182.724113
1181.0977,-17182.725585
1181.4286,-17182.727043
1181.7594,-17182.728485
1182.0902,-17182.729912
1182.4211,-17182.731323
1182.7519,-17182.732719
1183.0827,-17182.7341
1183.4135,-17182.735466
1183.7444,-17182.736817
1184.0752,-17182.738153
1184.406,-17182.739474
1184.7368,-17182.740779
1185.0677,-17182.74207
1185.3985,-17182.743346
1185.7293,-17182.744607
1186.0602,-17182.745853
1186.391,-17182.747084
1186.7218,-17182.7483
1187.0526,-17182.749501
1187.3835,-17182.750688
1187.7143,-17182.75186
1188.0451,-17182.753017
1188.3759,-17182.75416
1188.7068,-17182.755288
1189.0376,-17182.756401
1189.3684,-17182.7575
1189.6992,-17182.758584
1190.0301,-17182.759653
1190.3609,-17182.760709
1190.6917,-17182.761749
1191.0226,-17182.762776
1191.3534,-17182.763788
1191.6842,-17182.764785
1192.015,-17182.765768
1192.3459,-17182.766737
1192.6767,-17182.767692
1193.0075,-17182.768632
1193.3383,-17182.769559
1193.6692,-17182.770471
1194.0,-17182.771368
1194.3308,-17182.772252
1194.6617,-17182.773122
1194.9925,-17182.773978
1195.3233,-17182.774819
1195.6541,-17182.775647
1195.985,-17182.77646
1196.3158,-17182.77726
1196.6466,-17182.778046
1196.9774,-17182.778818
1197.3083,-17182.779576
1197.6391,-17182.78032
1197.9699,-17182.78105
1198.3008,-17182.781767
1198.6316,-17182.78247
1198.9624,-17182.783159
1199.2932,-17182.783835
1199.6241,-17182.784497
1199.9549,-17182.785145
1200.2857,-17182.78578
1200.6165,-17182.786401
1200.9474,-17182.787009
1201.2782,-17182.787603
1201.609,-17182.788184
1201.9398,-17182.788751
1202.2707,-17182.789305
1202.6015,-17182.789845
1202.9323,-17182.790373
1203.2632,-17182.790886
1203.594,-17182.791387
1203.9248,-17182.791874
1204.2556,-17182.792348
1204.5865,-17182.792809
1204.9173,-17182.793257
1205.2481,-17182.793691
1205.5789,-17182.794113
1205.9098,-17182.794521
1206.2406,-17182.794916
1206.5714,-17182.795298
1206.9023,-17182.795667
1207.2331,-17182.796024
1207.5639,-17182.796367
1207.8947,-17182.796697
1208.2256,-17182.797014
1208.5564,-17182.797319
1208.8872,-17182.797611
1209.218,-17182.79789
1209.5489,-17182.798156
1209.8797,-17182.798409
1210.2105,-17182.79865
1210.5414,-17182.798878
1210.8722,-17182.799093
1211.203,-17182.799295
1211.5338,-17182.799485
1211.8647,-17182.799663
1212.1955,-17182.799827
1212.5263,-17182.79998
1212.8571,-17182.800119
1213.188,-17182.800247
1213.5188,-17182.800362
1213.8496,-17182.800464
1214.1805,-17182.800554
1214.5113,-17182.800632
1214.8421,-17182.800697
1215.1729,-17182.80075
1215.5038,-17182.80079
1215.8346,-17182.800819
1216.1654,-17182.800835
1216.4962,-17182.800839
1216.8271,-17182.80083
1217.1579,-17182.80081
1217.4887,-17182.800777
1217.8195,-17182.800733
1218.1504,-17182.800676
1218.4812,-17182.800607
1218.812,-17182.800526
1219.1429,-17182.800433
1219.4737,-17182.800329
1219.8045,-17182.800212
1220.1353,-17182.800083
1220.4662,-17182.799942
1220.797,-17182.79979
1221.1278,-17182.799626
1221.4586,-17182.799449
1221.7895,-17182.799261
1222.1203,-17182.799062
1222.4511,-17182.79885
1222.782,-17182.798627
1223.1128,-17182.798392
1223.4436,-17182.798146
1223.7744,-17182.797887
1224.1053,-17182.797618
1224.4361,-17182.797336
1224.7669,-17182.797043
1225.0977,-17182.796739
1225.4286,-17182.796423
1225.7594,-17182.796095
1226.0902,-17182.795756
1226.4211,-17182.795406
1226.7519,-17182.795044
1227.0827,-17182.794671
1227.4135,-17182.794286
1227.7444,-17182.79389
1228.0752,-17182.793483
1228.406,-17182.793064
1228.7368,-17182.792634
1229.0677,-17182.792193
1229.3985,-17182.791741
1229.7293,-17182.791278
1230.0602,-17182.790803
1230.391,-17182.790317
1230.7218,-17182.78982
1231.0526,-17182.789312
1231.3835,-17182.788793
1231.7143,-17182.788263
1232.0451,-17182.787722
1232.3759,-17182.78717
1232.7068,-17182.786607
1233.0376,-17182.786033
1233.3684,-17182.785448
1233.6992,-17182.784852
1234.0301,-17182.784245
1234.3609,-17182.783628
1234.6917,-17182.783
1235.0226,-17182.78236
1235.3534,-17182.78171
1235.6842,-17182.78105
1236.015,-17182.780378
1236.3459,-17182.779696
1236.6767,-17182.779003
1237.0075,-17182.7783
1237.3383,-17182.777586
1237.6692,-17182.776861
1238.0,-17182.776125
1238.3308,-17182.77538
1238.6617,-17182.774623
1238.9925,-17182.773856
1239.3233,-17182.773079
1239.6541,-17182.772291
1239.985,-17182.771492
1240.3158,-17182.770683
1240.6466,-17182.769864
1240.9774,-17182.769035
1241.3083,-17182.768195
1241.6391,-17182.767344
1241.9699,-17182.766484
1242.3008,-17182.765613
1242.6316,-17182.764732
1242.9624,-17182.76384
1243.2932,-17182.762939
1243.6241,-17182.762027
1243.9549,-17182.761105
1244.2857,-17182.760173
1244.6165,-17182.759231
1244.9474,-17182.758278
1245.2782,-17182.757316
1245.609,-17182.756343
1245.9398,-17182.755361
1246.2707,-17182.754368
1246.6015,-17182.753366
1246.9323,-17182.752353
1247.2632,-17182.751331
1247.594,-17182.750298
1247.9248,-17182.749256
1248.2556,-17182.748204
1248.5865,-17182.747142
1248.9173,-17182.74607
1249.2481,-17182.744988
1249.5789,-17182.743897
1249.9098,-17182.742796
1250.2406,-17182.741685
1250.5714,-17182.740564
1250.9023,-17182.739433
1251.2331,-17182.738293
1251.5639,-17182.737144
1251.8947,-17182.735984
1252.2256,-17182.734815
1252.5564,-17182.733637
1252.8872,-17182.732448
1253.218,-17182.731251
1253.5489,-17182.730043
1253.8797,-17182.728826
1254.2105,-17182.7276
1254.5414,-17182.726364
1254.8722,-17182.725119
1255.203,-17182.723865
1255.5338,-17182.722601
1255.8647,-17182.721327
1256.1955,-17182.720044
1256.5263,-17182.718752
1256.8571,-17182.717451
1257.188,-17182.71614
1257.5188,-17182.71482
1257.8496,-17182.713491
1258.1805,-17182.712152
1258.5113,-17182.710805
1258.8421,-17182.709448
1259.1729,-17182.708082
1259.5038,-17182.706706
1259.8346,-17182.705322
1260.1654,-17182.703929
1260.4962,-17182.702526
1260.8271,-17182.701114
1261.1579,-17182.699694
1261.4887,-17182.698264
1261.8195,-17182.696825
1262.1504,-17182.695378
1262.4812,-17182.693921
1262.812,-17182.692455
1263.1429,-17182.690981
1263.4737,-17182.689498
1263.8045,-17182.688005
1264.1353,-17182.686504
1264.4662,-17182.684994
1264.797,-17182.683475
1265.1278,-17182.681948
1265.4586,-17182.680411
1265.7895,-17182.678866
1266.1203,-17182.677312
1266.4511,-17182.675749
1266.782,-17182.674178
1267.1128,-17182.672598
1267.4436,-17182.671009
1267.7744,-17182.669412
1268.1053,-17182.667806
1268.4361,-17182.666191
1268.7669,-17182.664568
1269.0977,-17182.662936
1269.4286,-17182.661296
1269.7594,-17182.659647
1270.0902,-17182.65799
1270.4211,-17182.656324
1270.7519,-17182.65465
1271.0827,-17182.652967
1271.4135,-17182.651276
1271.7444,-17182.649577
1272.0752,-17182.647869
1272.406,-17182.646152
1272.7368,-17182.644428
1273.0677,-17182.642695
1273.3985,-17182.640953
1273.7293,-17182.639204
1274.0602,-17182.637446
1274.391,-17182.63568
1274.7218,-17182.633906
1275.0526,-17182.632123
1275.3835,-17182.630332
1275.7143,-17182.628533
1276.0451,-17182.626726
1276.3759,-17182.624911
1276.7068,-17182.623088
1277.0376,-17182.621256
1277.3684,-17182.619417
1277.6992,-17182.617569
1278.0301,-17182.615713
1278.3609,-17182.61385
1278.6917,-17182.611978
1279.0226,-17182.610098
1279.3534,-17182.608211
1279.6842,-17182.606315
1280.015,-17182.604412
1280.3459,-17182.6025
1280.6767,-17182.600581
1281.0075,-17182.598654
1281.3383,-17182.596718
1281.6692,-17182.594776
1282.0,-17182.592825
