t_ps,T_K,T_set_K,density_g_cm3,volume_A3,E_pot_eV,P_GPa,P_virial_GPa
40.000,1154.5,1200.0,1.3219,11176.54,-1599.6454,-0.0504,-0.6208
41.000,1152.0,1200.0,1.3212,11182.42,-1600.6835,-0.0293,-0.5983
42.000,1195.5,1200.0,1.3143,11240.91,-1603.3315,0.1776,-0.4098
43.000,1170.1,1200.0,1.3135,11247.26,-1602.6615,0.0023,-0.5723
44.000,1169.5,1200.0,1.3212,11182.22,-1600.3328,0.2019,-0.3756
45.000,1266.6,1200.0,1.3237,11160.68,-1606.0553,0.1038,-0.5229
46.000,1159.5,1200.0,1.3284,11121.29,-1600.1829,-0.1025,-0.6782
47.000,1150.5,1200.0,1.3262,11140.04,-1600.0000,0.0480,-0.5224
48.000,1199.1,1200.0,1.3252,11148.01,-1601.2670,0.3807,-0.2133
49.000,1239.6,1200.0,1.3245,11154.24,-1601.7569,0.1991,-0.4146
50.000,1192.2,1200.0,1.3306,11103.02,-1601.0845,-0.4625,-1.0555
51.000,1232.0,1200.0,1.3343,11072.44,-1603.4183,0.0736,-0.5409
52.000,1256.0,1200.0,1.3292,11114.65,-1604.4608,0.1764,-0.4477
53.000,1144.1,1200.0,1.3288,11118.49,-1600.8029,0.0906,-0.4777
54.000,1168.2,1200.0,1.3278,11126.20,-1602.1287,0.4987,-0.0812
55.000,1234.1,1200.0,1.3239,11159.45,-1604.6419,0.0373,-0.5734
56.000,1233.9,1200.0,1.3293,11114.06,-1604.2736,0.1416,-0.4716
57.000,1232.8,1200.0,1.3348,11068.24,-1604.3884,-0.0631,-0.6783
58.000,1182.1,1200.0,1.3348,11068.48,-1601.1150,-0.1992,-0.7889
59.000,1163.7,1200.0,1.3346,11069.53,-1599.5367,-0.0712,-0.6518
60.000,1183.2,1200.0,1.3310,11100.01,-1599.4410,0.3566,-0.2321
61.000,1206.4,1200.0,1.3331,11082.13,-1602.1423,-0.1380,-0.7392
62.000,1236.7,1200.0,1.3326,11086.69,-1604.9731,-0.0156,-0.6316
63.000,1187.6,1200.0,1.3291,11115.88,-1604.1455,0.2360,-0.3540
64.000,1209.3,1200.0,1.3311,11098.96,-1601.8662,0.2130,-0.3887
65.000,1222.5,1200.0,1.3272,11131.13,-1602.8905,-0.0565,-0.6630
66.000,1179.8,1200.0,1.3250,11150.27,-1601.4649,0.0894,-0.4950
67.000,1215.4,1200.0,1.3254,11146.93,-1602.7029,0.4629,-0.1392
68.000,1175.4,1200.0,1.3310,11099.88,-1600.7873,-0.3760,-0.9608
69.000,1212.0,1200.0,1.3308,11101.47,-1605.9745,0.1460,-0.4570
70.000,1140.6,1200.0,1.3307,11102.34,-1599.9740,0.0825,-0.4849
71.000,1224.5,1200.0,1.3296,11111.07,-1602.7585,-0.0041,-0.6127
72.000,1160.6,1200.0,1.3286,11119.61,-1601.0747,0.0782,-0.4982
73.000,1206.3,1200.0,1.3283,11122.02,-1601.0947,0.2412,-0.3578
74.000,1266.3,1200.0,1.3260,11141.42,-1606.6201,0.3212,-0.3065
75.000,1178.4,1200.0,1.3275,11128.71,-1601.4653,0.5354,-0.0493
76.000,1217.9,1200.0,1.3256,11144.98,-1600.5596,0.0898,-0.5137
77.000,1250.3,1200.0,1.3259,11142.62,-1604.4711,-0.0791,-0.6988
78.000,1188.1,1200.0,1.3257,11144.47,-1602.8264,0.0188,-0.5699
79.000,1203.8,1200.0,1.3273,11130.70,-1602.4660,0.1081,-0.4891
80.000,1237.1,1200.0,1.3322,11089.60,-1605.5705,-0.0271,-0.6432
81.000,1175.8,1200.0,1.3275,11129.16,-1602.1127,0.1678,-0.4156
82.000,1204.1,1200.0,1.3220,11175.62,-1601.7038,0.2940,-0.3010
83.000,1208.3,1200.0,1.3226,11170.43,-1601.8517,-0.0737,-0.6711
84.000,1226.6,1200.0,1.3194,11197.14,-1603.7483,0.3546,-0.2503
85.000,1144.6,1200.0,1.3146,11238.09,-1599.6783,-0.1364,-0.6988
86.000,1190.8,1200.0,1.3145,11239.16,-1600.7987,0.1658,-0.4193
87.000,1147.9,1200.0,1.3132,11250.50,-1600.9536,-0.0929,-0.6564
88.000,1216.8,1200.0,1.3205,11187.66,-1604.3919,-0.2373,-0.8379
89.000,1144.6,1200.0,1.3192,11198.95,-1598.0724,-0.0509,-0.6153
90.000,1122.2,1200.0,1.3212,11181.76,-1600.1467,-0.1913,-0.7456
91.000,1209.8,1200.0,1.3199,11192.93,-1602.6722,0.1838,-0.4132
92.000,1193.8,1200.0,1.3225,11170.86,-1601.7478,0.2868,-0.3034
93.000,1183.5,1200.0,1.3207,11186.31,-1603.3897,-0.3867,-0.9710
94.000,1216.3,1200.0,1.3202,11190.41,-1602.1248,0.2620,-0.3383
95.000,1189.4,1200.0,1.3218,11177.14,-1601.0197,-0.0749,-0.6625
96.000,1180.2,1200.0,1.3196,11195.47,-1599.5221,-0.0225,-0.6047
97.000,1155.9,1200.0,1.3214,11180.77,-1599.9629,0.3164,-0.2545
98.000,1173.7,1200.0,1.3259,11142.64,-1600.3782,0.0707,-0.5110
99.000,1176.1,1200.0,1.3304,11104.70,-1599.3630,0.0234,-0.5615
100.000,1187.9,1200.0,1.3301,11107.15,-1599.5580,0.0127,-0.5780
101.000,1223.9,1199.0,1.3218,11176.80,-1602.3405,0.1329,-0.4718
102.000,1212.1,1198.0,1.3293,11113.68,-1599.8355,-0.2840,-0.8863
103.000,1195.1,1197.0,1.3295,11112.52,-1603.4054,0.3367,-0.2572
104.000,1165.4,1196.0,1.3290,11116.16,-1601.9375,0.0204,-0.5586
105.000,1195.3,1195.0,1.3289,11117.46,-1604.5664,-0.1710,-0.7647
106.000,1259.5,1194.0,1.3373,11047.32,-1606.3571,-0.5986,-1.2283
107.000,1106.1,1193.0,1.3423,11006.56,-1597.9315,0.0529,-0.5021
108.000,1184.1,1192.0,1.3407,11019.47,-1602.5567,-0.0050,-0.5985
109.000,1168.2,1191.0,1.3318,11093.01,-1604.5670,0.2399,-0.3416
110.000,1172.5,1190.0,1.3280,11124.96,-1600.6632,0.0684,-0.5137
111.000,1177.6,1189.0,1.3239,11159.12,-1600.6944,-0.0189,-0.6017
112.000,1185.8,1188.0,1.3228,11168.83,-1603.8873,0.1187,-0.4676
113.000,1203.9,1187.0,1.3209,11184.36,-1603.1220,-0.4242,-1.0186
114.000,1243.1,1186.0,1.3258,11143.59,-1603.6048,0.1388,-0.4773
115.000,1235.3,1185.0,1.3281,11124.27,-1605.1710,0.3354,-0.2778
116.000,1176.3,1184.0,1.3311,11098.58,-1602.7365,-0.0434,-0.6288
117.000,1163.2,1183.0,1.3310,11099.49,-1602.1858,0.1907,-0.3880
118.000,1178.0,1182.0,1.3332,11081.28,-1605.1244,-0.3207,-0.9077
119.000,1210.9,1181.0,1.3314,11096.47,-1605.9066,0.1293,-0.4734
120.000,1183.4,1180.0,1.3292,11114.97,-1604.7049,0.1725,-0.4154
121.000,1138.2,1179.0,1.3318,11093.44,-1602.9490,-0.0470,-0.6137
122.000,1202.6,1178.0,1.3311,11098.89,-1606.7439,-0.2074,-0.8058
123.000,1172.1,1177.0,1.3325,11087.51,-1602.5099,-0.0316,-0.6154
124.000,1186.0,1176.0,1.3307,11102.27,-1604.9462,0.1674,-0.4226
125.000,1164.9,1175.0,1.3291,11115.20,-1603.7509,0.0972,-0.4816
126.000,1201.3,1174.0,1.3308,11101.05,-1605.0515,-0.0541,-0.6517
127.000,1198.3,1173.0,1.3298,11109.91,-1606.4578,0.0368,-0.5589
128.000,1201.9,1172.0,1.3309,11100.20,-1607.4150,0.1498,-0.4482
129.000,1200.2,1171.0,1.3310,11099.79,-1605.6626,-0.1386,-0.7358
130.000,1162.1,1170.0,1.3314,11096.11,-1605.5903,0.0697,-0.5087
131.000,1177.4,1169.0,1.3301,11107.64,-1603.4303,0.2399,-0.3455
132.000,1182.8,1168.0,1.3300,11108.22,-1606.2784,-0.1659,-0.7540
133.000,1139.4,1167.0,1.3325,11087.64,-1605.1455,-0.2840,-0.8515
134.000,1162.4,1166.0,1.3362,11056.23,-1603.5790,0.0918,-0.4888
135.000,1137.8,1165.0,1.3335,11078.99,-1602.9736,0.1196,-0.4476
136.000,1115.7,1164.0,1.3392,11031.57,-1602.2482,-0.0173,-0.5758
137.000,1242.0,1163.0,1.3333,11080.70,-1609.8885,0.2656,-0.3534
138.000,1165.8,1162.0,1.3341,11073.56,-1604.8315,0.2260,-0.3554
139.000,1177.5,1161.0,1.3371,11049.42,-1607.8809,-0.0770,-0.6656
140.000,1106.5,1160.0,1.3428,11002.13,-1602.3266,-0.0527,-0.6081
141.000,1155.6,1159.0,1.3475,10964.12,-1602.6682,-0.2017,-0.7837
142.000,1158.4,1158.0,1.3496,10947.16,-1606.8615,-0.1060,-0.6903
143.000,1147.1,1157.0,1.3483,10957.08,-1604.7494,0.1123,-0.4658
144.000,1104.8,1156.0,1.3477,10962.10,-1604.2425,-0.0425,-0.5991
145.000,1157.9,1155.0,1.3486,10955.03,-1606.8547,-0.0483,-0.6320
146.000,1156.5,1154.0,1.3412,11015.48,-1607.5643,0.1317,-0.4481
147.000,1184.9,1153.0,1.3373,11047.41,-1605.9941,0.1567,-0.4356
148.000,1179.0,1152.0,1.3348,11068.17,-1607.4847,-0.1888,-0.7771
149.000,1179.8,1151.0,1.3320,11091.07,-1607.6081,-0.0335,-0.6210
150.000,1136.8,1150.0,1.3337,11077.14,-1604.9745,0.1654,-0.4013
151.000,1092.7,1149.0,1.3310,11099.55,-1603.3139,0.0416,-0.5021
152.000,1144.1,1148.0,1.3300,11108.22,-1605.5724,-0.0611,-0.6299
153.000,1164.5,1147.0,1.3351,11065.56,-1610.0980,-0.1824,-0.7636
154.000,1143.8,1146.0,1.3376,11045.06,-1606.8530,-0.5200,-1.0918
155.000,1146.7,1145.0,1.3373,11047.75,-1607.6644,-0.1501,-0.7233
156.000,1137.8,1144.0,1.3322,11089.45,-1605.7209,-0.0939,-0.6605
157.000,1151.8,1143.0,1.3304,11105.02,-1608.6984,0.0191,-0.5537
158.000,1149.3,1142.0,1.3331,11082.41,-1604.9047,0.1883,-0.3844
159.000,1068.5,1141.0,1.3297,11110.57,-1603.7088,-0.1754,-0.7065
160.000,1102.2,1140.0,1.3323,11089.03,-1602.8768,-0.0394,-0.5883
161.000,1183.2,1139.0,1.3370,11049.64,-1608.3253,0.0975,-0.4939
162.000,1157.6,1138.0,1.3346,11070.00,-1606.3711,-0.1294,-0.7069
163.000,1104.5,1137.0,1.3300,11108.10,-1607.1188,0.1034,-0.4458
164.000,1197.7,1136.0,1.3309,11100.25,-1611.2623,0.2798,-0.3161
165.000,1156.0,1135.0,1.3343,11072.51,-1608.9677,-0.3205,-0.8971
166.000,1106.5,1134.0,1.3406,11020.07,-1605.1816,-0.0349,-0.5894
167.000,1136.0,1133.0,1.3443,10990.17,-1608.0450,-0.0840,-0.6549
168.000,1067.0,1132.0,1.3491,10950.45,-1603.6118,-0.2049,-0.7430
169.000,1144.1,1131.0,1.3484,10956.19,-1607.0993,-0.0970,-0.6737
170.000,1146.7,1130.0,1.3442,10990.36,-1609.1344,0.1724,-0.4038
171.000,1129.0,1129.0,1.3490,10951.68,-1608.4699,-0.0305,-0.5998
172.000,1137.4,1128.0,1.3417,11011.19,-1609.2771,0.2548,-0.3157
173.000,1152.7,1127.0,1.3386,11036.49,-1606.9384,-0.4870,-1.0638
174.000,1123.4,1126.0,1.3385,11037.57,-1607.1644,-0.4346,-0.9967
175.000,1139.3,1125.0,1.3288,11118.45,-1608.5707,0.1134,-0.4525
176.000,1108.7,1124.0,1.3313,11096.90,-1606.2133,0.1094,-0.4424
177.000,1095.9,1123.0,1.3294,11113.46,-1608.3071,0.0116,-0.5330
178.000,1094.2,1122.0,1.3266,11136.36,-1606.7369,0.1942,-0.3484
179.000,1095.9,1121.0,1.3291,11115.61,-1607.6840,-0.0002,-0.5447
180.000,1128.9,1120.0,1.3309,11100.77,-1606.8739,-0.0395,-0.6011
181.000,1063.4,1119.0,1.3329,11084.02,-1605.0745,-0.2079,-0.7377
182.000,1080.2,1118.0,1.3291,11115.90,-1606.0883,-0.2070,-0.7436
183.000,1111.1,1117.0,1.3282,11122.91,-1607.1939,-0.0538,-0.6055
184.000,1117.6,1116.0,1.3294,11113.45,-1608.3797,-0.0897,-0.6451
185.000,1140.1,1115.0,1.3342,11073.28,-1610.3128,-0.0562,-0.6248
186.000,1128.3,1114.0,1.3363,11055.78,-1608.7493,0.0982,-0.4654
187.000,1138.3,1113.0,1.3429,11001.17,-1609.5343,-0.3042,-0.8756
188.000,1104.3,1112.0,1.3425,11004.98,-1608.5105,-0.0561,-0.6103
189.000,1081.6,1111.0,1.3436,10995.93,-1607.4347,0.1788,-0.3644
190.000,1082.4,1110.0,1.3447,10986.34,-1605.8301,0.2819,-0.2622
191.000,1150.4,1109.0,1.3427,11002.75,-1609.0819,0.1810,-0.3965
192.000,1114.8,1108.0,1.3386,11037.09,-1609.9609,0.1583,-0.3996
193.000,1029.9,1107.0,1.3392,11031.87,-1606.6450,-0.0523,-0.5679
194.000,1079.5,1106.0,1.3333,11080.37,-1608.1819,0.1155,-0.4226
195.000,1044.7,1105.0,1.3358,11059.53,-1605.9670,0.0448,-0.4769
196.000,1087.3,1104.0,1.3345,11070.70,-1609.5844,0.1234,-0.4190
197.000,1052.1,1103.0,1.3384,11038.54,-1604.0322,-0.2078,-0.7341
198.000,1073.2,1102.0,1.3382,11039.66,-1608.3841,0.1133,-0.4236
199.000,1152.2,1101.0,1.3399,11026.20,-1613.2661,-0.3338,-0.9108
200.000,1068.8,1100.0,1.3438,10993.84,-1607.6996,0.2537,-0.2832
201.000,1019.3,1099.0,1.3489,10952.08,-1606.1916,-0.3276,-0.8416
202.000,1165.2,1098.0,1.3445,10988.22,-1613.0615,0.2125,-0.3731
203.000,1086.2,1097.0,1.3473,10965.31,-1610.5292,0.0289,-0.5181
204.000,1111.3,1096.0,1.3457,10978.52,-1611.1558,0.0464,-0.5127
205.000,1106.4,1095.0,1.3436,10995.41,-1610.1379,0.0384,-0.5173
206.000,1062.4,1094.0,1.3460,10976.40,-1607.2925,-0.1521,-0.6866
207.000,1120.2,1093.0,1.3469,10969.08,-1609.8774,0.1607,-0.4033
208.000,1109.0,1092.0,1.3509,10936.10,-1610.4893,-0.1520,-0.7121
209.000,1078.2,1091.0,1.3511,10934.80,-1609.5751,0.0076,-0.5370
210.000,1098.9,1090.0,1.3505,10939.06,-1609.5373,0.2425,-0.3123
211.000,1079.7,1089.0,1.3507,10937.91,-1610.9322,-0.2025,-0.7477
212.000,1062.4,1088.0,1.3567,10889.32,-1608.8714,0.0249,-0.5139
213.000,1099.1,1087.0,1.3535,10915.17,-1612.0284,-0.0680,-0.6241
214.000,1100.4,1086.0,1.3566,10890.54,-1612.0601,-0.0697,-0.6278
215.000,1052.0,1085.0,1.3552,10901.18,-1609.7499,0.2997,-0.2333
216.000,1117.4,1084.0,1.3582,10877.46,-1610.4999,0.0637,-0.5037
217.000,1104.0,1083.0,1.3528,10921.15,-1612.7238,0.0112,-0.5471
218.000,1128.1,1082.0,1.3485,10955.81,-1613.3558,0.0409,-0.5278
219.000,1059.9,1081.0,1.3429,11001.41,-1609.9186,0.0642,-0.4679
220.000,1075.3,1080.0,1.3494,10948.77,-1611.4341,-0.1383,-0.6807
221.000,1153.7,1079.0,1.3528,10920.91,-1613.2635,0.1946,-0.3888
222.000,1106.5,1078.0,1.3558,10896.93,-1614.1939,-0.1006,-0.6614
223.000,1107.5,1077.0,1.3620,10846.91,-1612.9088,0.0210,-0.5428
224.000,1081.3,1076.0,1.3605,10858.68,-1613.1728,-0.0207,-0.5706
225.000,1092.9,1075.0,1.3597,10865.51,-1613.4322,0.0937,-0.4618
226.000,1043.0,1074.0,1.3596,10866.09,-1611.2422,-0.0717,-0.6018
227.000,1056.9,1073.0,1.3557,10897.36,-1610.1364,0.1738,-0.3619
228.000,1139.6,1072.0,1.3601,10862.21,-1612.5310,0.1832,-0.3962
229.000,1089.2,1071.0,1.3588,10872.73,-1612.5986,-0.1808,-0.7340
230.000,1048.0,1070.0,1.3551,10902.04,-1609.4136,0.1315,-0.3994
231.000,1079.6,1069.0,1.3529,10919.91,-1612.4931,0.0334,-0.5126
232.000,1088.6,1068.0,1.3525,10923.31,-1614.3356,0.0445,-0.5059
233.000,1061.7,1067.0,1.3542,10909.68,-1612.2989,-0.0031,-0.5405
234.000,1053.6,1066.0,1.3542,10909.53,-1613.1717,0.3627,-0.1707
235.000,1072.8,1065.0,1.3551,10902.49,-1614.1336,0.0112,-0.5322
236.000,1101.0,1064.0,1.3536,10914.27,-1613.6736,-0.0045,-0.5616
237.000,1099.1,1063.0,1.3513,10933.23,-1615.5918,-0.0083,-0.5635
238.000,1021.3,1062.0,1.3501,10942.80,-1608.6627,-0.2587,-0.7741
239.000,1099.0,1061.0,1.3472,10966.06,-1613.6834,-0.0046,-0.5581
240.000,1068.7,1060.0,1.3474,10964.76,-1614.3432,0.3019,-0.2364
241.000,1075.3,1059.0,1.3465,10971.90,-1611.8047,-0.0963,-0.6375
242.000,1019.1,1058.0,1.3451,10983.14,-1610.8498,-0.0340,-0.5464
243.000,1061.5,1057.0,1.3481,10958.60,-1612.8044,0.0224,-0.5125
244.000,1050.9,1056.0,1.3466,10971.29,-1611.5011,-0.2474,-0.7764
245.000,1061.3,1055.0,1.3476,10962.97,-1611.5875,0.3676,-0.1670
246.000,1064.5,1054.0,1.3421,11007.77,-1611.9716,-0.3540,-0.8881
247.000,1031.8,1053.0,1.3469,10968.55,-1612.6469,-0.1621,-0.6816
248.000,1102.1,1052.0,1.3515,10931.71,-1616.4871,-0.3037,-0.8604
249.000,1038.1,1051.0,1.3531,10918.50,-1612.7132,-0.2766,-0.8016
250.000,1039.8,1050.0,1.3568,10888.32,-1613.0608,0.0129,-0.5146
251.000,1075.7,1049.0,1.3590,10871.01,-1614.5485,0.2388,-0.3076
252.000,1073.7,1048.0,1.3578,10880.91,-1613.1795,-0.1182,-0.6632
253.000,1035.6,1047.0,1.3539,10911.65,-1613.8126,0.1304,-0.3937
254.000,1062.0,1046.0,1.3611,10854.10,-1614.6776,0.0296,-0.5107
255.000,1020.5,1045.0,1.3681,10799.07,-1612.4554,0.0684,-0.4534
256.000,1021.8,1044.0,1.3695,10787.44,-1611.2684,0.1389,-0.3843
257.000,1026.7,1043.0,1.3714,10772.52,-1614.3408,0.0891,-0.4373
258.000,1066.5,1042.0,1.3765,10732.71,-1615.7135,-0.2378,-0.7866
259.000,1036.4,1041.0,1.3786,10716.18,-1615.6732,-0.0557,-0.5898
260.000,1037.1,1040.0,1.3800,10705.32,-1613.8411,0.1152,-0.4199
261.000,1017.1,1039.0,1.3801,10704.97,-1614.3018,0.0473,-0.4774
262.000,1057.3,1038.0,1.3807,10700.36,-1618.0960,-0.0333,-0.5790
263.000,983.4,1037.0,1.3754,10741.42,-1612.5028,0.0481,-0.4575
264.000,1031.1,1036.0,1.3802,10704.26,-1613.5822,0.1097,-0.4223
265.000,1018.2,1035.0,1.3875,10647.64,-1613.1887,0.0004,-0.5277
266.000,1038.3,1034.0,1.3890,10635.98,-1615.4426,-0.0668,-0.6059
267.000,1081.5,1033.0,1.3902,10626.82,-1620.3528,-0.2089,-0.7709
268.000,1056.2,1032.0,1.3899,10629.47,-1619.3018,0.4121,-0.1367
269.000,1005.6,1031.0,1.3877,10646.01,-1614.3485,0.0636,-0.4580
270.000,1056.1,1030.0,1.3884,10640.70,-1617.3557,0.5146,-0.0335
271.000,991.4,1029.0,1.3801,10704.50,-1612.6504,0.4779,-0.0336
272.000,1034.4,1028.0,1.3735,10756.46,-1615.2546,-0.1314,-0.6625
273.000,991.5,1027.0,1.3742,10750.52,-1613.5303,-0.0725,-0.5819
274.000,1028.6,1026.0,1.3755,10740.65,-1617.2664,0.1378,-0.3911
275.000,1033.4,1025.0,1.3777,10723.36,-1617.7583,0.1727,-0.3595
276.000,1034.3,1024.0,1.3751,10743.46,-1616.6695,0.2230,-0.3086
277.000,1035.9,1023.0,1.3665,10811.70,-1614.1636,-0.0349,-0.5641
278.000,1047.3,1022.0,1.3624,10843.78,-1616.2372,-0.1068,-0.6402
279.000,968.5,1021.0,1.3604,10859.96,-1613.8148,0.1234,-0.3691
280.000,1022.5,1020.0,1.3560,10895.33,-1615.7811,0.5774,0.0591
281.000,969.0,1019.0,1.3580,10878.77,-1612.6382,-0.1478,-0.6397
282.000,1009.0,1018.0,1.3699,10784.31,-1613.6908,-0.3338,-0.8505
283.000,1002.9,1017.0,1.3651,10822.31,-1615.0118,-0.0890,-0.6008
284.000,992.6,1016.0,1.3663,10813.23,-1615.9893,-0.0306,-0.5375
285.000,1036.0,1015.0,1.3716,10771.05,-1616.7513,-0.1476,-0.6788
286.000,981.1,1014.0,1.3765,10733.08,-1612.6241,0.4547,-0.0501
287.000,961.6,1013.0,1.3725,10764.42,-1613.9530,0.0717,-0.4216
288.000,981.7,1012.0,1.3692,10790.32,-1614.6414,0.1892,-0.3132
289.000,972.9,1011.0,1.3717,10770.72,-1614.3709,-0.2749,-0.7737
290.000,994.0,1010.0,1.3711,10774.76,-1617.0987,0.1194,-0.3901
291.000,1068.5,1009.0,1.3734,10757.35,-1616.4454,0.0523,-0.4962
292.000,955.9,1008.0,1.3777,10723.44,-1611.9038,0.2008,-0.2915
293.000,1048.0,1007.0,1.3816,10693.19,-1616.4472,-0.2747,-0.8159
294.000,1002.4,1006.0,1.3875,10647.78,-1616.3479,0.2053,-0.3146
295.000,1008.7,1005.0,1.3905,10624.41,-1617.1430,-0.0621,-0.5864
296.000,994.7,1004.0,1.3921,10612.53,-1615.8883,-0.1893,-0.7069
297.000,957.7,1003.0,1.3927,10608.24,-1613.0025,0.0506,-0.4480
298.000,1002.6,1002.0,1.3928,10607.02,-1615.4240,0.6947,0.1727
299.000,981.8,1001.0,1.3942,10596.75,-1613.6805,0.0535,-0.4582
300.000,1044.0,1000.0,1.3925,10609.69,-1618.1703,-0.3286,-0.8721
301.000,964.3,999.0,1.3943,10596.18,-1612.9901,0.0062,-0.4964
302.000,986.0,998.0,1.3942,10596.20,-1616.9395,-0.0017,-0.5156
303.000,965.4,997.0,1.3939,10598.67,-1615.9266,0.1797,-0.3233
304.000,968.1,996.0,1.3932,10603.88,-1614.3105,-0.2055,-0.7097
305.000,968.4,995.0,1.3932,10603.90,-1614.0855,-0.1659,-0.6702
306.000,983.2,994.0,1.3935,10601.84,-1619.2739,0.0970,-0.4152
307.000,1033.6,993.0,1.3889,10637.20,-1618.2090,0.2559,-0.2807
308.000,965.2,992.0,1.3860,10659.14,-1614.6889,0.1153,-0.3848
309.000,975.0,991.0,1.3835,10678.16,-1614.3087,-0.1255,-0.6297
310.000,982.4,990.0,1.3853,10664.73,-1615.6816,-0.2053,-0.7140
311.000,997.1,989.0,1.3870,10651.88,-1616.1941,-0.0242,-0.5412
312.000,992.1,988.0,1.3909,10621.65,-1616.2853,-0.1739,-0.6898
313.000,979.4,987.0,1.3909,10621.52,-1617.4515,-0.1498,-0.6590
314.000,1027.3,986.0,1.3923,10610.77,-1618.7328,0.4052,-0.1295
315.000,971.2,985.0,1.3964,10579.62,-1616.3183,0.0827,-0.4243
316.000,1045.4,984.0,1.3939,10598.82,-1621.7475,0.0018,-0.5429
317.000,935.5,983.0,1.3908,10622.25,-1615.8549,0.2855,-0.2009
318.000,954.4,982.0,1.3822,10688.22,-1616.2007,-0.1600,-0.6531
319.000,990.3,981.0,1.3830,10682.37,-1618.0421,-0.0920,-0.6039
320.000,948.6,980.0,1.3801,10704.63,-1617.6718,-0.0707,-0.5601
321.000,951.3,979.0,1.3822,10688.52,-1614.9756,-0.2436,-0.7351
322.000,1003.5,978.0,1.3779,10721.77,-1620.2058,0.2461,-0.2707
323.000,998.4,977.0,1.3747,10746.54,-1620.6714,-0.0172,-0.5303
324.000,932.7,976.0,1.3718,10769.83,-1617.6738,0.0156,-0.4627
325.000,950.4,975.0,1.3696,10786.80,-1618.2129,-0.0819,-0.5685
326.000,954.6,974.0,1.3728,10761.82,-1617.7672,-0.4559,-0.9458
327.000,960.6,973.0,1.3797,10708.17,-1614.8034,0.0282,-0.4673
