case	verdict	plate_z	box_lo_z	floor_gap	solid_top	solid_bot	plate_gap	lx	ly	square	eps_harvest	eps_webapp	phi_scale	resid	mesh_pick	floor_out_pct	plate_out_pct	floor_center_out	plate_center_out	floor_center_out_by_phase	floor_deepest_phase	floor_deepest_over_r	eps_pushback	dH_pushback	note
lhs00_016	SAME	0.0336485	-0.01	0.0	0.034158600000000004	-0.0019806893	-0.0005101000000000064	0.05	0.05	True	11.745787427900556	11.745787427900567	1.0	1.0658141036401503e-14	exact	0.9217221550940573	0.07435507343131907	0	0	{}	AM_S	0.9903446499999999	12.514851967521867	0.0002957972723763441	
lhs00_017	SAME	0.0415579	-0.01	0.0	0.0421676	-0.00262347	-0.0006096999999999977	0.05	0.05	True	-1.6850974230339322	-1.68509742303391	1.0	2.220446049250313e-14	exact	0.6580001960206526	0.21339455964269136	2	0	{'AM_S': 2}	AM_S	2.62347	-0.7920010648020837	0.0003682356611007312	
lhs00_018	SAME	0.0299027	-0.01	0.0	0.0302812	-0.00185512	-0.00037850000000000036	0.05	0.05	True	21.511400654661216	21.511400654661205	1.0	-1.0658141036401503e-14	exact	1.0457412014299075	0.03784290574840175	0	0	{}	AM_P	0.46378	22.173308871057085	0.00025431946977711936	
lhs00_019	SAME	0.0313719	-0.01	0.0	0.0319036	-0.00291489	-0.0005316999999999961	0.05	0.05	True	15.748596061436759	15.748596061436759	1.0	0.0	exact	1.4289846449387433	0.059917931131596776	0	0	{}	AM_P	0.52998	16.792370311129957	0.00039353580322370324	
lhs00_020	SAME	0.030804	-0.01	0.0	0.0312559	-0.00241352	-0.0004519000000000016	0.05	0.05	True	23.678730348707667	23.678730348707667	1.0	0.0	exact	1.7724844924093146	0.05199311327703137	0	0	{}	AM_P	0.6895771428571429	24.72688177779411	0.00042893475631322966	
lhs00_021	SAME	0.0302048	-0.01	0.0	0.0311652	-0.00382492	-0.0009604000000000001	0.05	0.05	True	12.215280101405968	12.21528010140599	1.0	1.0658141036401503e-14	exact	1.3178100170213016	0.09258804074769977	14	0	{'AM_S': 14}	AM_P	0.5884492307692307	13.288862816960167	0.0003739698527805077	
lhs00_022	SAME	0.0319755	-0.01	0.0	0.032403	-0.0019833936	-0.00042750000000000427	0.05	0.05	True	17.43463581896394	17.43463581896394	1.0	0.0	exact	0.9304693201108135	0.03631473751045423	0	0	{}	AM_S	0.9916968	18.08847716673285	0.00025523764291553175	
lhs00_023	SAME	0.028700100000000003	-0.01	0.0	0.0294054	-0.00158368	-0.000705299999999999	0.05	0.05	True	18.037921148256753	18.037921148256743	1.0	-1.0658141036401503e-14	exact	0.5826593648321002	0.07500023040438344	65	0	{'AM_S': 65}	AM_P	0.316736	18.47735387097964	0.0001547025726503018	
lhs00_024	SAME	0.0382824	-0.01	0.0	0.038825899999999997	-0.00257237	-0.0005434999999999954	0.05	0.05	True	1.4991634245482999	1.499163424548311	1.0	2.220446049250313e-14	exact	0.7490168932194506	0.10876196516660808	0	0	{}	AM_P	0.36748142857142857	2.324443106405827	0.0003234554058100733	
lhs00_025	SAME	0.041752000000000004	-0.01	0.0	0.0423004	-0.0014777500000000001	-0.0005483999999999975	0.05	0.05	True	-1.2272991171599967	-1.2272991171599745	1.0	2.220446049250313e-14	exact	0.390563413837227	0.14636184180556444	0	0	{}	AM_P	0.4925833333333334	-0.680087803813012	0.0002269283554796192	
lhs00_026	SAME	0.030092900000000002	-0.01	0.0	0.030511299999999998	-0.0017243599999999999	-0.00041839999999999586	0.05	0.05	True	21.48689175819667	21.48689175819668	1.0	1.0658141036401503e-14	exact	1.018769779740044	0.03979947640091407	0	0	{}	AM_P	0.31352	22.134047853731108	0.0002501067941829728	
lhs00_027	SAME	0.0442586	-0.01	0.0	0.0448849	-0.001497071	-0.0006262999999999963	0.05	0.05	True	4.140772302628848	4.140772302628859	1.0	1.0658141036401503e-14	exact	0.32817585123645265	0.1649167045439664	19	0	{'AM_S': 19}	AM_S	2.994142	4.591743010209215	0.00020919921176897754	
lhs00_028	SAME	0.0396253	-0.01	0.0	0.0401316	-0.0008827980000000001	-0.0005063000000000012	0.05	0.05	True	5.338947172782027	5.338947172782039	1.0	1.1546319456101628e-14	exact	0.3352636671558741	0.13072080703935382	0	0	{}	AM_S	0.8827980000000001	5.754668803668528	0.00017478950024644307	
lhs00_029	SAME	0.03970970000000001	-0.01	0.0	0.040177700000000004	-0.000990019	-0.0004679999999999962	0.05	0.05	True	16.17550124583146	16.17550124583147	1.0	1.0658141036401503e-14	exact	0.18790421066542143	0.07717452083585413	3	0	{'AM_S': 3}	AM_S	1.980038	16.36134710036461	8.823531792902933e-05	
lhs00_030	SAME	0.0345556	-0.01	0.0	0.0349989	-0.0014133999999999996	-0.00044330000000000064	0.05	0.05	True	23.71879394312345	23.71879394312345	1.0	0.0	exact	0.35762961578172975	0.05444792605164685	15	0	{'AM_S': 15}	AM_P	0.2174461538461538	23.957823187043193	0.00010862128475766508	
lhs00_031	SAME	0.041608	-0.01	0.0	0.0421737	-0.001441189	-0.0005657000000000023	0.05	0.05	True	-2.0316678658731657	-2.0316678658731435	1.0	2.220446049250313e-14	exact	0.355786334551272	0.1331137707809878	0	0	{}	AM_S	0.7205945	-1.525226601633145	0.00020755440620863486	
lhs00_032	SAME	0.0322535	-0.01	0.0	0.0329072	-0.0024363500000000003	-0.0006537000000000001	0.05	0.05	True	7.015052294387858	7.015052294387914	1.0	5.595524044110789e-14	exact	0.6888839367601087	0.07934475528482865	9	0	{'SE': 9}	SE	4.872700000000001	7.674567066152171	0.00023039869963395465	
lhs00_033	SAME	0.041705	-0.01	0.0	0.0422357	-0.00130052	-0.000530700000000002	0.05	0.05	True	-1.3490997718896391	-1.349099771889617	1.0	2.220446049250313e-14	exact	0.39370174076246933	0.15264826910544788	0	0	{}	AM_P	0.520208	-0.7909990290021485	0.00023092926656501783	
lhs00_034	SAME	0.0470228	-0.01	0.0	0.0475833	-0.00193838	-0.0005605000000000054	0.05	0.05	True	9.734808253420157	9.73480825342018	1.0	2.3092638912203256e-14	exact	0.2768310462869928	0.14324331086448752	2	0	{'AM_S': 2}	AM_P	0.2982123076923077	10.07578372754675	0.00017830148751233482	
lhs00_035	SAME	0.0379465	-0.01	0.0	0.0384957	-0.0013717999999999998	-0.0005491999999999997	0.05	0.05	True	1.0027621667831332	1.0027621667831443	1.0	1.1102230246251565e-14	exact	0.44499754586598667	0.13164121721802274	0	0	{}	AM_P	0.3048444444444444	1.5646865007357236	0.00021662004193740564	
lhs00_036	SAME	0.0355859	-0.01	0.0	0.0361185	-0.0014177821	-0.0005326000000000011	0.05	0.05	True	6.288636235715739	6.288636235715739	1.0	-1.0658141036401503e-14	exact	0.5572314797367973	0.09268733679803356	0	0	{}	AM_S	0.9451880666666667	6.855928143460732	0.0002167351361975628	
lhs00_037	SAME	0.0296139	-0.01	0.0	0.0302776	-0.001980076	-0.0006637000000000032	0.05	0.05	True	20.529552383941805	20.52955238394183	1.0	2.4868995751603507e-14	exact	0.9462771208754758	0.08139494402298451	19	0	{'AM_S': 19}	AM_S	1.980076	21.17332635137381	0.00024185541532700805	
lhs00_038	SAME	0.0348781	-0.01	0.0	0.0353904	-0.002007951	-0.0005123000000000003	0.05	0.05	True	4.643385542837885	4.643385542837885	1.0	0.0	exact	0.7766572344712241	0.09865962197202645	0	0	{}	AM_S	0.8031804	5.432712702889275	0.00029111791622502686	
lhs00_039	SAME	0.0354089	-0.01	0.0	0.035765500000000006	-0.00194705	-0.0003566000000000055	0.05	0.05	True	5.701381970595653	5.701381970595653	1.0	-1.1546319456101628e-14	exact	0.4947158024126758	0.07283975367965115	0	0	{}	AM_P	0.38941000000000003	6.203378716898255	0.00018950738680132556	
lhs00_040	SAME	0.0318092	-0.01	0.0	0.0321737	-0.002112073	-0.00036449999999999677	0.05	0.05	True	16.865369511502326	16.865369511502337	1.0	1.0658141036401503e-14	exact	0.9959384954299404	0.0395820147846056	0	0	{}	AM_S	0.8448292	17.574947133093122	0.0002738378162420105	
lhs00_041	SAME	0.0303746	-0.01	0.0	0.0312512	-0.0033730599999999998	-0.0008765999999999982	0.05	0.05	True	21.51448350759918	21.51448350759918	1.0	0.0	exact	1.9270281694514522	0.10095572325379865	0	0	{}	AM_P	0.5189323076923077	22.74414458781322	0.000483464499199341	
lhs00_042	SAME	0.0389784	-0.01	0.0	0.0393568	-0.0017879299999999996	-0.000378399999999994	0.05	0.05	True	3.9354273171128273	3.9354273171128384	1.0	1.1102230246251565e-14	exact	0.37047557994251745	0.07864262280889256	0	0	{}	AM_P	0.32507818181818177	4.348111157235357	0.00016816976631035818	
lhs00_043	SAME	0.0416349	-0.01	0.0	0.042359	-0.0018005200000000001	-0.0007240999999999984	0.05	0.05	True	-1.5116280998968668	-1.5116280998968668	1.0	0.0	exact	0.5685832083343321	0.17859420974883447	0	0	{}	AM_P	0.5144342857142857	-0.7474866612613207	0.00031578904286135717	
lhs00_044	SAME	0.03280260000000001	-0.01	0.0	0.033172600000000003	-0.00126102	-0.00036999999999999533	0.05	0.05	True	9.535049394625828	9.535049394625862	1.0	3.375077994860476e-14	exact	0.4919499915758751	0.055521504616215266	16	0	{'AM_S': 16}	AM_P	0.504408	9.98088689282488	0.00016246137751892847	
lhs00_045	SAME	0.0331177	-0.01	0.0	0.0336921	-0.0023529499999999995	-0.0005744000000000027	0.05	0.05	True	9.914518959436824	9.914518959436835	1.0	1.0658141036401503e-14	exact	1.044198533449579	0.06322551412234556	0	0	{}	AM_P	0.42780909090909086	10.804359890069826	0.0003303915410226843	
lhs00_046	SAME	0.031799799999999996	-0.01	0.0	0.0320705	-0.001980141	-0.00027070000000000566	0.05	0.05	True	16.468016641165452	16.468016641165484	1.0	3.197442310920451e-14	exact	0.555514468988843	0.04726018845361388	6	0	{'AM_S': 6}	AM_S	1.980141	16.88650110904072	0.00016011505422240668	
lhs00_047	SAME	0.0312043	-0.01	0.0	0.031800300000000004	-0.00174718	-0.0005960000000000028	0.05	0.05	True	15.287939013969954	15.287939013969964	1.0	1.0658141036401503e-14	exact	1.0030923363667492	0.056854896016511974	0	0	{}	AM_P	0.24959714285714285	16.04180231226272	0.0002801843913611442	
lhs00_048	SAME	0.0354942	-0.01	0.0	0.0358636	-0.001405746	-0.00036940000000000583	0.05	0.05	True	5.97638679115422	5.976386791154242	1.0	1.0658141036401503e-14	exact	0.37542797951395174	0.07211523458991523	0	0	{}	AM_S	0.702873	6.3703767818949935	0.00014935828051743094	
lhs00_049	SAME	0.033441500000000006	-0.01	0.0	0.0339807	-0.00313307	-0.0005391999999999966	0.05	0.05	True	10.99431443905019	10.99431443905019	1.0	0.0	exact	1.1997776594293645	0.058588721235127095	0	0	{}	AM_P	0.626614	11.980152246488963	0.00037455069372292066	
lhs00_050	SAME	0.0352443	-0.01	0.0	0.035737	-0.00167021	-0.0004926999999999987	0.05	0.05	True	5.3696566282243285	5.3696566282243285	1.0	1.0658141036401503e-14	exact	0.6093763236305638	0.08399093595057386	31	0	{'AM_S': 31}	AM_P	0.5567366666666667	5.986512792081367	0.00023125047630394996	
lhs00_051	SAME	0.0374783	-0.01	0.0	0.0380889	-0.00201394	-0.0006106000000000028	0.05	0.05	True	-0.2598826832300283	-0.2598826832300061	1.0	2.220446049250313e-14	exact	0.5493578748495865	0.1628847260663627	0	0	{}	AM_P	0.40278800000000003	0.45099041916600857	0.00026763014022651577	
lhs00_052	SAME	0.0336216	-0.01	0.0	0.034114200000000004	-0.00217264	-0.0004926000000000028	0.05	0.05	True	11.627211198719568	11.627211198719568	1.0	0.0	exact	0.8232852711072876	0.04348567753321272	0	0	{}	AM_P	0.6207542857142857	12.298991852697139	0.00025753797947038887	
lhs00_053	SAME	0.0330687	-0.01	0.0	0.0335062	-0.0013208099999999995	-0.0004375000000000004	0.05	0.05	True	19.293900544091525	19.293900544091546	1.0	2.1316282072803006e-14	exact	0.3845970082968573	0.062476555044479055	38	0	{'AM_S': 38}	AM_P	0.24014727272727265	19.584053850567564	0.00011931703978255992	
lhs00_054	SAME	0.0414202	-0.01	0.0	0.0421319	-0.0017804699999999997	-0.0007117000000000026	0.05	0.05	True	-2.434741655766559	-2.434741655766559	1.0	0.0	exact	0.5034085667288248	0.2139561642805656	0	0	{}	AM_P	0.39565999999999996	-1.687510600716835	0.00030436834930397394	
lhs00_055	SAME	0.031897100000000005	-0.01	0.0	0.0327959	-0.00451616	-0.0008987999999999982	0.05	0.05	True	17.112851716737588	17.112851716737588	1.0	0.0	exact	2.0513026805835257	0.09762106586443395	0	0	{}	AM_P	0.7526933333333333	18.56338571597316	0.0005681452800290546	
lhs00_056	SAME	0.0383396	-0.01	0.0	0.0389681	-0.001980076	-0.0006284999999999971	0.05	0.05	True	2.1119554747463742	2.1119554747463742	1.0	0.0	exact	0.5148655211846206	0.1705671553406733	4	0	{'AM_S': 4}	AM_S	1.980076	2.764364431527777	0.0002572420933249567	
lhs00_057	SAME	0.0418269	-0.01	0.0	0.0423253	-0.0018861500000000005	-0.000498400000000003	0.05	0.05	True	-2.235762640131722	-2.235762640131722	1.0	0.0	exact	0.4375671159215689	0.15529389883230188	0	0	{}	AM_P	0.2694500000000001	-1.6198286201892786	0.00025351952476736217	
lhs00_058	SAME	0.0352564	-0.01	0.0	0.0357876	-0.0016765	-0.0005312000000000025	0.05	0.05	True	15.635851969721248	15.635851969721259	1.0	1.0658141036401503e-14	exact	0.6175360299846262	0.1138411984963375	0	0	{}	AM_P	0.27941666666666665	16.15320361339313	0.0002175390984033715	
lhs00_059	SAME	0.0316947	-0.01	0.0	0.0320759	-0.0019404704	-0.0003811999999999982	0.05	0.05	True	16.415696597029505	16.415696597029527	1.0	2.1316282072803006e-14	exact	0.8447605275297111	0.0344071204542782	0	0	{}	AM_S	0.9702352	17.025432018895415	0.00023290728407063255	
lhs00_060	SAME	0.0336747	-0.01	0.0	0.0342584	-0.00185801	-0.0005836999999999995	0.05	0.05	True	11.872293315543669	11.872293315543681	1.0	1.2434497875801753e-14	exact	0.8041131892131226	0.10111025188720843	0	0	{}	AM_P	0.6193366666666666	12.569770297773331	0.0002686408146642602	
lhs00_061	SAME	0.0390529	-0.01	0.0	0.0394313	-0.00097536	-0.00037840000000000096	0.05	0.05	True	3.9679872659808657	3.967987265980899	1.0	3.3306690738754696e-14	exact	0.2849963153919892	0.0949652000486807	0	0	{}	AM_S	0.48768	4.317119448916584	0.00014249805344949962	
lhs00_062	SAME	0.0304014	-0.01	0.0	0.0307897	-0.00176936	-0.00038830000000000114	0.05	0.05	True	22.78307082840222	22.78307082840222	1.0	0.0	exact	1.2347771391380646	0.044446961639384906	0	0	{}	AM_P	0.5897866666666667	23.538341934771623	0.0003002982095103232	
lhs00_063	SAME	0.0306757	-0.01	0.0	0.0311294	-0.00256062	-0.0004537000000000013	0.05	0.05	True	13.923349705062405	13.923349705062426	1.0	2.1316282072803006e-14	exact	1.3175456023839303	0.05404982494621401	4	0	{'AM_S': 4}	AM_P	0.640155	14.927732798086002	0.0003621644921433416	
lhs00_064	SAME	0.0417013	-0.01	0.0	0.0422015	-0.0023803599999999998	-0.0005002000000000062	0.05	0.05	True	-1.2862721543509315	-1.2862721543509315	1.0	0.0	exact	0.4672601532977421	0.16494183197979803	1	0	{'AM_S': 1}	AM_P	0.5289688888888888	-0.641828486092999	0.0002670275286864171	
lhs00_065	SAME	0.0312491	-0.01	0.0	0.0316854	-0.0014475500000000001	-0.00043630000000000405	0.05	0.05	True	15.466438687979311	15.466438687979323	1.0	1.2434497875801753e-14	exact	0.7877474170245299	0.038680839889112355	0	0	{}	AM_P	0.4825166666666667	16.05290087686364	0.00021830909915997523	
lhs00_066	SAME	0.0352753	-0.01	0.0	0.035615	-0.0016700500000000002	-0.00033969999999999834	0.05	0.05	True	5.205901111260514	5.205901111260546	1.0	4.440892098500626e-14	exact	0.44575944563351705	0.07185970620901219	0	0	{}	AM_P	0.4175125	5.66875848799736	0.00017308616487918954	
lhs00_067	SAME	0.0350018	-0.01	0.0	0.035461400000000004	-0.00164772	-0.00045960000000000445	0.05	0.05	True	4.218588691276215	4.218588691276204	1.0	0.0	exact	0.489377604903518	0.11532464190018281	0	0	{}	AM_P	0.2534953846153846	4.770152678265593	0.0002027277466336852	
lhs00_068	SAME	0.041401	-0.01	0.0	0.042162700000000004	-0.0017234000000000001	-0.000761700000000004	0.05	0.05	True	-2.2384121624271947	-2.2384121624271724	1.0	2.220446049250313e-14	exact	0.5348179367586061	0.19277522235868552	0	0	{}	AM_P	0.49240000000000006	-1.483497036345316	0.0003079736316508874	
lhs00_069	SAME	0.0379301	-0.01	0.0	0.0384614	-0.0014027900000000001	-0.0005312999999999984	0.05	0.05	True	1.0624552919884955	1.0624552919885177	1.0	2.220446049250313e-14	exact	0.4799906472352727	0.13263665258598756	0	0	{}	AM_P	0.4675966666666667	1.658521098950494	0.00022990131852092255	
lhs00_070	SAME	0.0356283	-0.01	0.0	0.0360535	-0.0019800959999999998	-0.0004252000000000006	0.05	0.05	True	6.418969938316533	6.418969938316554	1.0	3.2862601528904634e-14	exact	0.4452145723545765	0.11680066573632639	5	0	{'AM_S': 5}	AM_S	1.9800959999999996	6.908574653946031	0.000187383355932276	
lhs00_071	SAME	0.0354885	-0.01	0.0	0.0360791	-0.0026877199999999998	-0.0005906000000000036	0.05	0.05	True	5.660892879986623	5.660892879986646	1.0	2.3092638912203256e-14	exact	0.6543917115469507	0.06760187815184449	13	0	{'SE': 13}	AM_P	0.4134953846153846	6.29911053901232	0.00024172008955969382	
lhs00_072	SAME	0.0326834	-0.01	0.0	0.0331905	-0.00210488	-0.0005070999999999964	0.05	0.05	True	9.107870255367278	9.107870255367311	1.0	3.375077994860476e-14	exact	0.958126465970464	0.05794627904266554	0	0	{}	AM_P	0.42097599999999996	9.939605161838871	0.0003018410555608031	
lhs00_073	SAME	0.0383359	-0.01	0.0	0.0388479	-0.00136696	-0.0005119999999999986	0.05	0.05	True	2.1501748451562053	2.1501748451562053	1.0	0.0	exact	0.4918914071626411	0.10506106712684883	0	0	{}	AM_P	0.5467839999999999	2.718413085836724	0.00022392649073586096	
lhs00_074	SAME	0.0304203	-0.01	0.0	0.0308546	-0.001985	-0.0004342999999999986	0.05	0.05	True	21.932571125082802	21.932571125082802	1.0	0.0	exact	0.3928895080532636	0.05271257570321326	10	0	{'AM_S': 10}	AM_P	0.28357142857142853	22.20320291297231	0.00010582312492795828	
lhs00_075	SAME	0.031469699999999996	-0.01	0.0	0.0319017	-0.001980076	-0.0004320000000000018	0.05	0.05	True	25.355266592772463	25.355266592772484	1.0	2.1316282072803006e-14	exact	0.77880008107452	0.03899765860114499	12	0	{'AM_S': 12}	AM_S	1.980076	25.808165410999973	0.0001921045627046314	
lhs00_076	SAME	0.038598799999999996	-0.01	0.0	0.0391447	-0.0017194000000000003	-0.0005459000000000019	0.05	0.05	True	2.70269174511637	2.702691745116381	1.0	2.220446049250313e-14	exact	0.435038770909874	0.13089645409246767	20	0	{'AM_S': 20}	AM_P	0.42985000000000007	3.235515451626647	0.00021254033211500628	
lhs00_077	SAME	0.0310935	-0.01	0.0	0.031639600000000004	-0.002304268	-0.0005461000000000042	0.05	0.05	True	15.366897315637596	15.366897315637607	1.0	1.0658141036401503e-14	exact	1.2195117594191967	0.05377546909480633	0	0	{}	AM_S	0.9217072	16.269199253508503	0.00033507054817416906	
lhs00_078	SAME	0.03842790000000001	-0.01	0.0	0.0390582	-0.00393688	-0.0006302999999999934	0.05	0.05	True	2.034942821552277	2.034942821552288	1.0	1.1102230246251565e-14	exact	0.8409091215315964	0.17846016140400994	0	0	{}	AM_P	0.5249173333333333	3.0035740599320015	0.000383750885711312	
lhs00_079	SAME	0.0316691	-0.01	0.0	0.0321038	-0.001980076	-0.00043470000000000314	0.05	0.05	True	25.905939705248706	25.905939705248706	1.0	0.0	exact	0.7031617789787029	0.037974499138781065	2	0	{'AM_S': 2}	AM_S	1.980076	26.3105961946126	0.0001739070499356815	
lhs00_080	SAME	0.031519799999999994	-0.01	0.0	0.0318077	-0.0010160199999999999	-0.0002879000000000076	0.05	0.05	True	16.0788099410352	16.07880994103521	1.0	1.0658141036401503e-14	exact	0.3204151272826351	0.062052412201529565	28	0	{'AM_S': 28}	AM_P	0.29029142857142853	16.347311073139913	0.00010116951519769518	
lhs00_081	SAME	0.041663200000000004	-0.01	0.0	0.0422046	-0.001273052	-0.0005413999999999974	0.05	0.05	True	-1.3379890881080048	-1.3379890881080048	1.0	0.0	exact	0.3527095059616792	0.16973499587918062	0	0	{}	AM_S	0.8487013333333333	-0.8042961127092907	0.00022057945970646586	
lhs00_082	SAME	0.0293802	-0.01	0.0	0.0298596	-0.0020791000000000004	-0.00047940000000000135	0.05	0.05	True	19.914526319337135	19.91452631933712	1.0	-1.4210854715202004e-14	exact	1.116062822319277	0.05610205584797816	7	0	{'AM_S': 7}	AM_P	0.5940285714285716	20.65932405758889	0.00027580186643818075	
lhs00_083	SAME	0.0307482	-0.01	0.0	0.0312482	-0.00209116	-0.0005000000000000004	0.05	0.05	True	22.291690161854127	22.291690161854138	1.0	2.1316282072803006e-14	exact	1.0148332897432097	0.03999627442016259	0	0	{}	AM_P	0.2987371428571428	22.923478872068614	0.00025203999006614616	
lhs00_084	SAME	0.03645589999999999	-0.01	0.0	0.0368372	-0.0011125499999999995	-0.000381300000000008	0.05	0.05	True	8.415348505149034	8.415348505149057	1.0	1.2434497875801753e-14	exact	0.2840603244523949	0.10208449936082108	0	0	{}	AM_P	0.24723333333333325	8.738095674153612	0.0001289260683899826	
lhs00_085	SAME	0.03949550000000001	-0.01	0.0	0.039987	-0.001980076	-0.0004914999999999919	0.05	0.05	True	5.027848322103512	5.027848322103545	1.0	4.440892098500626e-14	exact	0.3593592916705025	0.13743969015665317	2	0	{'AM_S': 2}	AM_S	1.980076	5.473842284629327	0.00018634793767856317	
lhs00_086	SAME	0.03629949999999999	-0.01	0.0	0.0368971	-0.0014748399999999998	-0.0005976000000000106	0.05	0.05	True	18.028977755340613	18.028977755340637	1.0	2.4868995751603507e-14	exact	0.29977117487485655	0.09924255938451274	17	0	{'AM_S': 17}	AM_P	0.1966453333333333	18.296210943742487	0.00011872682080526359	
lhs00_087	SAME	0.0295116	-0.01	0.0	0.030257	-0.0026418299999999995	-0.0007454000000000002	0.05	0.05	True	20.713683352467804	20.713683352467804	1.0	0.0	exact	1.2037475403258626	0.05551031005792891	0	0	{}	AM_P	0.4064353846153846	21.497467681452942	0.00029464947078927314	
