"# Li MSD (A^2) vs time, MLIP-MD (UMA-s-1p1/omat). 0-200 ps @ 1 ps grid."
"# Linear fit over 2-50 ps with FREE intercept: MSD = 6Dt + c. beta = dlogMSD/dlogt in the same window (0.8-1.2 = Fickian gate)."
"# SINGLE-SEED curves = ILLUSTRATIVE HIERARCHY ONLY. Quantitative D / Ea / sigma come from the multiseed *_md_arrhenius.json sets."
"# PROVENANCE v2 (2026-08-04): ALL columns are SEED-ENSEMBLE MEANS matching each system's registered Arrhenius seed set."
"# modelc = kgy modelc_600_reseed (600 K, 3 seeds x 200 ps) + highT_reseed/modelc (800/1000 K, 3 seeds x 100 ps)."
"# b2o3   = gabia b2o3_600_reseed (600 K, 3 seeds x 200 ps) + kgy highT_reseed/b2o3 (800/1000 K, 3 seeds x 100 ps)."
"# lpsocl = kgy lpsocl_md ladder+reseed(_hiT) s2/s3/s4 (4 seeds x 200 ps); licube EXCLUDED (same-seed rerun)."
"# Transfer: wrapped base64 relay from both machines; lpsocl part md5 c864169a0eccfaa7e054d8ff44358e86."
"# GATE: only lpsocl 600 K FAILS (beta 0.61 < 0.8; hop statistics, not MSD size). modelc/b2o3 600 K now PASS"
"#   on 3-seed means (0.87/0.81) - the single-seed borderline verdicts are superseded. D at lpsocl 600 K: DO NOT QUOTE."
"# LPSCl1.6 600K: slope 0.6201 A^2/ps, intercept 2.336 A^2, R2 0.9714, beta 0.868, D 1.0336e-05 cm2/s, gate PASS, traj 199 ps"
"# LPSCl1.6 800K: slope 1.6922 A^2/ps, intercept -2.267 A^2, R2 0.9783, beta 0.934, D 2.8203e-05 cm2/s, gate PASS, traj 99 ps"
"# LPSCl1.6 1000K: slope 2.8243 A^2/ps, intercept 1.952 A^2, R2 0.9941, beta 0.924, D 4.7072e-05 cm2/s, gate PASS, traj 99 ps"
"# LPSOCl1.6 600K: slope 0.3782 A^2/ps, intercept 4.035 A^2, R2 0.9746, beta 0.615, D 6.3036e-06 cm2/s, gate FAIL, traj 199 ps"
"# LPSOCl1.6 800K: slope 1.4520 A^2/ps, intercept 3.701 A^2, R2 0.9901, beta 0.856, D 2.4200e-05 cm2/s, gate PASS, traj 199 ps"
"# LPSOCl1.6 1000K: slope 3.4168 A^2/ps, intercept -5.424 A^2, R2 0.9956, beta 1.016, D 5.6946e-05 cm2/s, gate PASS, traj 199 ps"
"# B2O3@LPSCl1.6 600K: slope 0.6233 A^2/ps, intercept 1.704 A^2, R2 0.9957, beta 0.806, D 1.0389e-05 cm2/s, gate PASS, traj 199 ps"
"# B2O3@LPSCl1.6 800K: slope 1.2944 A^2/ps, intercept 4.179 A^2, R2 0.9924, beta 0.828, D 2.1574e-05 cm2/s, gate PASS, traj 99 ps"
"# B2O3@LPSCl1.6 1000K: slope 3.0455 A^2/ps, intercept 0.422 A^2, R2 0.9949, beta 0.974, D 5.0758e-05 cm2/s, gate PASS, traj 99 ps"
t_ps,LPSCl1.6_600K,LPSCl1.6_800K,LPSCl1.6_1000K,LPSOCl1.6_600K,LPSOCl1.6_800K,LPSOCl1.6_1000K,B2O3@LPSCl1.6_600K,B2O3@LPSCl1.6_800K,B2O3@LPSCl1.6_1000K
39.0,25.508,63.541,109.539,18.106,61.942,132.294,25.795,52.461,121.156
40.0,26.714,66.645,111.712,18.067,60.141,131.532,27.007,54.590,122.908
41.0,27.129,69.470,113.905,19.249,61.877,136.608,27.459,56.868,121.140
42.0,26.602,72.665,118.192,19.453,64.405,141.809,27.348,57.160,126.700
43.0,27.542,75.321,121.452,19.588,65.283,148.747,28.666,59.657,125.962
44.0,28.063,73.584,126.028,19.942,70.639,150.114,28.755,62.619,131.930
45.0,28.673,76.264,128.168,20.629,68.964,149.726,29.887,64.179,137.843
46.0,30.191,77.964,131.903,21.943,69.813,151.790,31.042,65.675,141.531
47.0,30.095,86.488,136.128,22.681,69.537,154.132,31.192,67.922,146.341
48.0,30.872,85.167,136.368,21.113,68.311,160.439,32.551,67.654,150.732
49.0,31.158,84.474,134.556,21.541,72.694,163.565,32.076,67.634,150.503
50.0,30.930,85.911,143.244,22.225,73.791,163.660,33.289,68.729,156.753
51.0,30.818,89.009,141.062,23.284,72.705,162.939,33.162,72.276,159.604
52.0,34.222,93.200,144.761,23.279,79.051,163.389,33.590,74.834,161.469
53.0,33.476,95.719,141.387,25.365,79.653,161.626,32.051,74.930,163.935
54.0,35.891,97.901,148.364,25.005,84.454,163.944,33.086,74.873,169.952
55.0,36.283,96.716,150.262,24.532,85.082,166.608,35.052,76.789,170.161
56.0,37.241,102.207,151.568,25.244,90.924,170.185,34.462,77.859,175.699
57.0,36.020,101.895,152.629,24.871,91.871,167.862,34.674,79.934,178.251
58.0,33.484,106.820,158.703,26.433,91.992,174.627,35.680,81.570,173.321
59.0,33.112,117.320,167.066,26.860,89.790,174.455,37.724,83.306,178.083
60.0,33.593,114.060,159.272,25.039,89.197,185.247,37.062,88.485,178.037
61.0,34.503,116.169,162.965,25.150,90.371,185.221,37.808,87.916,181.836
62.0,35.317,114.657,168.670,25.097,92.764,189.708,38.820,90.435,187.414
63.0,37.090,120.952,171.053,26.294,95.295,185.976,39.440,97.332,183.765
64.0,36.219,118.691,177.615,26.343,96.649,186.531,40.771,95.782,186.501
65.0,36.132,121.012,176.525,29.200,96.614,187.627,40.571,95.881,190.426
66.0,35.993,118.546,184.255,29.572,96.971,187.389,40.944,102.038,194.503
67.0,35.235,121.170,183.873,29.668,100.879,191.248,41.297,102.545,198.963
68.0,32.910,121.368,187.471,29.678,104.070,198.476,42.260,104.350,199.800
69.0,35.069,123.800,193.004,29.614,103.761,200.239,43.253,105.531,202.560
70.0,36.025,125.738,193.961,29.644,101.519,201.762,43.595,107.709,212.206
71.0,36.269,125.062,195.302,30.939,105.730,208.992,43.723,109.274,215.797
72.0,36.549,124.136,198.975,30.859,106.428,210.946,45.144,110.403,221.606
73.0,34.910,123.623,198.195,31.081,108.309,217.165,43.399,109.962,228.588
74.0,37.639,124.870,200.755,30.173,106.977,221.157,45.239,111.616,231.736
75.0,36.278,123.661,205.503,30.744,106.746,219.176,42.673,112.547,233.159
76.0,38.647,124.859,204.877,32.140,110.254,224.970,43.055,114.148,231.573
77.0,39.225,122.579,218.892,33.912,112.185,226.186,42.187,116.987,234.404
78.0,38.537,117.834,217.169,34.425,111.321,228.417,42.705,117.454,237.358
79.0,38.572,118.765,220.476,35.775,115.658,234.760,41.590,118.587,238.801
80.0,39.774,121.262,224.461,36.788,118.781,236.213,42.964,117.992,236.037
81.0,41.435,123.373,225.846,37.145,120.901,236.505,42.650,120.531,240.267
82.0,41.935,129.189,221.403,37.307,122.399,239.670,44.258,119.939,248.523
83.0,41.667,128.491,226.035,40.375,125.480,241.051,44.703,120.090,253.200
84.0,44.706,125.703,225.046,42.494,130.182,239.054,44.374,121.140,252.512
85.0,42.959,129.070,227.635,43.574,126.401,231.074,45.038,122.719,262.140
86.0,43.004,129.623,227.041,45.618,130.009,231.847,46.269,120.314,266.386
87.0,45.312,129.763,228.271,45.091,131.209,232.452,47.079,122.637,266.304
88.0,45.920,132.563,223.874,45.269,130.290,237.289,47.984,120.810,272.778
89.0,46.798,134.835,222.234,45.234,134.946,239.904,50.042,122.725,278.316
90.0,46.909,140.560,228.236,43.829,136.076,248.625,49.436,124.914,282.214
91.0,50.118,141.437,226.697,44.116,133.992,255.513,50.833,127.006,281.124
92.0,52.702,145.284,236.435,42.305,138.832,252.707,49.831,129.840,282.304
93.0,53.415,145.876,233.615,44.626,139.498,258.509,51.141,129.488,282.487
94.0,52.660,142.009,238.492,43.932,143.769,268.801,50.027,132.775,294.036
95.0,53.369,143.502,234.987,45.463,148.093,271.430,52.326,131.164,297.347
96.0,53.628,142.540,237.170,46.428,142.854,277.282,52.350,132.276,305.189
97.0,53.899,141.310,246.072,45.453,141.881,281.293,54.535,135.801,308.236
98.0,52.655,145.270,253.797,44.925,149.008,277.162,55.914,137.588,309.738
99.0,53.779,143.645,268.544,47.024,151.408,283.488,57.036,137.729,312.079
100.0,55.042,,,49.382,152.163,283.447,57.673,,
101.0,53.258,,,48.943,149.903,285.825,58.304,,
102.0,53.381,,,51.250,149.530,287.072,58.197,,
103.0,55.106,,,51.655,152.455,288.767,59.404,,
104.0,55.370,,,52.280,151.992,293.966,60.960,,
105.0,56.393,,,52.541,157.114,295.180,60.763,,
106.0,57.899,,,54.315,155.146,301.038,59.516,,
107.0,58.775,,,52.569,155.745,306.934,58.982,,
108.0,60.282,,,52.835,159.606,302.775,60.479,,
109.0,61.547,,,53.514,163.559,298.195,60.516,,
110.0,61.077,,,55.490,161.302,309.225,59.864,,
111.0,61.453,,,55.743,161.808,315.271,60.475,,
112.0,63.791,,,56.105,161.380,311.272,63.165,,
113.0,64.369,,,56.789,164.166,330.679,62.420,,
114.0,66.062,,,58.566,163.210,329.147,62.042,,
115.0,65.452,,,56.403,163.238,335.305,64.395,,
116.0,65.471,,,55.723,162.463,335.136,64.920,,
117.0,68.051,,,55.819,163.333,344.207,67.003,,
118.0,69.469,,,55.575,168.396,346.651,67.790,,
119.0,67.975,,,55.519,171.717,351.323,68.709,,
120.0,69.727,,,56.229,176.341,353.596,66.694,,
121.0,67.001,,,55.700,176.467,357.926,68.000,,
122.0,69.830,,,57.668,175.924,364.535,68.787,,
123.0,70.390,,,57.720,177.018,363.405,70.080,,
124.0,71.279,,,57.006,177.793,366.945,72.113,,
125.0,72.632,,,57.467,179.278,375.093,73.733,,
126.0,76.292,,,59.486,180.013,374.724,75.418,,
127.0,75.958,,,59.182,182.383,374.965,74.397,,
128.0,76.316,,,59.819,186.303,373.104,74.543,,
129.0,78.118,,,59.698,190.659,379.415,74.476,,
130.0,78.061,,,63.447,192.853,387.867,75.727,,
131.0,78.150,,,63.681,198.511,387.636,75.007,,
132.0,78.861,,,62.559,198.979,388.681,78.151,,
133.0,77.853,,,62.901,198.903,395.695,76.726,,
134.0,77.461,,,62.631,199.795,401.948,77.928,,
135.0,77.983,,,61.479,195.933,405.183,77.630,,
136.0,80.889,,,63.285,194.204,399.365,80.190,,
137.0,80.122,,,64.314,196.295,407.879,81.651,,
138.0,84.966,,,65.666,189.915,409.814,81.557,,
139.0,86.719,,,66.382,192.769,410.148,81.726,,
140.0,85.797,,,67.710,189.137,414.449,81.195,,
141.0,89.499,,,67.378,191.666,410.899,82.769,,
142.0,91.111,,,68.460,192.150,419.100,84.471,,
143.0,91.216,,,68.107,202.303,412.326,84.786,,
144.0,91.262,,,68.444,203.827,415.246,87.053,,
145.0,91.609,,,70.061,199.720,417.510,85.722,,
146.0,90.995,,,71.991,207.203,421.225,83.735,,
147.0,90.814,,,71.422,201.576,422.721,85.534,,
148.0,91.529,,,69.293,198.778,421.759,87.010,,
149.0,92.865,,,70.336,202.769,429.570,84.313,,
150.0,94.688,,,72.158,198.790,430.077,84.396,,
151.0,94.796,,,72.388,200.881,435.708,85.278,,
152.0,96.342,,,73.107,197.743,442.649,85.508,,
153.0,95.053,,,74.839,204.986,447.349,85.785,,
154.0,93.047,,,75.445,204.706,450.099,86.011,,
155.0,93.840,,,77.088,207.669,452.336,87.328,,
156.0,94.527,,,82.475,213.754,462.133,88.557,,
157.0,96.827,,,81.033,212.528,463.966,87.373,,
158.0,99.147,,,81.237,207.680,467.753,85.849,,
159.0,100.497,,,82.437,210.968,477.322,85.056,,
160.0,99.854,,,82.230,212.730,479.256,84.185,,
161.0,100.671,,,84.663,213.992,483.538,84.024,,
162.0,103.269,,,82.591,218.972,488.036,84.908,,
163.0,104.050,,,84.742,221.036,491.773,88.505,,
164.0,102.400,,,87.220,219.645,491.123,89.160,,
165.0,106.255,,,89.210,221.582,495.442,88.899,,
166.0,105.178,,,90.349,221.586,507.331,90.758,,
167.0,106.715,,,90.854,221.450,502.037,89.541,,
168.0,109.649,,,89.340,221.306,506.873,93.668,,
169.0,109.305,,,91.232,220.549,512.656,89.243,,
170.0,109.161,,,90.009,222.388,516.934,91.529,,
171.0,109.415,,,91.104,230.035,519.776,95.229,,
172.0,115.002,,,93.206,228.971,528.558,97.157,,
173.0,114.478,,,91.832,230.736,528.635,97.221,,
174.0,114.599,,,94.979,228.670,519.577,100.603,,
175.0,117.763,,,94.396,235.778,523.036,99.736,,
176.0,119.015,,,96.327,237.318,527.619,99.136,,
177.0,121.971,,,98.029,233.907,532.572,98.920,,
178.0,123.335,,,99.439,239.502,530.861,102.017,,
179.0,122.584,,,100.580,238.123,529.154,99.897,,
180.0,118.722,,,99.737,236.287,527.741,100.384,,
181.0,118.808,,,95.930,235.704,525.050,102.240,,
182.0,118.573,,,95.468,234.237,527.415,102.763,,
183.0,124.779,,,95.878,238.025,531.834,103.712,,
184.0,122.520,,,96.961,239.167,530.596,105.678,,
185.0,120.327,,,98.078,243.166,536.102,107.995,,
186.0,121.494,,,97.543,245.529,541.675,106.692,,
187.0,122.753,,,97.969,247.476,555.885,110.549,,
188.0,127.070,,,97.391,249.096,555.592,112.082,,
189.0,131.827,,,97.284,248.192,559.325,111.306,,
190.0,131.511,,,98.399,249.877,562.046,111.558,,
191.0,130.892,,,96.112,248.497,568.501,112.672,,
192.0,131.369,,,98.115,247.932,570.311,113.960,,
193.0,131.451,,,97.709,256.347,560.450,116.123,,
194.0,136.233,,,98.376,252.190,569.264,116.581,,
195.0,133.946,,,99.322,252.708,568.030,118.471,,
196.0,132.695,,,98.359,250.815,569.710,118.540,,
197.0,134.467,,,99.685,251.957,575.037,121.624,,
198.0,134.263,,,97.733,248.040,578.910,119.462,,
199.0,135.052,,,96.514,252.635,586.167,121.483,,
200.0,,,,,,,,,
