# co-doping HYPOTHESIS GENERATOR v2 (ML-assisted). NOT validated — co-doping 실측/계산 라벨 없음. 후보 제안용이며 예측기가 아님.
# method: ridge(47 single dopants, LOOCV lambda) coefficients transplanted to pair features + 8 physics interaction terms distilled from v1 heuristic (weighted ridge: listed 1.0 / unlisted~0 weight 0.1). ml_score = base_z + sum(v_j*inter_j); uncertainty = internal LOOCV-residual propagation only.
# columns: gap_min = min(gap_lit_eV) 문헌 큐레이션 값(우리 계산 갭 아님); air_max = HSAB 정성등급 큐레이션; transport_min = min(bvs_x005) BVS proxy(절대 σ 아님); joint_window_V = max(ox)-min(red) 상보 가정; window_gain = joint_window_V - max(단일 도펀트 창) — 0 이면 상보가 발동하지 않고 더 나은 한쪽 창을 그대로 물려받은 것(전체 1081쌍의 ~70%가 정확히 0).
# applicability domain (Sendek 2017 EES 10,306 §3.4 이식 — 열 3종 추가): ad_d = 47 도펀트 훈련셋 PCA-분산 정규화 중심거리(훈련 점들의 평균 = 1); ad_eps = leave-one-dopant-out 47 재적합 예측의 표준편차(모델 불안정성); ad_A = 적용영역 판정(1 = ad_d <= 2, 0 = 외삽 = 순위 신뢰 낮음). 역설계/champion 선정 시 ad_A=0 은 winner's curse 위험군으로 취급할 것.
rank,pairA,pairB,ml_score,uncertainty,joint_window_V,window_gain,transport_min,gap_min,air_max,top_interaction,tags,ad_d,ad_eps,ad_A
11,Fe2O3,Sc2O3,3.8584,0.438,0.970,0.000,0.8656,2.2,0.20,de_avg*joint_window,collapse-member,1.196,0.295,1
12,CrO3,Sc2O3,3.7297,0.440,0.970,0.000,0.8656,2.0,0.20,de_avg*joint_window,,1.067,0.286,1
13,Cr2O3,ScF3,3.7078,0.532,1.050,0.216,0.8932,3.4,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride,1.367,0.221,1
14,Al2O3,Cr2O3,3.4625,0.332,0.984,0.216,0.8756,3.4,0.20,de_avg*joint_window,anode<->cathode|cross-group,1.043,0.197,1
15,Cr2O3,YF3,3.4410,0.448,1.064,0.216,0.8824,3.4,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride,1.443,0.227,1
16,HfO2,Sc2O3,3.4185,0.599,1.114,0.144,0.8597,5.7,0.20,de_avg*joint_window,anode<->cathode|weak-transport,1.084,0.257,1
17,In2O3,Sc2O3,3.3692,0.474,0.970,0.000,0.8656,2.9,0.20,de_avg*joint_window,cross-group,1.275,0.218,1
18,Cr2O3,Sm2O3,3.3370,0.259,0.868,0.235,0.8759,3.4,0.20,de_avg*joint_window,anode<->cathode|cross-group,1.477,0.173,1
19,MnO,Sc2O3,3.3275,0.318,0.970,0.000,0.8535,3.9,0.20,de_avg*joint_window,weak-transport|collapse-member,1.156,0.201,1
20,MoO3,Sc2O3,3.3207,0.512,0.970,0.000,0.8419,3.0,0.20,de_avg*joint_window,weak-transport,0.939,0.286,1
21,Sc2O3,Sm2O3,3.3123,0.403,0.970,0.000,0.8656,4.6,0.20,de_avg*joint_window,cross-group,1.156,0.191,1
22,Sc2O3,Y2O3,3.3021,0.465,0.970,0.000,0.8656,5.6,0.20,de_avg*joint_window,,0.986,0.226,1
23,Nb2O5,Y2O3,3.2177,0.572,0.891,0.000,0.9123,3.4,0.20,de_avg*joint_window,,0.984,0.241,1
24,Cr2O3,Nd2O3,3.1681,0.469,0.838,0.205,0.9035,3.4,0.20,de_avg*joint_window,anode<->cathode|cross-group,1.576,0.172,1
25,B2O3,Gd2O3,3.1593,0.667,0.919,0.199,0.8199,5.4,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.097,0.217,1
26,Nd2O3,Sc2O3,3.1500,0.413,0.970,0.000,0.8656,4.7,0.20,de_avg*joint_window,cross-group,1.162,0.193,1
27,Al2O3,In2O3,3.0650,0.521,0.984,0.193,0.8756,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode,1.345,0.204,1
28,Gd2O3,Y2O3,3.0640,0.551,0.891,0.000,0.8557,5.4,0.20,de_avg*joint_window,cross-group|weak-transport,0.968,0.226,1
29,Sc2O3,ZrF4,3.0534,0.376,0.970,0.000,0.8656,6.0,0.45,de_avg*joint_window,oxyfluoride,0.913,0.182,1
30,Ga2O3,Gd2O3,3.0483,0.360,0.958,0.180,0.8552,4.8,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.003,0.189,1
31,Cr2O3,LaF3,3.0482,0.196,0.881,0.248,0.8784,3.4,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group,1.190,0.134,1
32,In2O3,Y2O3,3.0362,0.515,0.965,0.074,0.8866,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group,1.649,0.206,1
33,Ta2O5,Y2O3,3.0268,0.373,0.891,0.000,0.8766,4.0,0.20,de_avg*joint_window,,1.042,0.234,1
34,Cr2O3,In2O3,2.9677,0.472,0.791,0.000,0.8866,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.111,0.156,1
35,LaF3,Sc2O3,2.8953,0.301,0.970,0.000,0.8656,6.0,0.45,de_avg*joint_window,oxyfluoride|cross-group,1.006,0.122,1
36,In2O3,Ta2O5,2.8661,0.434,0.791,0.000,0.8766,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.215,0.172,1
37,In2O3,Sm2O3,2.8532,0.438,0.868,0.077,0.8759,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group,1.816,0.175,1
38,In2O3,Nb2O5,2.8267,0.457,0.791,0.000,0.8866,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.173,0.164,1
39,WO3,Y2O3,2.7558,0.328,0.891,0.000,0.8680,2.7,0.20,de_avg*joint_window,,1.199,0.231,1
40,La2O3,Sc2O3,2.7492,0.408,0.970,0.000,0.8656,5.5,0.20,de_avg*joint_window,cross-group,0.957,0.166,1
41,Al2O3,Sc2O3,2.7485,0.343,0.984,0.014,0.8656,6.0,0.20,de_avg*joint_window,cross-group,1.011,0.125,1
42,Cr2O3,La2O3,2.7292,0.207,0.833,0.200,0.8727,3.4,0.20,de_avg*joint_window,anode<->cathode|cross-group,1.090,0.156,1
43,CaO,Cr2O3,2.6981,0.650,1.114,0.216,0.9035,3.4,0.20,joint_window*transport_min,anode<->cathode|cross-group,1.267,0.194,1
44,In2O3,Nd2O3,2.6411,0.462,0.838,0.047,0.8866,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.916,0.168,1
45,Fe2O3,Y2O3,2.5951,0.397,0.891,0.000,0.8827,2.2,0.20,de_avg*joint_window,collapse-member,1.539,0.229,1
46,Sc2O3,ScF3,2.5944,0.494,1.050,0.080,0.8656,6.0,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride,1.159,0.203,1
47,In2O3,WO3,2.5869,0.423,0.791,0.000,0.8680,2.7,0.20,disorder_max*dose_slope_min,cross-group,1.150,0.162,1
48,Sb2O5,Sc2O3,2.5864,0.345,0.970,0.000,0.8656,3.0,0.20,de_avg*joint_window,cross-group,0.942,0.192,1
49,HfO2,In2O3,2.5432,0.501,1.114,0.323,0.8597,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,1.654,0.210,1
50,Sc2O3,ZrO2,2.5238,0.334,0.970,0.000,0.8656,5.5,0.20,de_avg*joint_window,,0.894,0.163,1
51,V2O5,Y2O3,2.5010,0.381,0.891,0.000,0.8693,2.3,0.20,de_avg*joint_window,,1.125,0.257,1
52,In2O3,LaF3,2.4623,0.414,0.881,0.090,0.8784,2.9,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|cross-group,1.298,0.137,1
53,Sc2O3,YF3,2.4471,0.507,1.064,0.094,0.8656,6.0,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride,1.026,0.204,1
54,B2O3,Sm2O3,2.3885,0.609,0.829,0.328,0.8199,4.6,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,1.169,0.198,1
55,Sc2O3,TiO2,2.3769,0.329,0.970,0.000,0.8641,3.2,0.20,de_avg*joint_window,weak-transport,0.990,0.203,1
56,CrO3,Y2O3,2.3765,0.342,0.891,0.000,0.8668,2.0,0.20,de_avg*joint_window,,1.234,0.231,1
57,In2O3,La2O3,2.3459,0.427,0.833,0.042,0.8727,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.309,0.169,1
58,Cr2O3,NdF3,2.3120,0.186,0.838,0.205,0.8566,3.4,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.120,0.127,1
59,In2O3,MnO,2.2818,0.436,0.791,0.000,0.8535,2.9,0.20,disorder_max*dose_slope_min,cross-group|weak-transport|collapse-member,1.244,0.149,1
60,Fe2O3,In2O3,2.2694,0.483,0.791,0.000,0.8827,2.2,0.20,disorder_max*dose_slope_min,cross-group|collapse-member,1.175,0.158,1
61,In2O3,ZrF4,2.2634,0.418,0.791,0.000,0.8866,2.9,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,1.282,0.133,1
62,In2O3,V2O5,2.2535,0.435,0.791,0.000,0.8693,2.3,0.20,disorder_max*dose_slope_min,cross-group,1.275,0.174,1
63,HfO2,Y2O3,2.2476,0.486,1.040,0.149,0.8597,5.6,0.20,de_avg*joint_window,anode<->cathode|weak-transport,0.951,0.223,1
64,CrO3,In2O3,2.2299,0.439,0.791,0.000,0.8668,2.0,0.20,disorder_max*dose_slope_min,cross-group,1.205,0.165,1
65,B2O3,In2O3,2.2214,0.605,0.791,0.000,0.8199,2.9,0.20,disorder_max*dose_slope_min,weak-transport,1.878,0.200,1
66,Nd2O3,Y2O3,2.2008,0.558,0.891,0.000,0.9123,4.7,0.20,de_avg*joint_window,cross-group,1.085,0.185,1
67,Sc2O3,TiF4,2.1927,0.363,0.970,0.000,0.8656,6.0,0.45,de_avg*joint_window,oxyfluoride,0.848,0.168,1
68,CoO,Sc2O3,2.1857,0.374,0.970,0.000,0.8656,2.5,0.60,joint_window*gap_min,collapse-member,1.102,0.183,1
69,NdF3,Sc2O3,2.1531,0.302,0.970,0.000,0.8566,6.0,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,0.975,0.117,1
70,Y2O3,ZrF4,2.1470,0.335,0.891,0.000,0.8924,5.6,0.45,de_avg*joint_window,oxyfluoride,1.112,0.143,1
71,Sm2O3,Y2O3,2.1464,0.316,0.891,0.000,0.8759,4.6,0.20,de_avg*joint_window,cross-group,0.980,0.159,1
72,B2O3,La2O3,2.1396,0.657,0.794,0.424,0.8199,5.5,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,0.971,0.147,1
73,B2O3,Sc2O3,2.1305,0.568,0.970,0.000,0.8199,6.0,0.20,de_avg*joint_window,cross-group|weak-transport,1.286,0.161,1
74,MnO,Y2O3,2.1201,0.250,0.891,0.000,0.8535,3.9,0.20,de_avg*joint_window,weak-transport|collapse-member,1.270,0.166,1
75,NiO,Sc2O3,2.1014,0.278,0.970,0.000,0.8656,4.0,0.60,group_cross*joint_window,collapse-member,1.163,0.150,1
76,CaF2,Cr2O3,2.0986,0.301,1.114,0.216,0.8774,3.4,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group,1.700,0.139,1
77,In2O3,ScF3,2.0962,0.504,1.050,0.216,0.8866,2.9,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|cross-group,1.720,0.151,1
78,In2O3,MoO3,2.0806,0.476,0.791,0.000,0.8419,2.9,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,1.292,0.172,1
79,Cr2O3,MgF2,2.0710,0.190,1.013,0.216,0.8699,3.4,0.45,joint_window*gap_min,anode<->cathode|oxyfluoride|cross-group,1.458,0.110,1
80,Cr2O3,MnO,2.0588,0.197,0.633,0.000,0.8535,3.4,0.20,joint_window*gap_min,weak-transport|collapse-member,1.088,0.073,1
81,In2O3,Sb2O5,2.0333,0.465,0.791,0.000,0.8866,2.9,0.20,disorder_max*dose_slope_min,,1.176,0.148,1
82,Cr2O3,WO3,2.0310,0.157,0.639,0.006,0.8680,2.7,0.20,air_max*gap_min,,0.874,0.067,1
83,MoO3,Y2O3,2.0256,0.417,0.891,0.000,0.8419,3.0,0.20,de_avg*joint_window,weak-transport,1.000,0.231,1
84,AlF3,Cr2O3,1.9596,0.398,0.984,0.216,0.8427,3.4,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.718,0.164,1
85,LaF3,Y2O3,1.9558,0.199,0.891,0.000,0.8784,5.6,0.45,de_avg*joint_window,oxyfluoride|cross-group,1.501,0.110,1
86,B2O3,HfO2,1.9263,0.854,1.075,0.321,0.8199,5.7,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.096,0.186,1
87,Cr2O3,Nb2O5,1.9010,0.461,0.633,0.000,0.9035,3.4,0.20,transport_min*blocking_max,,0.897,0.071,1
88,In2O3,NdF3,1.8958,0.422,0.838,0.047,0.8566,2.9,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group|weak-transport,1.354,0.144,1
89,Cr2O3,Ta2O5,1.8908,0.190,0.639,0.006,0.8766,3.4,0.20,joint_window*gap_min,,0.930,0.054,1
90,B2O3,MnO,1.8752,0.555,0.562,0.288,0.8199,3.9,0.20,transport_min*blocking_max,anode<->cathode|cross-group|weak-transport|collapse-member,1.274,0.103,1
91,Cr2O3,LiF,1.8555,0.420,1.114,0.216,0.8889,3.4,0.45,joint_window*transport_min,anode<->cathode|oxyfluoride|cross-group,1.495,0.131,1
92,Gd2O3,WO3,1.8525,0.223,0.742,0.022,0.8557,2.7,0.20,de_avg*joint_window,cross-group|weak-transport,1.110,0.137,1
93,In2O3,YF3,1.8490,0.483,1.064,0.216,0.8824,2.9,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|cross-group,1.836,0.148,1
94,Cr2O3,ZrF4,1.8479,0.251,0.643,0.010,0.8924,3.4,0.45,transport_min*blocking_max,oxyfluoride,1.135,0.065,1
95,ScF3,Y2O3,1.8345,0.482,0.976,0.085,0.8932,5.6,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride,0.871,0.167,1
96,Cr2O3,SiO2,1.8271,0.180,0.942,0.216,0.8684,3.4,0.20,joint_window*gap_min,anode<->cathode|cross-group,1.034,0.123,1
97,Sc2O3,ZnO,1.8177,0.302,0.970,0.000,0.8633,3.3,0.60,group_cross*joint_window,weak-transport,1.165,0.146,1
98,In2O3,ZrO2,1.8142,0.450,0.791,0.000,0.8866,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.214,0.140,1
99,B2O3,Cr2O3,1.8111,0.574,0.633,0.000,0.8199,3.4,0.20,joint_window*transport_min,cross-group|weak-transport,1.360,0.088,1
100,Al2O3,Y2O3,1.7995,0.252,0.910,0.019,0.8756,5.6,0.20,de_avg*joint_window,cross-group,1.154,0.116,1
101,Gd2O3,HfO2,1.7980,0.468,0.876,0.122,0.8557,5.4,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,0.938,0.189,1
102,MgF2,Sc2O3,1.7920,0.333,1.013,0.043,0.8656,6.0,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,1.399,0.084,1
103,Cr2O3,Li2O,1.7825,0.353,1.114,0.216,0.8828,3.4,0.20,joint_window*gap_min,anode<->cathode|cross-group,1.333,0.125,1
104,Sb2O5,Y2O3,1.7739,0.516,0.891,0.000,0.9123,3.0,0.20,de_avg*joint_window,cross-group,1.083,0.185,1
105,Ag2O,Sc2O3,1.7483,0.712,0.970,0.000,0.8656,1.3,1.00,joint_window*gap_min,air-protect,1.697,0.159,1
106,B2O3,LaF3,1.7238,0.481,0.842,0.424,0.8199,6.2,0.45,transport_min*blocking_max,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.531,0.092,1
107,Cr2O3,CrO3,1.7234,0.189,0.633,0.000,0.8668,2.0,0.20,air_max*gap_min,,0.990,0.072,1
108,Al2O3,B2O3,1.7226,0.530,0.945,0.177,0.8199,6.2,0.20,de_avg*joint_window,anode<->cathode|weak-transport,1.533,0.180,1
109,Gd2O3,MnO,1.7117,0.132,0.720,0.000,0.8535,3.9,0.20,disorder_max*dose_slope_min,cross-group|weak-transport|collapse-member,1.170,0.107,1
110,B2O3,MoO3,1.7086,0.584,0.591,0.177,0.8199,3.0,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,0.991,0.093,1
111,Gd2O3,LaF3,1.6949,0.139,0.720,0.000,0.8557,5.4,0.45,disorder_max*dose_slope_min,oxyfluoride|weak-transport,1.411,0.112,1
112,HfO2,WO3,1.6898,0.308,0.898,0.144,0.8597,2.7,0.20,de_avg*joint_window,anode<->cathode|weak-transport,1.267,0.209,1
113,Cr2O3,Fe2O3,1.6833,0.294,0.633,0.000,0.8827,2.2,0.20,air_max*gap_min,collapse-member,0.977,0.074,1
114,Al2O3,Gd2O3,1.6800,0.144,0.768,0.000,0.8557,5.4,0.20,de_avg*joint_window,cross-group|weak-transport,1.335,0.118,1
115,Sc2O3,SnO2,1.6758,0.179,0.970,0.000,0.8656,3.6,0.20,joint_window*gap_min,cross-group,0.913,0.110,1
116,Cr2O3,Ga2O3,1.6750,0.183,0.778,0.000,0.8552,3.4,0.20,joint_window*gap_min,cross-group|weak-transport,0.872,0.107,1
117,Cr2O3,MgO,1.6720,0.502,0.951,0.216,0.9035,3.4,0.20,joint_window*transport_min,anode<->cathode|cross-group,1.022,0.146,1
118,Ga2O3,Sc2O3,1.6609,0.174,0.970,0.000,0.8552,4.8,0.20,de_avg*joint_window,cross-group|weak-transport,0.853,0.095,1
119,Y2O3,ZrO2,1.6586,0.528,0.891,0.000,0.9123,5.5,0.20,de_avg*joint_window,,1.041,0.140,1
120,Gd2O3,MgF2,1.6215,0.338,0.797,0.000,0.8557,5.4,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group|weak-transport,1.728,0.149,1
121,B2O3,WO3,1.6193,0.547,0.600,0.177,0.8199,2.7,0.20,transport_min*blocking_max,anode<->cathode|cross-group|weak-transport,1.159,0.085,1
122,La2O3,Y2O3,1.6075,0.312,0.891,0.000,0.8727,5.5,0.20,de_avg*joint_window,cross-group,0.899,0.138,1
123,AlF3,In2O3,1.6015,0.610,0.984,0.193,0.8427,2.9,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|weak-transport,2.046,0.199,0
124,CrO3,Gd2O3,1.6008,0.250,0.742,0.022,0.8557,2.0,0.20,de_avg*joint_window,cross-group|weak-transport,1.206,0.146,1
125,Ga2O3,In2O3,1.5889,0.450,0.791,0.000,0.8552,2.9,0.20,disorder_max*dose_slope_min,weak-transport,1.315,0.154,1
126,Ga2O3,Ta2O5,1.5887,0.114,0.778,0.000,0.8552,4.0,0.20,de_avg*joint_window,cross-group|weak-transport,0.715,0.106,1
127,Cr2O3,Sb2O5,1.5832,0.457,0.633,0.000,0.9035,3.0,0.20,transport_min*blocking_max,cross-group,0.790,0.095,1
128,Y2O3,YF3,1.5831,0.422,0.990,0.099,0.8824,5.6,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride,0.957,0.169,1
129,Ga2O3,Nb2O5,1.5717,0.141,0.778,0.000,0.8552,3.4,0.20,joint_window*gap_min,cross-group|weak-transport,0.634,0.111,1
130,B2O3,Nb2O5,1.5602,0.435,0.579,0.256,0.8199,3.4,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,1.164,0.067,1
131,B2O3,Nd2O3,1.5525,0.427,0.799,0.397,0.8199,4.7,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.043,0.130,1
132,Cr2O3,MoO3,1.5499,0.332,0.633,0.000,0.8419,3.0,0.20,air_max*gap_min,weak-transport,0.987,0.064,1
133,HfO2,MoO3,1.5479,0.427,0.898,0.144,0.8419,3.0,0.20,de_avg*joint_window,anode<->cathode|weak-transport,1.214,0.213,1
134,Cu2O,Sc2O3,1.5458,0.584,0.970,0.000,0.8656,2.1,1.00,joint_window*gap_min,air-protect,1.567,0.162,1
135,Cr2O3,ZnO,1.5303,0.163,0.791,0.158,0.8633,3.3,0.60,joint_window*gap_min,anode<->cathode|weak-transport,1.253,0.103,1
136,B2O3,SrO,1.5239,0.571,0.600,0.257,0.8199,6.0,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,1.025,0.118,1
137,In2O3,TiF4,1.5098,0.404,0.791,0.000,0.8729,2.9,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,1.293,0.132,1
138,In2O3,SiO2,1.5004,0.515,0.942,0.151,0.8684,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode,1.341,0.151,1
139,Ga2O3,WO3,1.4873,0.190,0.778,0.000,0.8552,2.7,0.20,joint_window*gap_min,cross-group|weak-transport,0.816,0.109,1
140,Cr2O3,ZrO2,1.4637,0.447,0.643,0.010,0.9035,3.4,0.20,transport_min*blocking_max,,1.125,0.088,1
141,BaO,Sc2O3,1.4576,0.233,0.970,0.000,0.8656,4.0,0.20,de_avg*joint_window,cross-group,0.968,0.108,1
142,Sc2O3,SiO2,1.4557,0.266,0.970,0.000,0.8656,6.0,0.20,de_avg*joint_window,cross-group,1.047,0.073,1
143,CoO,Y2O3,1.4530,0.565,0.891,0.000,0.9117,2.5,0.60,joint_window*gap_min,collapse-member,1.243,0.136,1
144,Nb2O5,YF3,1.4365,0.291,0.848,0.000,0.8824,3.4,0.45,de_avg*joint_window,oxyfluoride,1.255,0.169,1
145,B2O3,ZrF4,1.4160,0.430,0.604,0.330,0.8199,6.2,0.45,joint_window*gap_min,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.300,0.112,1
146,In2O3,SnO2,1.4159,0.471,0.791,0.000,0.8866,2.9,0.20,disorder_max*dose_slope_min,,1.138,0.128,1
147,B2O3,Y2O3,1.4091,0.555,0.926,0.035,0.8199,5.6,0.20,de_avg*joint_window,cross-group|weak-transport,1.027,0.158,1
148,Cr2O3,SnO2,1.4087,0.446,0.639,0.006,0.9035,3.4,0.20,transport_min*blocking_max,cross-group,0.843,0.107,1
149,In2O3,TiO2,1.4075,0.419,0.791,0.000,0.8641,2.9,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,1.285,0.141,1
150,Cr2O3,V2O5,1.4070,0.188,0.633,0.000,0.8693,2.3,0.20,air_max*gap_min,,0.932,0.059,1
151,Sm2O3,YF3,1.4033,0.630,0.848,0.000,0.8759,4.6,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,1.198,0.183,1
152,B2O3,Ta2O5,1.3991,0.385,0.600,0.290,0.8199,4.0,0.20,joint_window*transport_min,anode<->cathode|cross-group|weak-transport,1.130,0.054,1
153,Gd2O3,Nb2O5,1.3937,0.287,0.720,0.000,0.8557,3.4,0.20,de_avg*joint_window,cross-group|weak-transport,1.066,0.119,1
154,Fe2O3,Gd2O3,1.3886,0.266,0.720,0.000,0.8557,2.2,0.20,disorder_max*dose_slope_min,cross-group|weak-transport|collapse-member,1.569,0.137,1
155,CoO,In2O3,1.3803,0.442,0.791,0.000,0.8866,2.5,0.60,disorder_max*dose_slope_min,cross-group|collapse-member,1.258,0.118,1
156,NiO,Y2O3,1.3775,0.529,0.891,0.000,0.9115,4.0,0.60,group_cross*joint_window,collapse-member,1.278,0.114,1
157,Nb2O5,ScF3,1.3738,0.270,0.834,0.000,0.8932,3.4,0.45,de_avg*joint_window,oxyfluoride,1.178,0.148,1
158,Cr2O3,SrO,1.3684,0.134,0.639,0.006,0.8737,3.4,0.20,joint_window*gap_min,cross-group,1.039,0.092,1
159,BaO,In2O3,1.3568,0.452,0.791,0.000,0.8866,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.441,0.127,1
160,Ga2O3,Sm2O3,1.3498,0.137,0.868,0.090,0.8552,4.6,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.223,0.086,1
161,In2O3,SrO,1.3487,0.423,0.791,0.000,0.8737,2.9,0.20,disorder_max*dose_slope_min,cross-group,1.481,0.130,1
162,Gd2O3,Ta2O5,1.3476,0.311,0.720,0.000,0.8557,4.0,0.20,de_avg*joint_window,cross-group|weak-transport,1.105,0.117,1
163,BaO,Cr2O3,1.3351,0.286,0.639,0.006,0.8893,3.4,0.20,transport_min*blocking_max,cross-group,1.072,0.096,1
164,ScF3,Ta2O5,1.3347,0.188,0.834,0.000,0.8766,4.0,0.45,de_avg*joint_window,oxyfluoride,1.243,0.156,1
165,Cr2O3,NiO,1.3340,0.423,0.633,0.000,0.9035,3.4,0.60,transport_min*blocking_max,collapse-member,1.074,0.077,1
166,CaO,Nb2O5,1.3323,0.536,0.898,0.000,0.9203,3.4,0.20,disorder_max*dose_slope_min,cross-group,1.174,0.158,1
167,AlF3,Sc2O3,1.3242,0.395,0.984,0.014,0.8427,6.0,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.218,0.117,1
