,model,phonon_softening,model,dataset
mp-10418,mace,0.9730162558855807,mace,MPtrj
mp-10429,mace,0.992049182663007,mace,MPtrj
mp-10444,mace,0.9979064426246876,mace,MPtrj
mp-1045,mace,1.0068345367038525,mace,MPtrj
mp-10461,mace,0.9940981682766254,mace,MPtrj
mp-1047,mace,0.8776035328939691,mace,MPtrj
mp-10474,mace,0.9849208361236107,mace,MPtrj
mp-10476,mace,0.9815067827549507,mace,MPtrj
mp-10486,mace,0.994409644838713,mace,MPtrj
mp-10487,mace,0.8707845599479443,mace,MPtrj
mp-10488,mace,0.9811397913270723,mace,MPtrj
mp-10489,mace,0.9304154081878615,mace,MPtrj
mp-10492,mace,1.0175002686853527,mace,MPtrj
mp-10495,mace,0.9807487948086846,mace,MPtrj
mp-10497,mace,0.9995438059427656,mace,MPtrj
mp-10499,mace,0.9666529918260833,mace,MPtrj
mp-10509,mace,0.9871429712099568,mace,MPtrj
mp-10510,mace,1.0007538660756305,mace,MPtrj
mp-10517,mace,0.9814120647568023,mace,MPtrj
mp-10520,mace,0.9851962765672717,mace,MPtrj
mp-10533,mace,0.9077307806671648,mace,MPtrj
mp-10534,mace,0.9827606631731387,mace,MPtrj
mp-10547,mace,0.9640142345351141,mace,MPtrj
mp-10550,mace,0.906416705148508,mace,MPtrj
mp-10552,mace,0.9139954976714112,mace,MPtrj
mp-10555,mace,0.8818471485571777,mace,MPtrj
mp-10556,mace,0.8464551877926043,mace,MPtrj
mp-1056,mace,0.9916306576870002,mace,MPtrj
mp-10572,mace,0.9833385641934742,mace,MPtrj
mp-10577,mace,0.9308255248790961,mace,MPtrj
mp-10615,mace,1.0164493480010839,mace,MPtrj
mp-10616,mace,0.7946003864104778,mace,MPtrj
mp-10620,mace,0.9572340185213554,mace,MPtrj
mp-10623,mace,0.9641437826319849,mace,MPtrj
mp-10644,mace,0.9603297414604216,mace,MPtrj
mp-10662,mace,0.9966111278180705,mace,MPtrj
mp-10694,mace,0.9932251734591715,mace,MPtrj
mp-10695,mace,0.9246421279684505,mace,MPtrj
mp-1070,mace,0.9375381477592009,mace,MPtrj
mp-10731,mace,0.997627058802062,mace,MPtrj
mp-10733,mace,1.032429560206147,mace,MPtrj
mp-1074,mace,0.9407556331803099,mace,MPtrj
mp-10748,mace,0.9910487501360897,mace,MPtrj
mp-10760,mace,0.8939206425170789,mace,MPtrj
mp-10771,mace,0.978863225174928,mace,MPtrj
mp-10776,mace,0.9299845324543651,mace,MPtrj
mp-10778,mace,0.9144707807519002,mace,MPtrj
mp-10779,mace,0.8926495763132127,mace,MPtrj
mp-10780,mace,0.9040362731373454,mace,MPtrj
mp-10782,mace,0.8992271334281177,mace,MPtrj
mp-10783,mace,0.9306045029887831,mace,MPtrj
mp-10784,mace,0.9190677836507921,mace,MPtrj
mp-10785,mace,0.9293304750614791,mace,MPtrj
mp-10795,mace,0.9848080607272002,mace,MPtrj
mp-10796,mace,0.9619233977943022,mace,MPtrj
mp-10798,mace,0.9719676398543663,mace,MPtrj
mp-10802,mace,1.1924106376453496,mace,MPtrj
mp-10804,mace,0.9687696233191775,mace,MPtrj
mp-10811,mace,0.9923558286465881,mace,MPtrj
mp-10814,mace,0.973671647331423,mace,MPtrj
mp-10834,mace,0.9756598497910924,mace,MPtrj
mp-10835,mace,0.9757468433599876,mace,MPtrj
mp-10837,mace,0.9797942903663187,mace,MPtrj
mp-10851,mace,0.9879490204427805,mace,MPtrj
mp-1087,mace,0.983981363963068,mace,MPtrj
mp-10914,mace,0.9355892832713943,mace,MPtrj
mp-10918,mace,0.9860072413740052,mace,MPtrj
mp-10919,mace,0.9678416388479265,mace,MPtrj
mp-10925,mace,0.9513146825962179,mace,MPtrj
mp-10932,mace,0.8819840191858374,mace,MPtrj
mp-10933,mace,0.9688118646307515,mace,MPtrj
mp-10935,mace,0.9646780390099315,mace,MPtrj
mp-10942,mace,0.9658493359302742,mace,MPtrj
mp-10953,mace,0.9705515555629853,mace,MPtrj
mp-10969,mace,1.0084855951946115,mace,MPtrj
mp-10970,mace,0.9447645500438716,mace,MPtrj
mp-10971,mace,0.9621883331537654,mace,MPtrj
mp-10973,mace,0.9560449578860694,mace,MPtrj
mp-10985,mace,0.946166372771248,mace,MPtrj
mp-10996,mace,0.9152008785404895,mace,MPtrj
mp-11000,mace,0.9773134714753784,mace,MPtrj
mp-11006,mace,0.9667099347701225,mace,MPtrj
mp-11007,mace,0.9591580902176385,mace,MPtrj
mp-11008,mace,0.8977945468551816,mace,MPtrj
mp-11012,mace,0.9322832016288478,mace,MPtrj
mp-11014,mace,0.9847518803071209,mace,MPtrj
mp-11016,mace,0.9916554924999288,mace,MPtrj
mp-11018,mace,0.9916378464536066,mace,MPtrj
mp-11019,mace,0.9723080858894171,mace,MPtrj
mp-11020,mace,0.96210278680345,mace,MPtrj
mp-11022,mace,0.9592353493697394,mace,MPtrj
mp-11023,mace,0.9228493889305335,mace,MPtrj
mp-11025,mace,0.9141640036891246,mace,MPtrj
mp-1105,mace,1.0168256969969536,mace,MPtrj
mp-11054,mace,0.9628339439425263,mace,MPtrj
mp-11055,mace,0.9314160676722529,mace,MPtrj
mp-111,mace,6.87963214612868e-11,mace,MPtrj
mp-11112,mace,0.9913138996190681,mace,MPtrj
mp-11114,mace,0.883903774270031,mace,MPtrj
mp-11115,mace,0.8950079755918285,mace,MPtrj
mp-11116,mace,0.9410159347397385,mace,MPtrj
mp-11118,mace,0.9417184937629542,mace,MPtrj
mp-11121,mace,0.9496332078439629,mace,MPtrj
mp-11122,mace,0.9503605878425327,mace,MPtrj
mp-11123,mace,0.9482267593824855,mace,MPtrj
mp-11124,mace,0.9522320239557507,mace,MPtrj
mp-11131,mace,0.9471128878001315,mace,MPtrj
mp-11151,mace,0.8858807790847255,mace,MPtrj
mp-11165,mace,0.9769232605780022,mace,MPtrj
mp-11166,mace,1.0101935481650213,mace,MPtrj
mp-11168,mace,0.8838236313523692,mace,MPtrj
mp-11175,mace,0.9212029171657204,mace,MPtrj
mp-11183,mace,0.9951397767731959,mace,MPtrj
mp-11189,mace,0.955747105231221,mace,MPtrj
mp-11276,mace,0.9635688698024941,mace,MPtrj
mp-11321,mace,0.9405309612291213,mace,MPtrj
mp-11327,mace,0.9194551020348382,mace,MPtrj
mp-11342,mace,0.9002337997510538,mace,MPtrj
mp-11347,mace,0.9777213503226889,mace,MPtrj
mp-1138,mace,0.9448331074415638,mace,MPtrj
mp-1143,mace,0.9870832874484929,mace,MPtrj
mp-1146,mace,0.9434912942154945,mace,MPtrj
mp-1153,mace,0.9043815156380883,mace,MPtrj
mp-1154,mace,0.9589703117525201,mace,MPtrj
mp-11582,mace,0.9874696369232421,mace,MPtrj
mp-11583,mace,0.8940034386346456,mace,MPtrj
mp-11585,mace,0.9852159439727671,mace,MPtrj
mp-11601,mace,0.9842175576553787,mace,MPtrj
mp-11602,mace,0.9250584796815856,mace,MPtrj
mp-11623,mace,0.9960188907896683,mace,MPtrj
mp-11634,mace,0.9617799619149736,mace,MPtrj
mp-11639,mace,0.9826088565568938,mace,MPtrj
mp-11641,mace,0.963342917232724,mace,MPtrj
mp-11643,mace,0.8849689902766175,mace,MPtrj
mp-11653,mace,0.987418581853556,mace,MPtrj
mp-11654,mace,0.9676725088766839,mace,MPtrj
mp-11659,mace,0.9827486326793121,mace,MPtrj
mp-11661,mace,0.90580939801508,mace,MPtrj
mp-1167,mace,0.9556425999466819,mace,MPtrj
mp-11670,mace,0.9748082577052352,mace,MPtrj
mp-11673,mace,0.9731642185727272,mace,MPtrj
mp-11674,mace,0.9671190038443355,mace,MPtrj
mp-11677,mace,0.9173519957947623,mace,MPtrj
mp-11684,mace,0.984732101110672,mace,MPtrj
mp-11691,mace,1.0009153055386977,mace,MPtrj
mp-11692,mace,0.8979263470280717,mace,MPtrj
mp-11694,mace,0.9843438984234558,mace,MPtrj
mp-11695,mace,0.9974895652020399,mace,MPtrj
mp-11703,mace,0.9281527622660433,mace,MPtrj
mp-11706,mace,0.9688802649628844,mace,MPtrj
mp-11709,mace,0.9958753886623809,mace,MPtrj
mp-11713,mace,0.9681539820531946,mace,MPtrj
mp-11714,mace,0.9791701171502769,mace,MPtrj
mp-11715,mace,0.9818390114249498,mace,MPtrj
mp-11718,mace,0.9575770475313669,mace,MPtrj
mp-11719,mace,0.969871580431354,mace,MPtrj
mp-11739,mace,0.8434930504702198,mace,MPtrj
mp-11740,mace,0.8289104292297855,mace,MPtrj
mp-11742,mace,0.8427566950711044,mace,MPtrj
mp-1175,mace,1.0178204505897368,mace,MPtrj
mp-11772,mace,0.9971072321120109,mace,MPtrj
mp-11773,mace,0.9842556048578582,mace,MPtrj
mp-11790,mace,0.9115168241754278,mace,MPtrj
mp-11792,mace,0.9301063506417337,mace,MPtrj
mp-11793,mace,0.9221306008810151,mace,MPtrj
mp-11824,mace,0.8439505203675142,mace,MPtrj
mp-1186,mace,0.9736181059225143,mace,MPtrj
mp-1190,mace,0.9967039655885164,mace,MPtrj
mp-11902,mace,0.9689823142936831,mace,MPtrj
mp-11917,mace,0.9170372648628613,mace,MPtrj
mp-11918,mace,0.9671294520215107,mace,MPtrj
mp-11919,mace,0.9804632302186164,mace,MPtrj
mp-11923,mace,0.9726099958433981,mace,MPtrj
mp-11924,mace,0.9592297565420163,mace,MPtrj
mp-11925,mace,0.9492475020737763,mace,MPtrj
mp-1195,mace,0.9064026485548927,mace,MPtrj
mp-11980,mace,1.0120021943592556,mace,MPtrj
mp-11982,mace,1.0102904166277735,mace,MPtrj
mp-12010,mace,1.00421031294955,mace,MPtrj
mp-12011,mace,0.9836827240290115,mace,MPtrj
mp-12012,mace,0.9526265312085056,mace,MPtrj
mp-12016,mace,0.9528498931898128,mace,MPtrj
mp-12021,mace,0.9686261261781234,mace,MPtrj
mp-12023,mace,1.061213147844693,mace,MPtrj
mp-12046,mace,0.9826475117642751,mace,MPtrj
mp-12047,mace,0.9757220570740358,mace,MPtrj
mp-12112,mace,0.9414720774493623,mace,MPtrj
mp-12156,mace,1.0122689008867796,mace,MPtrj
mp-1216,mace,0.991920705638967,mace,MPtrj
mp-12160,mace,0.9827835994988224,mace,MPtrj
mp-1217,mace,0.9391642517495356,mace,MPtrj
mp-12171,mace,0.9876398561824871,mace,MPtrj
mp-12177,mace,0.9519044455419513,mace,MPtrj
mp-12180,mace,0.9442551236891918,mace,MPtrj
mp-12181,mace,0.933871653277044,mace,MPtrj
mp-12192,mace,0.9691333327997367,mace,MPtrj
mp-12193,mace,0.9779150046926888,mace,MPtrj
mp-12199,mace,0.9639368115290179,mace,MPtrj
mp-12221,mace,0.9763327425887367,mace,MPtrj
mp-12231,mace,0.9892931863890049,mace,MPtrj
mp-12233,mace,0.983728358614243,mace,MPtrj
mp-12236,mace,0.9948896965933332,mace,MPtrj
mp-1224,mace,0.9460786425238795,mace,MPtrj
mp-12240,mace,1.0025529229997332,mace,MPtrj
mp-12243,mace,0.9816684661353331,mace,MPtrj
mp-12244,mace,1.01295389841738,mace,MPtrj
mp-12245,mace,1.0043546784156965,mace,MPtrj
mp-12262,mace,1.0000954250220018,mace,MPtrj
mp-12263,mace,0.9539943906668298,mace,MPtrj
mp-12271,mace,0.9819704610999271,mace,MPtrj
mp-12286,mace,0.9813603308418968,mace,MPtrj
mp-12287,mace,0.9792880019085085,mace,MPtrj
mp-12295,mace,0.9963552980464038,mace,MPtrj
mp-12307,mace,0.9615977164323034,mace,MPtrj
mp-12309,mace,1.0017713969695599,mace,MPtrj
mp-12317,mace,0.9888427193517417,mace,MPtrj
mp-12326,mace,0.9972602674163995,mace,MPtrj
mp-12337,mace,0.9541485443159077,mace,MPtrj
mp-12341,mace,0.9399108525312523,mace,MPtrj
mp-12342,mace,0.9186121026260143,mace,MPtrj
mp-12343,mace,0.9136026369413227,mace,MPtrj
mp-12355,mace,0.9884168597328954,mace,MPtrj
mp-12362,mace,0.989947721011106,mace,MPtrj
mp-12364,mace,0.9357509147800004,mace,MPtrj
mp-12365,mace,0.9502117562846439,mace,MPtrj
mp-12368,mace,0.9707972856867181,mace,MPtrj
mp-12372,mace,0.9809508112912144,mace,MPtrj
mp-12385,mace,0.9960516910131513,mace,MPtrj
mp-12403,mace,0.9639346611994027,mace,MPtrj
mp-12418,mace,0.8390931334782288,mace,MPtrj
mp-12427,mace,0.9936526286196166,mace,MPtrj
mp-1243,mace,0.9876385450937357,mace,MPtrj
mp-12431,mace,0.9885622929448677,mace,MPtrj
mp-1244,mace,0.9879485628087583,mace,MPtrj
mp-12442,mace,0.9806470827151011,mace,MPtrj
mp-12448,mace,0.9608969472242647,mace,MPtrj
mp-12449,mace,0.9756752072138424,mace,MPtrj
mp-12450,mace,0.9525464201686916,mace,MPtrj
mp-12451,mace,0.9496770244936277,mace,MPtrj
mp-12453,mace,0.9257038110760523,mace,MPtrj
mp-12454,mace,0.9253815782066888,mace,MPtrj
mp-12455,mace,0.926652101683323,mace,MPtrj
mp-12457,mace,0.9317323174156129,mace,MPtrj
mp-1247,mace,0.9150275807148077,mace,MPtrj
mp-12485,mace,0.9937378109956923,mace,MPtrj
mp-12487,mace,0.937042804600192,mace,MPtrj
mp-12488,mace,0.9282937609967277,mace,MPtrj
mp-1249,mace,0.9524101602649971,mace,MPtrj
mp-12490,mace,0.9401668150687787,mace,MPtrj
mp-12491,mace,0.9194715802903208,mace,MPtrj
mp-12492,mace,0.9185678506018582,mace,MPtrj
mp-12494,mace,0.9235792162164106,mace,MPtrj
mp-12495,mace,0.9292127554939814,mace,MPtrj
mp-12496,mace,0.9149318053973111,mace,MPtrj
mp-12497,mace,0.9118880399454491,mace,MPtrj
mp-12509,mace,0.8505146705420656,mace,MPtrj
mp-12516,mace,0.9353224638659489,mace,MPtrj
mp-12525,mace,0.987170724662685,mace,MPtrj
mp-1253,mace,1.009666085649192,mace,MPtrj
mp-12532,mace,0.8875496985640684,mace,MPtrj
mp-12533,mace,0.9522156161056321,mace,MPtrj
mp-12535,mace,0.9173461065838806,mace,MPtrj
mp-12558,mace,0.766985782122605,mace,MPtrj
mp-12620,mace,0.749856099323028,mace,MPtrj
mp-12621,mace,0.6746931231842852,mace,MPtrj
mp-12622,mace,0.9799743300464203,mace,MPtrj
mp-12623,mace,0.9904579756120646,mace,MPtrj
mp-12626,mace,0.9998853409320712,mace,MPtrj
mp-12630,mace,0.9682494768373071,mace,MPtrj
mp-12637,mace,0.9963179777941251,mace,MPtrj
mp-12640,mace,0.9906866281379496,mace,MPtrj
mp-12641,mace,0.992936680094337,mace,MPtrj
mp-12642,mace,0.9933759407754583,mace,MPtrj
mp-12644,mace,0.9948127931743423,mace,MPtrj
mp-12645,mace,0.9510092745216947,mace,MPtrj
mp-12647,mace,0.9980021275993994,mace,MPtrj
mp-1265,mace,0.9736477762177103,mace,MPtrj
mp-1266,mace,0.9175048318169857,mace,MPtrj
mp-12668,mace,0.9248568916362823,mace,MPtrj
mp-12669,mace,0.902403543607755,mace,MPtrj
mp-12670,mace,0.8840968225639259,mace,MPtrj
mp-12671,mace,0.9189025760999472,mace,MPtrj
mp-12673,mace,0.905665498090012,mace,MPtrj
mp-1270,mace,0.9927590070235494,mace,MPtrj
mp-12779,mace,0.9375500837322899,mace,MPtrj
mp-12787,mace,0.9834313270862388,mace,MPtrj
mp-12797,mace,0.9882272181393018,mace,MPtrj
mp-12803,mace,0.9912524805989738,mace,MPtrj
mp-12807,mace,0.9872724479205605,mace,MPtrj
mp-12814,mace,0.839377560049138,mace,MPtrj
mp-12829,mace,0.9262851211537596,mace,MPtrj
mp-12843,mace,0.9077879165517542,mace,MPtrj
mp-1285,mace,0.9151544981265661,mace,MPtrj
mp-12862,mace,1.0066653420800922,mace,MPtrj
mp-12866,mace,1.0191195631413903,mace,MPtrj
mp-12867,mace,1.016963726223655,mace,MPtrj
mp-12878,mace,0.9835756926348925,mace,MPtrj
mp-12881,mace,0.9904907653409366,mace,MPtrj
mp-12885,mace,0.9942313730962938,mace,MPtrj
mp-12894,mace,0.8876137248233287,mace,MPtrj
mp-12902,mace,0.9240431426790751,mace,MPtrj
mp-12903,mace,0.8699995987368244,mace,MPtrj
mp-12904,mace,0.9206010262639817,mace,MPtrj
mp-12924,mace,0.9601990228029847,mace,MPtrj
mp-12927,mace,0.9856460174969651,mace,MPtrj
mp-12929,mace,1.0219540056928018,mace,MPtrj
mp-12931,mace,0.998712973351396,mace,MPtrj
mp-12932,mace,1.000451507509751,mace,MPtrj
mp-12933,mace,0.9984237544848327,mace,MPtrj
mp-12944,mace,1.016555376292949,mace,MPtrj
mp-12953,mace,0.8107313034764053,mace,MPtrj
mp-12954,mace,0.894797801863714,mace,MPtrj
mp-12955,mace,0.9331396508636917,mace,MPtrj
mp-12984,mace,0.9251536714642409,mace,MPtrj
mp-12992,mace,0.9980101632995646,mace,MPtrj
mp-13000,mace,0.9988831048697893,mace,MPtrj
mp-13001,mace,0.9978326627869578,mace,MPtrj
mp-13002,mace,0.9971129663770151,mace,MPtrj
mp-13019,mace,0.994582845907913,mace,MPtrj
mp-13031,mace,0.9248998682946925,mace,MPtrj
mp-13032,mace,0.9857082204010473,mace,MPtrj
mp-13033,mace,0.9102971449681291,mace,MPtrj
mp-13038,mace,0.9606730916065055,mace,MPtrj
mp-13039,mace,0.9625850360605128,mace,MPtrj
mp-13042,mace,0.970680723005565,mace,MPtrj
mp-13055,mace,1.0123875418076174,mace,MPtrj
mp-13056,mace,0.9970319507482744,mace,MPtrj
mp-13108,mace,1.0112125383367154,mace,MPtrj
mp-13109,mace,0.9910949716149035,mace,MPtrj
mp-13133,mace,0.999517326872639,mace,MPtrj
mp-1315,mace,0.9306424524979929,mace,MPtrj
mp-13182,mace,1.0249770184985127,mace,MPtrj
mp-13189,mace,0.991132024865704,mace,MPtrj
mp-13190,mace,0.9875231355155958,mace,MPtrj
mp-13194,mace,1.0050918459223257,mace,MPtrj
mp-13195,mace,1.014114317509866,mace,MPtrj
mp-13196,mace,1.0013611045031947,mace,MPtrj
mp-13199,mace,1.001319726518145,mace,MPtrj
mp-1323,mace,0.9800014936805068,mace,MPtrj
mp-13230,mace,0.9868234088894107,mace,MPtrj
mp-13252,mace,0.9272583112998001,mace,MPtrj
mp-13275,mace,0.9511239375268915,mace,MPtrj
mp-13276,mace,1.0244641691077998,mace,MPtrj
mp-13277,mace,1.095458388199481,mace,MPtrj
mp-13282,mace,0.9630747223091041,mace,MPtrj
mp-13283,mace,0.967336697343433,mace,MPtrj
mp-13287,mace,0.8204803743185661,mace,MPtrj
mp-13312,mace,0.9272451547022447,mace,MPtrj
mp-13313,mace,0.9013335003033174,mace,MPtrj
mp-13326,mace,0.9177283409820082,mace,MPtrj
mp-13327,mace,0.9252394525215022,mace,MPtrj
mp-13334,mace,1.002670485715702,mace,MPtrj
mp-13335,mace,0.9591052306791014,mace,MPtrj
mp-13356,mace,1.0127489880389093,mace,MPtrj
mp-13374,mace,0.9843913043932009,mace,MPtrj
mp-13383,mace,0.9456965511607495,mace,MPtrj
mp-13384,mace,0.9831985166268257,mace,MPtrj
mp-13385,mace,0.9784013281407491,mace,MPtrj
mp-1340,mace,0.9992675113414945,mace,MPtrj
mp-1342,mace,0.9592755386994262,mace,MPtrj
mp-13445,mace,0.9738147602110293,mace,MPtrj
mp-1346,mace,0.9766947630858392,mace,MPtrj
mp-13516,mace,0.9932134077317905,mace,MPtrj
mp-13530,mace,1.0103304130004656,mace,MPtrj
mp-13538,mace,0.9276712555674722,mace,MPtrj
mp-13541,mace,0.9918714696815284,mace,MPtrj
mp-13546,mace,0.9805896337295813,mace,MPtrj
mp-13548,mace,1.018573157925331,mace,MPtrj
mp-13551,mace,0.9621515111844982,mace,MPtrj
mp-13563,mace,0.997886968570166,mace,MPtrj
mp-13568,mace,0.9846011578763301,mace,MPtrj
mp-13596,mace,0.9984865986399585,mace,MPtrj
mp-13599,mace,0.9270361286789381,mace,MPtrj
mp-13602,mace,1.019596305692269,mace,MPtrj
mp-13610,mace,0.9360821043017234,mace,MPtrj
mp-13613,mace,0.9969864801910315,mace,MPtrj
mp-13614,mace,0.9928202247261858,mace,MPtrj
mp-13627,mace,0.9820319703113463,mace,MPtrj
mp-13630,mace,0.986515004894243,mace,MPtrj
mp-13634,mace,0.9927193703892937,mace,MPtrj
mp-13641,mace,1.007576180587487,mace,MPtrj
mp-13643,mace,0.9716080671346722,mace,MPtrj
mp-13654,mace,0.912051346967939,mace,MPtrj
mp-13658,mace,0.9858999232530851,mace,MPtrj
mp-13660,mace,0.8972978302408968,mace,MPtrj
mp-13664,mace,0.9819399251217098,mace,MPtrj
mp-13666,mace,0.9420880954533637,mace,MPtrj
mp-13676,mace,0.9855123962511361,mace,MPtrj
mp-13682,mace,0.9318076595473799,mace,MPtrj
mp-13687,mace,1.0101106724399909,mace,MPtrj
mp-13694,mace,1.02015825327882,mace,MPtrj
mp-13695,mace,0.9967807091811204,mace,MPtrj
mp-13703,mace,0.8658291267678951,mace,MPtrj
mp-13718,mace,0.9925569059581485,mace,MPtrj
mp-13725,mace,0.9541521110951299,mace,MPtrj
mp-13726,mace,0.9650281764212703,mace,MPtrj
mp-13740,mace,0.9300558836189518,mace,MPtrj
mp-13743,mace,0.9725855382076748,mace,MPtrj
mp-13744,mace,0.9759691986540002,mace,MPtrj
mp-13748,mace,0.9863027432919779,mace,MPtrj
mp-13755,mace,0.9891764031322703,mace,MPtrj
mp-13758,mace,0.8706444731965159,mace,MPtrj
mp-13771,mace,0.9902571342789992,mace,MPtrj
mp-13772,mace,0.9759529261070503,mace,MPtrj
mp-13774,mace,0.9908083105608834,mace,MPtrj
mp-1378,mace,0.9888269561942638,mace,MPtrj
mp-13791,mace,0.9932327505848064,mace,MPtrj
mp-13798,mace,0.9943469936191068,mace,MPtrj
mp-13799,mace,1.0043221437455798,mace,MPtrj
mp-13800,mace,0.97771872273632,mace,MPtrj
mp-13801,mace,0.9637844749798206,mace,MPtrj
mp-13803,mace,0.9896630179371981,mace,MPtrj
mp-13810,mace,0.9551120509653875,mace,MPtrj
mp-13811,mace,0.9891843835810026,mace,MPtrj
mp-13815,mace,1.0054166878274469,mace,MPtrj
mp-13816,mace,1.0040115978789523,mace,MPtrj
mp-13820,mace,0.9638806542202258,mace,MPtrj
mp-13827,mace,1.0025231184111936,mace,MPtrj
mp-13829,mace,0.945978957232003,mace,MPtrj
mp-13836,mace,0.9780405237073969,mace,MPtrj
mp-13840,mace,0.9875308540098112,mace,MPtrj
mp-13843,mace,0.9653253481250978,mace,MPtrj
mp-13852,mace,0.9642626069994931,mace,MPtrj
mp-13859,mace,0.9686447384436037,mace,MPtrj
mp-13863,mace,0.9963485968293256,mace,MPtrj
mp-13868,mace,0.9958183071196317,mace,MPtrj
mp-13872,mace,0.9359625845477793,mace,MPtrj
mp-13875,mace,0.990388390776818,mace,MPtrj
mp-13898,mace,0.9909438317868712,mace,MPtrj
mp-13900,mace,0.9751116593737712,mace,MPtrj
mp-13903,mace,0.9885960145800938,mace,MPtrj
mp-13907,mace,0.990976485131085,mace,MPtrj
mp-1392,mace,0.9010136554044752,mace,MPtrj
mp-13923,mace,0.9623728918020296,mace,MPtrj
mp-13925,mace,1.007493215837686,mace,MPtrj
mp-13926,mace,1.0101157804441379,mace,MPtrj
mp-1394,mace,1.0240241568423492,mace,MPtrj
mp-13944,mace,1.0132606104464574,mace,MPtrj
mp-13946,mace,0.9977445187472658,mace,MPtrj
mp-13947,mace,0.9916711251461678,mace,MPtrj
mp-13948,mace,0.9887923409679116,mace,MPtrj
mp-13949,mace,0.9660944717115272,mace,MPtrj
mp-13954,mace,1.0000137127831163,mace,MPtrj
mp-13956,mace,0.9013414199702154,mace,MPtrj
mp-13960,mace,0.992777020829606,mace,MPtrj
mp-13971,mace,0.8461999806003848,mace,MPtrj
mp-13972,mace,0.8351859047579633,mace,MPtrj
mp-13974,mace,0.8532403286438216,mace,MPtrj
mp-13975,mace,0.897049301712611,mace,MPtrj
mp-13978,mace,0.9873267684918934,mace,MPtrj
mp-13979,mace,0.9885895712252992,mace,MPtrj
mp-13983,mace,0.9725828178049034,mace,MPtrj
mp-13984,mace,0.988528505115126,mace,MPtrj
mp-13985,mace,0.975534416132313,mace,MPtrj
mp-13986,mace,0.9726081882415035,mace,MPtrj
mp-13992,mace,0.996918961633982,mace,MPtrj
mp-13995,mace,0.9745448015772582,mace,MPtrj
mp-13997,mace,1.0083001921279875,mace,MPtrj
mp-13998,mace,0.9461125453106247,mace,MPtrj
mp-14001,mace,0.8302900889987871,mace,MPtrj
mp-14002,mace,0.8566689698841797,mace,MPtrj
mp-14006,mace,0.9633464285117049,mace,MPtrj
mp-14011,mace,0.9839641489947377,mace,MPtrj
mp-14023,mace,0.9829034443420157,mace,MPtrj
mp-14026,mace,0.9823628189441659,mace,MPtrj
mp-1403,mace,0.9918442552488608,mace,MPtrj
mp-14036,mace,0.9855164413185517,mace,MPtrj
