vgcf_wt	ptfe_wt	vox_um	origin	sigma_e_off_S_cm	sigma_e_centerline_S_cm	ratio_centerline_over_off	input_digest
1	1	0.2	3	0.005260565935941288	0.0033412245214860096	0.635145	92a92bdc21a1b12c
1	1	0.2	4	0.005145708859614696	0.0032960277858802615	0.640539	92a92bdc21a1b12c
1	1	0.2	5	0.005322658193789054	0.0033317450972531496	0.625955	92a92bdc21a1b12c
1	1	0.2	6	0.0051721644306374276	0.0032509666942664986	0.628551	92a92bdc21a1b12c
1	1	0.2	7	0.005291617475120678	0.0032824487351893633	0.620311	92a92bdc21a1b12c
2	1	0.2	0	0.04281769158887576	0.027140224354549814	0.633855	142c155c17e12445
2	1	0.2	1	0.0430197509194347	0.026892459874418653	0.625119	142c155c17e12445
2	1	0.2	2	0.04275149886397412	0.026521213831778568	0.620358	142c155c17e12445
2	1	0.2	3	0.042693960159978436	0.027323184982758413	0.639978	142c155c17e12445
2	1	0.2	4	0.043222620005092006	0.027299940776302167	0.631612	142c155c17e12445
2	1	0.2	5	0.043050951757141076	0.02690465173273835	0.624949	142c155c17e12445
2	1	0.2	6	0.04267069283281341	0.02641943323716951	0.619147	142c155c17e12445
2	1	0.2	7	0.042978852650795984	0.026481880029787956	0.616161	142c155c17e12445
3	1	0.2	0	0.12530229128666595	0.09106957876666859	0.726799	2c6cf15d0eae6979
3	1	0.2	1	0.12518719654806199	0.09038836911410594	0.722026	2c6cf15d0eae6979
3	1	0.2	2	0.12439635840052994	0.09015712391852254	0.724757	2c6cf15d0eae6979
3	1	0.2	3	0.12387037104002709	0.08976520272402001	0.724670	2c6cf15d0eae6979
3	1	0.2	4	0.1243218790749696	0.09015654399510066	0.725186	2c6cf15d0eae6979
3	1	0.2	5	0.12404408965284318	0.09004903768258996	0.725944	2c6cf15d0eae6979
3	1	0.2	6	0.12356175070751137	0.08902408354792521	0.720483	2c6cf15d0eae6979
3	1	0.2	7	0.12352646429317535	0.08970046952413761	0.726164	2c6cf15d0eae6979
4	1	0.2	0	0.2359611499210066	0.19026359337821866	0.806334	a126c02de8cfadee
4	1	0.2	1	0.23560405464259726	0.1900703582072331	0.806736	a126c02de8cfadee
4	1	0.2	2	0.23468342354356295	0.18978073229745349	0.808667	a126c02de8cfadee
4	1	0.2	3	0.23414753987061593	0.18904692854527513	0.807384	a126c02de8cfadee
4	1	0.2	4	0.23512963168162043	0.18956644246648977	0.806221	a126c02de8cfadee
4	1	0.2	5	0.2340656047815478	0.1885323337187755	0.805468	a126c02de8cfadee
4	1	0.2	6	0.23414714254970473	0.1887840053790981	0.806262	a126c02de8cfadee
4	1	0.2	7	0.2330307019852887	0.18725025374832183	0.803543	a126c02de8cfadee
1	1	0.25	0	0.008726883311106246	0.004742369121837848	0.543421	92a92bdc21a1b12c
1	1	0.25	1	0.008750846176012435	0.004695628153110736	0.536591	92a92bdc21a1b12c
1	1	0.25	2	0.008687934819034163	0.004761220536033565	0.548027	92a92bdc21a1b12c
1	1	0.25	3	0.008670092561528203	0.004730616406964928	0.545625	92a92bdc21a1b12c
1	1	0.25	4	0.008696214263054646	0.004754509895070281	0.546733	92a92bdc21a1b12c
1	1	0.25	5	0.008780892278337686	0.004742511386524511	0.540094	92a92bdc21a1b12c
1	1	0.25	6	0.008856417043836879	0.00474207592404383	0.535440	92a92bdc21a1b12c
1	1	0.25	7	0.008733555515120736	0.0047415159034382955	0.542908	92a92bdc21a1b12c
2	1	0.25	0	0.06587530367536833	0.04002893807777063	0.607647	142c155c17e12445
2	1	0.25	1	0.06599589428670447	0.04108872399519885	0.622595	142c155c17e12445
2	1	0.25	2	0.06621582237942729	0.04094143432004703	0.618303	142c155c17e12445
2	1	0.25	3	0.06594952229220331	0.040347928385790446	0.611800	142c155c17e12445
2	1	0.25	4	0.06516003370467903	0.04004098042149624	0.614502	142c155c17e12445
2	1	0.25	5	0.06525271013023111	0.04034642880267074	0.618310	142c155c17e12445
2	1	0.25	6	0.06551568440648022	0.04048297113796829	0.617913	142c155c17e12445
2	1	0.25	7	0.06494251852602943	0.04009991880578492	0.617468	142c155c17e12445
3	1	0.25	0	0.17819669876460498	0.12826493440438458	0.719794	2c6cf15d0eae6979
3	1	0.25	1	0.17776174018699314	0.12888275908435398	0.725031	2c6cf15d0eae6979
3	1	0.25	2	0.17708337879458524	0.12786388942192844	0.722055	2c6cf15d0eae6979
3	1	0.25	3	0.17634357869922104	0.12821456499039025	0.727072	2c6cf15d0eae6979
3	1	0.25	4	0.1759822642204341	0.12650880366285275	0.718872	2c6cf15d0eae6979
3	1	0.25	5	0.1765523028407588	0.12726250019417573	0.720820	2c6cf15d0eae6979
3	1	0.25	6	0.17549665212552876	0.12565395679131106	0.715991	2c6cf15d0eae6979
3	1	0.25	7	0.17597498440456472	0.12747685339273998	0.724403	2c6cf15d0eae6979
4	1	0.25	0	0.3320541994565898	0.26315989182036637	0.792521	a126c02de8cfadee
4	1	0.25	1	0.3304112841378913	0.26245558821034864	0.794330	a126c02de8cfadee
4	1	0.25	2	0.33105520546964406	0.26361123611016546	0.796276	a126c02de8cfadee
4	1	0.25	3	0.329299126010889	0.26210980989100185	0.795963	a126c02de8cfadee
4	1	0.25	4	0.32955182509567504	0.2624088969071107	0.796260	a126c02de8cfadee
4	1	0.25	5	0.3290000407496818	0.26158402004496645	0.795088	a126c02de8cfadee
4	1	0.25	6	0.32904393717524205	0.26193764979627526	0.796057	a126c02de8cfadee
4	1	0.25	7	0.3269418160084589	0.26085003123347283	0.797848	a126c02de8cfadee
