"# energy-resolved -pCOHP (bonding>0). host bonds, b2o3(extended Li2p) vs modelc(LPSCl1.6).",ICOHP eV/bond: P-S b2o3 -6.023 modelc -6.0; S-S b2o3 -0.116 modelc -0.11; Li-S b2o3 -1.68 modelc -1.717; Li-Cl b2o3 -2.076 modelc -2.103
E_minus_EF_eV,P-S_b2o3,P-S_modelc,S-S_b2o3,S-S_modelc,Li-S_b2o3,Li-S_modelc,Li-Cl_b2o3,Li-Cl_modelc
-11.0306,0.01616,0.00375,0.00510,-0.00006,4.29320,1.13336,-0.00024,-0.00066
-10.9805,0.00518,0.00100,0.00129,-0.00002,1.35440,0.30151,-0.00005,-0.00017
-10.9304,0.00135,0.00022,0.00026,-0.00000,0.34920,0.06375,-0.00001,-0.00003
-10.8802,0.00028,0.00004,0.00004,0.00000,0.07236,0.01034,-0.00000,-0.00000
-10.8301,0.00005,0.00000,0.00000,0.00000,0.01150,0.00076,0.00000,0.00000
-10.7799,0.00000,0.00000,0.00000,0.00000,0.00111,0.00000,0.00000,0.00000
-10.7298,0.00000,0.00000,0.00000,0.00000,0.00003,0.00000,0.00000,0.00000
-10.6797,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.6295,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.5794,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.5292,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.4791,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.4290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.3788,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.3287,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.2785,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.2284,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.1783,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.1281,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.0780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.0279,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-9.9777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-9.9276,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-9.8774,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-9.8273,0.00001,0.00000,-0.00000,0.00000,0.00001,0.00000,-0.00000,0.00000
-9.7772,0.00012,0.00000,-0.00003,0.00000,0.00018,0.00000,-0.00000,0.00000
-9.7270,0.00088,0.00004,-0.00024,-0.00001,0.00138,0.00007,-0.00001,0.00000
-9.6769,0.00466,0.00091,-0.00125,-0.00023,0.00727,0.00142,-0.00005,-0.00001
-9.6267,0.01961,0.00564,-0.00527,-0.00144,0.03061,0.00881,-0.00022,-0.00006
-9.5766,0.06667,0.02714,-0.01794,-0.00692,0.10410,0.04237,-0.00074,-0.00029
-9.5265,0.18475,0.10341,-0.04974,-0.02630,0.28844,0.16133,-0.00205,-0.00110
-9.4763,0.42168,0.31128,-0.11328,-0.07895,0.65801,0.48527,-0.00462,-0.00328
-9.4262,0.80696,0.74104,-0.21457,-0.18679,1.25674,1.15345,-0.00867,-0.00776
-9.3760,1.33621,1.40961,-0.34437,-0.35063,2.06916,2.18685,-0.01378,-0.01450
-9.3259,2.01388,2.17472,-0.48050,-0.52604,3.07715,3.35086,-0.01914,-0.02160
-9.2758,2.94321,2.82114,-0.60278,-0.64559,4.38997,4.29097,-0.02423,-0.02624
-9.2256,4.36424,3.27093,-0.70600,-0.67966,6.30613,4.87330,-0.02909,-0.02747
-9.1755,6.55128,3.64695,-0.79680,-0.66282,9.18165,5.30183,-0.03348,-0.02751
-9.1253,9.63741,4.13238,-0.87710,-0.64733,13.19519,5.88645,-0.03562,-0.02924
-9.0752,13.53547,4.86696,-0.92946,-0.63729,18.23927,6.82579,-0.03230,-0.03214
-9.0251,17.97543,6.08789,-0.91644,-0.58407,23.96701,8.37195,-0.02082,-0.03147
-8.9749,22.49086,8.19540,-0.79481,-0.43834,29.77385,10.97933,-0.00149,-0.02195
-8.9248,26.38204,11.42533,-0.53815,-0.20089,34.74345,14.95491,0.02171,-0.00260
-8.8747,28.96155,15.39982,-0.15692,0.07418,37.95464,19.88046,0.04306,0.02195
-8.8245,30.00965,19.05675,0.29681,0.31776,39.07457,24.45053,0.05842,0.04450
-8.7744,29.78625,21.17059,0.74096,0.48838,38.41643,27.07955,0.06710,0.05862
-8.7242,28.41928,21.16121,1.08036,0.59150,36.20972,26.95582,0.07029,0.06094
-8.6741,25.55779,19.40981,1.23213,0.65946,32.15349,24.52473,0.06849,0.05186
-8.6240,20.95427,16.92496,1.16584,0.71988,26.07096,21.11119,0.06130,0.03551
-8.5738,15.21520,14.52168,0.93077,0.77229,18.76755,17.84088,0.04940,0.01753
-8.5237,9.63021,12.34705,0.63157,0.78371,11.80507,14.97838,0.03535,0.00289
-8.4735,5.28997,10.02395,0.36620,0.71475,6.45816,12.06700,0.02226,-0.00579
-8.4234,2.52467,7.34278,0.18214,0.56032,3.07500,8.80749,0.01221,-0.00837
-8.3733,1.04672,4.61416,0.07773,0.36575,1.27360,5.52642,0.00576,-0.00690
-8.3231,0.37485,2.40119,0.02833,0.19451,0.45604,2.87413,0.00229,-0.00412
-8.2730,0.11450,1.01768,0.00873,0.08352,0.13935,1.21764,0.00076,-0.00189
-8.2228,0.02923,0.34620,0.00224,0.02865,0.03558,0.41408,0.00021,-0.00067
-8.1727,0.00609,0.09453,0.00047,0.00787,0.00743,0.11301,0.00005,-0.00019
-8.1226,0.00103,0.02068,0.00008,0.00173,0.00125,0.02470,0.00001,-0.00004
-8.0724,0.00012,0.00357,0.00001,0.00030,0.00014,0.00426,0.00000,-0.00001
-8.0223,0.00000,0.00031,0.00000,0.00003,0.00001,0.00037,0.00000,-0.00000
-7.9721,0.00000,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000
-7.9220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.8719,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.8217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.7716,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.7214,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.6713,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.6212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.5710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.5209,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000
-7.4707,0.00000,0.00000,0.00001,0.00000,0.00012,0.00000,0.00000,0.00000
-7.4206,0.00000,0.00000,0.00010,0.00000,0.00092,0.00000,0.00002,0.00000
-7.3705,0.00000,0.00000,0.00051,0.00000,0.00485,0.00000,0.00009,0.00000
-7.3203,0.00001,0.00000,0.00214,0.00000,0.02023,0.00000,0.00039,0.00000
-7.2702,0.00003,0.00000,0.00717,0.00000,0.06768,0.00000,0.00130,0.00000
-7.2201,0.00008,0.00000,0.01928,0.00000,0.18195,0.00000,0.00349,0.00000
-7.1699,0.00021,0.00000,0.04168,0.00000,0.39375,0.00000,0.00756,0.00000
-7.1198,0.00058,0.00000,0.07279,0.00000,0.68922,0.00000,0.01323,0.00000
-7.0696,0.00168,0.00000,0.10421,0.00000,0.99168,0.00000,0.01903,0.00000
-7.0195,0.00484,0.00000,0.12855,0.00000,1.23251,0.00000,0.02362,0.00000
-6.9694,0.01256,0.00000,0.15552,0.00000,1.48833,0.00000,0.02859,0.00000
-6.9192,0.02817,0.00000,0.21904,0.00000,2.02389,0.00000,0.03932,0.00000
-6.8691,0.05621,0.00000,0.35621,0.00000,3.09260,0.00000,0.06121,0.00000
-6.8189,0.11174,0.00000,0.56339,0.00000,4.60212,0.00000,0.09300,0.00000
-6.7688,0.25013,0.00000,0.77243,0.00000,6.02406,0.00000,0.12462,0.00000
-6.7187,0.61149,0.00020,0.89195,-0.00001,6.81392,0.00014,0.14559,0.00000
-6.6685,1.42694,0.00205,0.89055,-0.00009,7.01979,0.00137,0.15753,0.00003
-6.6184,2.90853,0.01252,0.83057,-0.00059,7.36397,0.00838,0.17575,0.00014
-6.5682,5.04268,0.05898,0.80352,-0.00280,8.57699,0.03946,0.21467,0.00063
-6.5181,7.50415,0.22317,0.83297,-0.01055,10.66167,0.14906,0.27225,0.00229
-6.4680,9.92510,0.68550,0.84484,-0.03234,12.90669,0.45701,0.33175,0.00671
-6.4178,12.35952,1.73457,0.73186,-0.08141,14.65586,1.15388,0.38014,0.01603
-6.3677,15.36193,3.66556,0.45374,-0.17015,15.99198,2.43256,0.42237,0.03179
-6.3175,19.40225,6.58553,0.08187,-0.29969,17.56162,4.35942,0.47491,0.05402
-6.2674,24.24545,10.22251,-0.26167,-0.45085,19.78295,6.74956,0.54792,0.08130
-6.2173,29.12907,13.99518,-0.51354,-0.59088,22.43356,9.21305,0.64017,0.11225
-6.1671,33.52099,17.29290,-0.70656,-0.69172,25.02445,11.33860,0.75035,0.14603
-6.1170,37.44313,19.85309,-0.89427,-0.74812,27.30876,12.94820,0.88453,0.18332
-6.0668,41.03673,21.95593,-1.06145,-0.77951,29.28337,14.23897,1.04736,0.22984
-6.0167,44.06039,23.96680,-1.13002,-0.80637,30.85254,15.48772,1.22989,0.29603
-5.9666,45.95929,25.86302,-1.04003,-0.82932,31.69562,16.71746,1.41197,0.39545
-5.9164,46.47970,27.45307,-0.80172,-0.83220,31.58838,17.81093,1.58180,0.54749
-5.8663,46.27979,29.11104,-0.47450,-0.79751,30.87760,18.97709,1.75379,0.78103
-5.8162,46.81413,31.71908,-0.11805,-0.70891,30.47937,20.71250,1.95846,1.11656
-5.7660,49.36619,35.72858,0.23091,-0.55099,31.21665,23.19693,2.20473,1.53904
-5.7159,54.08545,40.53025,0.54947,-0.33147,33.15255,25.91687,2.45275,1.97824
-5.6657,59.86227,45.02094,0.81350,-0.09053,35.57290,28.09921,2.62888,2.34506
-5.6156,64.90921,48.37047,0.99785,0.12767,37.45941,29.25457,2.66962,2.57426
-5.5655,67.47233,50.42408,1.08927,0.31492,37.93625,29.40907,2.55889,2.65854
-5.5153,66.37753,51.32659,1.09422,0.48504,36.50963,28.83118,2.33476,2.63056
-5.4652,61.31873,50.85668,1.03004,0.63177,33.18079,27.60667,2.06373,2.52542
-5.4150,52.82339,48.29659,0.90712,0.72121,28.43594,25.48814,1.80466,2.35979
-5.3649,42.01446,43.19298,0.72524,0.72177,23.08016,22.27751,1.59808,2.14129
-5.3148,30.39805,36.01286,0.49381,0.63652,17.99456,18.19197,1.48913,1.87301
-5.2646,19.64053,27.82096,0.25108,0.49832,13.90440,13.76694,1.55355,1.54936
-5.2145,11.12854,19.63706,0.05146,0.34686,11.16619,9.52615,1.91012,1.17316
-5.1643,5.46638,12.31710,-0.06894,0.21226,9.65840,5.87315,2.73913,0.78988
-5.1142,2.36359,6.66802,-0.11173,0.11247,8.94759,3.13926,4.28009,0.50535
-5.0641,1.01848,3.04565,-0.10809,0.05144,8.66886,1.42963,6.69162,0.48382
-5.0139,0.61698,1.20180,-0.09837,0.02295,8.75579,0.59217,9.77715,0.98783
-4.9638,0.59432,0.54108,-0.11123,0.01692,9.31587,0.34385,12.93018,2.36577
-4.9136,0.65550,0.49236,-0.14661,0.02425,10.40010,0.42518,15.67553,4.82249
-4.8635,0.71098,0.68934,-0.17223,0.03838,11.95966,0.66069,18.46422,8.02743
-4.8134,0.79873,0.92308,-0.14181,0.05629,13.90411,0.94111,22.74102,11.20514
-4.7632,0.99083,1.10701,-0.02463,0.08286,16.05772,1.24576,29.90386,13.91636
-4.7131,1.30690,1.25882,0.17663,0.13398,18.10480,1.66887,40.06790,16.73709
-4.6630,1.68804,1.43372,0.43169,0.23055,19.71788,2.36044,51.79341,20.77184
-4.6128,2.04183,1.63814,0.70330,0.38275,20.77185,3.39119,62.92849,26.43996
-4.5627,2.30922,1.81842,0.96438,0.57413,21.42232,4.65200,71.88254,32.91844
-4.5125,2.49521,1.92587,1.20296,0.76753,22.01285,5.91840,78.51375,38.88437
-4.4624,2.64473,1.95807,1.41796,0.92788,22.86791,7.00299,83.97720,43.46074
-4.4123,2.79411,1.95042,1.61136,1.04876,24.05060,7.90848,89.54140,46.77300
-4.3621,2.94744,1.94436,1.78122,1.14685,25.28899,8.77141,95.42113,49.53452
-4.3120,3.09078,1.96551,1.91854,1.23405,26.18479,9.66143,100.68593,52.26441
-4.2618,3.21128,2.01340,2.00884,1.29799,26.48114,10.45222,104.03969,54.85609
-4.2117,3.29572,2.06581,2.03771,1.30939,26.12160,10.88589,104.51750,56.72155
-4.1616,3.32672,2.09079,1.99815,1.25463,25.15085,10.81465,101.72055,57.35383
-4.1114,3.29939,2.05192,1.89626,1.15595,23.65870,10.32783,95.88312,56.56915
-4.0613,3.24273,1.91579,1.75229,1.05729,21.80190,9.64445,87.93436,54.31477
-4.0111,3.21367,1.67433,1.59329,0.98211,19.79277,8.87479,79.28368,50.43313
-3.9610,3.26066,1.36171,1.43755,0.91255,17.80258,7.94152,71.14693,44.80940
-3.9109,3.38150,1.03528,1.28310,0.81155,15.86300,6.73127,63.82394,37.69608
-3.8607,3.50387,0.74158,1.11569,0.66540,13.88925,5.28833,56.60969,29.76929
-3.8106,3.51712,0.50059,0.93388,0.50363,11.85089,3.83430,48.53425,21.84761
-3.7605,3.35977,0.31135,0.76810,0.38825,9.96010,2.64524,39.34215,14.58601
-3.7103,3.09059,0.16993,0.67680,0.39920,8.67985,1.99646,29.83235,8.57297
-3.6602,2.84844,0.07367,0.72846,0.60998,8.50582,2.11759,21.26619,4.26782
-3.6100,2.72972,0.01519,0.98922,1.04488,9.72079,3.08392,14.47263,1.65664
-3.5599,2.72376,-0.01647,1.51864,1.65297,12.33688,4.76899,9.50098,0.29870
-3.5097,2.76132,-0.03234,2.35776,2.36127,16.17893,6.99649,5.94302,-0.38278
-3.4596,2.78224,-0.04105,3.50851,3.16559,20.93630,9.76351,3.37494,-0.80571
-3.4095,2.74314,-0.04842,4.92460,4.14639,26.19789,13.25166,1.51538,-1.17582
-3.3593,2.60814,-0.05644,6.52411,5.34002,31.61294,17.47334,0.17584,-1.55648
-3.3092,2.37654,-0.06339,8.20772,6.62649,37.10487,22.00233,-0.79791,-1.95102
-3.2590,2.10691,-0.06702,9.86078,7.80090,42.84650,26.24791,-1.53668,-2.34083
-3.2089,1.88401,-0.06688,11.33997,8.70742,48.93752,29.82909,-2.13850,-2.68085
-3.1588,1.76315,-0.06235,12.47871,9.35569,55.13655,32.85038,-2.66335,-2.92007
-3.1086,1.75386,-0.04728,13.13747,9.87544,60.93899,35.68628,-3.13818,-3.03429
-3.0585,1.83764,-0.00991,13.25874,10.35464,65.85858,38.50590,-3.56458,-3.04377
-3.0084,1.97952,0.05795,12.86824,10.67705,69.65752,40.86423,-3.92692,-2.98615
-2.9582,2.13007,0.15020,12.04758,10.56907,72.42895,41.90481,-4.21245,-2.88374
-2.9081,2.23468,0.24547,10.92954,9.86011,74.41126,41.14145,-4.43426,-2.75163
-2.8579,2.24890,0.32086,9.68613,8.66414,75.57116,39.02022,-4.62912,-2.62087
-2.8078,2.15503,0.36378,8.47126,7.28624,75.45907,36.55662,-4.83160,-2.53148
-2.7577,1.97693,0.37422,7.36748,5.97288,73.66747,34.41057,-5.05473,-2.49374
-2.7075,1.77370,0.35479,6.39125,4.80638,70.39296,32.43939,-5.28743,-2.48377
-2.6574,1.60019,0.30695,5.53261,3.78497,66.42518,30.19211,-5.49674,-2.48782
-2.6072,1.46677,0.23815,4.77936,2.91286,62.60946,27.65408,-5.63531,-2.53494
-2.5571,1.34256,0.16670,4.11434,2.22939,59.37421,25.34452,-5.66343,-2.65834
-2.5070,1.19600,0.11122,3.50188,1.73938,56.72097,23.65041,-5.57392,-2.83148
-2.4568,1.02424,0.07908,2.88410,1.38713,54.57143,22.42540,-5.39713,-2.96562
-2.4067,0.84458,0.06781,2.20310,1.07561,53.12163,21.28618,-5.18701,-2.97655
-2.3565,0.67064,0.07323,1.43947,0.71317,52.94305,20.19655,-5.00581,-2.84783
-2.3064,0.50481,0.09048,0.63089,0.25587,54.72307,19.63972,-4.90912,-2.63083
-2.2563,0.34799,0.10878,-0.14903,-0.28338,58.71885,20.18969,-4.92272,-2.39027
-2.2061,0.20765,0.11189,-0.82879,-0.84884,64.32368,22.05496,-5.02620,-2.16494
-2.1560,0.09578,0.08869,-1.36494,-1.37469,70.20711,24.99622,-5.16485,-1.97955
-2.1059,0.02217,0.04432,-1.75314,-1.83000,74.97699,28.52931,-5.27708,-1.85789
-2.0557,-0.00963,-0.00298,-2.02633,-2.22831,77.83243,32.07521,-5.31342,-1.81117
-2.0056,-0.00213,-0.03714,-2.23312,-2.60644,78.80605,35.08029,-5.25069,-1.82803
-1.9554,0.03799,-0.05741,-2.40787,-2.99387,78.54984,37.23610,-5.10486,-1.89189
-1.9053,0.09984,-0.07481,-2.56471,-3.37596,77.80480,38.44343,-4.92078,-1.98900
-1.8552,0.16723,-0.09945,-2.71915,-3.70736,76.86746,38.72433,-4.73474,-2.08752
-1.8050,0.22129,-0.13043,-2.89902,-3.94507,75.44862,38.06673,-4.54700,-2.12912
-1.7549,0.24886,-0.15793,-3.11807,-4.08094,72.97592,36.42082,-4.32933,-2.06510
-1.7047,0.24881,-0.17324,-3.34150,-4.13477,68.95782,33.75213,-4.04829,-1.89712
-1.6546,0.22834,-0.17479,-3.49452,-4.12882,63.13344,30.19943,-3.68101,-1.67213
-1.6045,0.19454,-0.16633,-3.51714,-4.08082,55.55714,26.09641,-3.22560,-1.43763
-1.5543,0.15240,-0.15112,-3.40714,-3.98878,46.73199,21.80974,-2.70883,-1.20925
-1.5042,0.10969,-0.13062,-3.20226,-3.81724,37.56070,17.59639,-2.17939,-0.97947
-1.4540,0.08155,-0.10674,-2.92959,-3.52642,29.01682,13.61706,-1.68744,-0.74549
-1.4039,0.08857,-0.08325,-2.59118,-3.12691,21.83184,10.14503,-1.27134,-0.52863
-1.3538,0.14449,-0.06285,-2.19488,-2.66786,16.36426,7.37390,-0.95647,-0.35298
-1.3036,0.23772,-0.04572,-1.77285,-2.19195,12.51822,5.29733,-0.74819,-0.22741
-1.2535,0.32579,-0.03097,-1.36197,-1.72103,9.76068,3.73142,-0.61880,-0.14320
-1.2033,0.35906,-0.01862,-0.98548,-1.26989,7.44809,2.49602,-0.51637,-0.08653
-1.1532,0.31814,-0.00962,-0.66173,-0.86345,5.27590,1.53696,-0.40100,-0.04894
-1.1031,0.22751,-0.00418,-0.41231,-0.52602,3.37439,0.84663,-0.27187,-0.02528
-1.0529,0.13170,-0.00151,-0.24792,-0.27754,1.98475,0.40597,-0.15550,-0.01164
-1.0028,0.06181,-0.00045,-0.15418,-0.12340,1.14387,0.16601,-0.07414,-0.00468
-0.9526,0.02352,-0.00011,-0.10121,-0.04494,0.68253,0.05636,-0.02962,-0.00159
-0.9025,0.00726,-0.00002,-0.06515,-0.01324,0.40976,0.01567,-0.01017,-0.00045
-0.8524,0.00181,-0.00000,-0.03739,-0.00313,0.22673,0.00350,-0.00314,-0.00010
-0.8022,0.00036,0.00000,-0.01802,-0.00057,0.10749,0.00062,-0.00092,-0.00002
-0.7521,0.00005,0.00000,-0.00710,-0.00007,0.04204,0.00008,-0.00026,-0.00000
-0.7019,0.00000,0.00000,-0.00226,-0.00000,0.01335,0.00000,-0.00007,0.00000
-0.6518,-0.00000,0.00000,-0.00058,0.00000,0.00342,0.00000,-0.00002,0.00000
-0.6017,-0.00000,0.00000,-0.00012,0.00000,0.00070,0.00000,-0.00000,0.00000
-0.5515,-0.00000,0.00000,-0.00002,0.00000,0.00011,0.00000,-0.00000,0.00000
-0.5014,-0.00000,0.00000,-0.00000,0.00000,0.00001,0.00000,-0.00000,0.00000
-0.4512,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000
-0.4011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.3510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.3008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.2507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.2006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.1504,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.1003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.0501,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0501,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1504,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.4011,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.4512,-0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000
0.5014,-0.00004,-0.00080,0.00000,0.00008,-0.00000,-0.00004,-0.00000,-0.00004
0.5515,-0.00057,-0.00641,0.00005,0.00063,-0.00003,-0.00035,-0.00002,-0.00031
0.6017,-0.00379,-0.03457,0.00032,0.00340,-0.00018,-0.00186,-0.00012,-0.00166
0.6518,-0.01896,-0.14564,0.00161,0.01430,-0.00093,-0.00781,-0.00062,-0.00700
0.7019,-0.07587,-0.48414,0.00644,0.04754,-0.00378,-0.02599,-0.00248,-0.02327
0.7521,-0.24565,-1.27382,0.02082,0.12509,-0.01246,-0.06836,-0.00806,-0.06123
0.8022,-0.64727,-2.64130,0.05476,0.25937,-0.03362,-0.14175,-0.02138,-0.12698
0.8524,-1.39437,-4.33559,0.11766,0.42573,-0.07463,-0.23266,-0.04647,-0.20845
0.9025,-2.46860,-5.62793,0.20766,0.55255,-0.13701,-0.30186,-0.08318,-0.27072
0.9526,-3.61198,-5.81305,0.30267,0.57023,-0.20895,-0.31109,-0.12327,-0.28028
1.0028,-4.39697,-4.88104,0.36678,0.47677,-0.26588,-0.25841,-0.15217,-0.23795
1.0529,-4.50777,-3.69252,0.37393,0.35416,-0.28446,-0.18716,-0.15827,-0.18793
1.1031,-4.03247,-3.35212,0.33170,0.30645,-0.26182,-0.15318,-0.14388,-0.18713
1.1532,-3.50299,-4.44605,0.28334,0.38692,-0.22132,-0.18830,-0.12872,-0.26486
1.2033,-3.62248,-6.67609,0.28399,0.56629,-0.19425,-0.28502,-0.14234,-0.40078
1.2535,-4.89486,-9.00622,0.36919,0.75154,-0.19156,-0.40157,-0.21090,-0.53252
1.3036,-7.45821,-10.21904,0.54054,0.83962,-0.19444,-0.47928,-0.34793,-0.59104
1.3538,-11.21236,-9.69050,0.77747,0.78245,-0.17660,-0.47476,-0.55373,-0.54660
1.4039,-15.97568,-7.89601,1.05650,0.62077,-0.13633,-0.38973,-0.81875,-0.43157
1.4540,-21.31978,-6.30736,1.34921,0.46506,-0.10147,-0.27318,-1.12113,-0.32537
1.5042,-26.19881,-6.72562,1.59977,0.43953,-0.09824,-0.18716,-1.41742,-0.31481
1.5543,-29.04453,-10.22297,1.72361,0.61304,-0.11843,-0.16565,-1.64274,-0.44573
1.6045,-28.73650,-16.10204,1.65881,0.94036,-0.12393,-0.19371,-1.73947,-0.68258
1.6546,-25.76255,-21.71234,1.43389,1.25906,-0.08331,-0.22053,-1.70568,-0.90815
1.7047,-22.31460,-24.27923,1.17537,1.40017,0.00395,-0.19566,-1.61842,-1.00399
1.7549,-20.98487,-23.37105,1.03150,1.33297,0.12165,-0.10565,-1.59532,-0.95085
1.8050,-23.06160,-21.37629,1.07292,1.19208,0.26734,0.01469,-1.71524,-0.84449
1.8552,-27.67840,-21.12621,1.24781,1.13687,0.45919,0.10907,-1.95835,-0.79941
1.9053,-32.47407,-23.44623,1.42666,1.21102,0.70847,0.13783,-2.21201,-0.85539
1.9554,-35.53254,-26.90517,1.51207,1.33648,0.98944,0.10415,-2.35020,-0.96657
2.0056,-37.01947,-29.24061,1.52061,1.40314,1.24531,0.04906,-2.33356,-1.04935
