"# Cronau 2021 ACS Energy Lett. 6, 3072 — SI (nz1c01299_si_001.pdf) figure readout. ALL VALUES DIGITIZED (not stated in text). tools/litdb/cronau2021_si_digitize.py"
figure,panel,material,class,series,x_name,x_value,x_unit,y_name,y_value,y_unit,fit_cost,own_px,flag,provenance
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,1.83,MPa,sigma_ion,4.29212e-05,S/cm,10,31,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,2.59,MPa,sigma_ion,5.31086e-05,S/cm,0,41,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,3.94,MPa,sigma_ion,6.35668e-05,S/cm,0,55,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,4.78,MPa,sigma_ion,7.40060e-05,S/cm,5,54,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,5.57,MPa,sigma_ion,8.35054e-05,S/cm,17,55,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,6.65,MPa,sigma_ion,9.21171e-05,S/cm,28,53,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,8.08,MPa,sigma_ion,1.00940e-04,S/cm,47,56,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,8.73,MPa,sigma_ion,1.07786e-04,S/cm,63,64,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,9.76,MPa,sigma_ion,1.12280e-04,S/cm,38,62,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,19.53,MPa,sigma_ion,1.62206e-04,S/cm,0,55,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,29.31,MPa,sigma_ion,1.86248e-04,S/cm,0,54,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,38.94,MPa,sigma_ion,1.96631e-04,S/cm,29,52,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,49.55,MPa,sigma_ion,2.00234e-04,S/cm,41,60,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,79.05,MPa,sigma_ion,1.98582e-04,S/cm,42,66,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,87.53,MPa,sigma_ion,1.97236e-04,S/cm,69,66,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,96.45,MPa,sigma_ion,1.95546e-04,S/cm,36,64,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,145.99,MPa,sigma_ion,1.93821e-04,S/cm,0,60,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,194.61,MPa,sigma_ion,1.92281e-04,S/cm,0,61,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,243.23,MPa,sigma_ion,1.91094e-04,S/cm,0,63,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 292.03 MPa,stack_pressure,291.98,MPa,sigma_ion,1.90538e-04,S/cm,0,64,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,19.46,MPa,sigma_ion,7.73003e-05,S/cm,0,51,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,28.93,MPa,sigma_ion,1.07105e-04,S/cm,0,55,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,38.96,MPa,sigma_ion,1.35741e-04,S/cm,0,45,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,48.50,MPa,sigma_ion,1.62612e-04,S/cm,0,47,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,58.75,MPa,sigma_ion,1.84270e-04,S/cm,0,47,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,67.96,MPa,sigma_ion,1.99219e-04,S/cm,7,47,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,77.89,MPa,sigma_ion,2.07217e-04,S/cm,34,48,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,88.77,MPa,sigma_ion,2.11780e-04,S/cm,56,57,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,95.85,MPa,sigma_ion,2.13178e-04,S/cm,40,56,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,145.70,MPa,sigma_ion,2.14989e-04,S/cm,0,41,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,194.56,MPa,sigma_ion,2.13316e-04,S/cm,0,46,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,243.40,MPa,sigma_ion,2.11346e-04,S/cm,0,51,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,292.03,MPa,sigma_ion,2.09692e-04,S/cm,0,52,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 389.30 MPa,stack_pressure,389.41,MPa,sigma_ion,2.09470e-04,S/cm,0,30,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,1.78,MPa,sigma_ion,1.93455e-05,S/cm,73,77,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,4.56,MPa,sigma_ion,2.66107e-05,S/cm,89,67,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,6.70,MPa,sigma_ion,3.65144e-05,S/cm,83,67,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,7.77,MPa,sigma_ion,4.06581e-05,S/cm,85,70,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,8.82,MPa,sigma_ion,4.59900e-05,S/cm,77,68,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,9.80,MPa,sigma_ion,5.07425e-05,S/cm,44,70,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,19.34,MPa,sigma_ion,9.75642e-05,S/cm,0,62,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,29.07,MPa,sigma_ion,1.33228e-04,S/cm,0,63,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,38.73,MPa,sigma_ion,1.61384e-04,S/cm,0,65,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,48.69,MPa,sigma_ion,1.82023e-04,S/cm,0,59,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,58.32,MPa,sigma_ion,1.96997e-04,S/cm,0,54,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,68.05,MPa,sigma_ion,2.07129e-04,S/cm,16,56,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,77.80,MPa,sigma_ion,2.14172e-04,S/cm,45,53,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,87.39,MPa,sigma_ion,2.18539e-04,S/cm,62,60,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,96.26,MPa,sigma_ion,2.21175e-04,S/cm,36,59,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,145.96,MPa,sigma_ion,2.24672e-04,S/cm,0,55,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,194.47,MPa,sigma_ion,2.22891e-04,S/cm,0,57,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,243.40,MPa,sigma_ion,2.20429e-04,S/cm,0,61,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,291.91,MPa,sigma_ion,2.17704e-04,S/cm,0,60,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,389.33,MPa,sigma_ion,2.14184e-04,S/cm,0,50,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 486.73 MPa,stack_pressure,486.45,MPa,sigma_ion,2.11093e-04,S/cm,0,53,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,20.81,MPa,sigma_ion,1.02755e-04,S/cm,9,36,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,39.01,MPa,sigma_ion,1.05410e-04,S/cm,37,57,ok,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,48.71,MPa,sigma_ion,1.06252e-04,S/cm,57,59,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,58.35,MPa,sigma_ion,1.07408e-04,S/cm,63,58,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,67.89,MPa,sigma_ion,1.08249e-04,S/cm,58,60,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,77.59,MPa,sigma_ion,1.09167e-04,S/cm,63,52,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,87.78,MPa,sigma_ion,1.10045e-04,S/cm,56,63,neighbor_overlap,digitized
S1,S1a,AM-Li7P3S11,AM,fab 97.34 MPa,stack_pressure,96.16,MPa,sigma_ion,1.10586e-04,S/cm,31,58,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,18.87,MPa,sigma_ion,3.94055e-04,S/cm,0,13,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,29.08,MPa,sigma_ion,4.27253e-04,S/cm,26,57,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,39.35,MPa,sigma_ion,4.36652e-04,S/cm,61,46,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,49.07,MPa,sigma_ion,4.38683e-04,S/cm,54,64,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,57.60,MPa,sigma_ion,4.38680e-04,S/cm,60,61,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,67.55,MPa,sigma_ion,4.37069e-04,S/cm,60,53,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,77.84,MPa,sigma_ion,4.35891e-04,S/cm,59,63,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,88.30,MPa,sigma_ion,4.33453e-04,S/cm,64,62,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,96.48,MPa,sigma_ion,4.33313e-04,S/cm,36,61,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,145.85,MPa,sigma_ion,4.32837e-04,S/cm,0,55,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 194.69 MPa,stack_pressure,194.34,MPa,sigma_ion,4.33594e-04,S/cm,0,50,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,1.36,MPa,sigma_ion,3.69773e-05,S/cm,0,46,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,3.77,MPa,sigma_ion,1.21241e-04,S/cm,0,8,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,7.47,MPa,sigma_ion,2.41883e-04,S/cm,0,21,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,19.32,MPa,sigma_ion,4.15338e-04,S/cm,0,53,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,29.02,MPa,sigma_ion,4.72000e-04,S/cm,0,33,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,38.61,MPa,sigma_ion,4.96214e-04,S/cm,23,17,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,49.27,MPa,sigma_ion,5.08818e-04,S/cm,26,60,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,57.62,MPa,sigma_ion,5.13593e-04,S/cm,42,45,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,78.62,MPa,sigma_ion,5.16685e-04,S/cm,45,62,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,87.22,MPa,sigma_ion,5.16554e-04,S/cm,67,66,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,96.85,MPa,sigma_ion,5.15666e-04,S/cm,30,67,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,145.87,MPa,sigma_ion,5.14178e-04,S/cm,0,65,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,194.58,MPa,sigma_ion,5.12211e-04,S/cm,0,63,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,243.34,MPa,sigma_ion,5.10090e-04,S/cm,0,61,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 292.03 MPa,stack_pressure,291.97,MPa,sigma_ion,5.08257e-04,S/cm,0,64,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,1.40,MPa,sigma_ion,5.04722e-05,S/cm,0,32,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,3.87,MPa,sigma_ion,1.64600e-04,S/cm,0,13,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,5.11,MPa,sigma_ion,2.14571e-04,S/cm,2,9,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,6.14,MPa,sigma_ion,2.39237e-04,S/cm,15,17,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,7.40,MPa,sigma_ion,2.55331e-04,S/cm,33,56,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,8.30,MPa,sigma_ion,2.68408e-04,S/cm,45,55,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,9.53,MPa,sigma_ion,2.87559e-04,S/cm,22,43,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,19.23,MPa,sigma_ion,3.98004e-04,S/cm,0,48,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,28.78,MPa,sigma_ion,4.61965e-04,S/cm,0,48,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,38.72,MPa,sigma_ion,5.02846e-04,S/cm,0,48,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,48.27,MPa,sigma_ion,5.30302e-04,S/cm,21,44,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,58.16,MPa,sigma_ion,5.45141e-04,S/cm,43,48,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,69.28,MPa,sigma_ion,5.53726e-04,S/cm,57,57,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,77.70,MPa,sigma_ion,5.57554e-04,S/cm,48,60,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,145.87,MPa,sigma_ion,5.59053e-04,S/cm,0,49,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,194.44,MPa,sigma_ion,5.55830e-04,S/cm,0,45,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,243.30,MPa,sigma_ion,5.51293e-04,S/cm,0,47,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,291.97,MPa,sigma_ion,5.47081e-04,S/cm,0,49,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 389.30 MPa,stack_pressure,389.04,MPa,sigma_ion,5.40505e-04,S/cm,0,43,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,1.01,MPa,sigma_ion,6.69882e-05,S/cm,40,70,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,1.81,MPa,sigma_ion,7.46824e-05,S/cm,71,68,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,2.64,MPa,sigma_ion,9.11996e-05,S/cm,60,59,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,3.30,MPa,sigma_ion,1.10254e-04,S/cm,40,56,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,4.56,MPa,sigma_ion,1.30499e-04,S/cm,28,54,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,5.64,MPa,sigma_ion,1.50657e-04,S/cm,26,58,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,6.32,MPa,sigma_ion,1.71145e-04,S/cm,20,58,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,7.87,MPa,sigma_ion,1.92371e-04,S/cm,35,55,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,8.94,MPa,sigma_ion,2.11121e-04,S/cm,45,61,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,9.62,MPa,sigma_ion,2.28416e-04,S/cm,30,58,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,19.19,MPa,sigma_ion,3.45656e-04,S/cm,0,65,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,28.86,MPa,sigma_ion,4.08253e-04,S/cm,0,62,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,38.69,MPa,sigma_ion,4.48111e-04,S/cm,0,63,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,48.58,MPa,sigma_ion,4.77813e-04,S/cm,1,59,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,58.27,MPa,sigma_ion,5.02280e-04,S/cm,6,55,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,67.88,MPa,sigma_ion,5.21758e-04,S/cm,26,55,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,77.69,MPa,sigma_ion,5.37306e-04,S/cm,44,59,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,87.30,MPa,sigma_ion,5.50298e-04,S/cm,53,49,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,97.14,MPa,sigma_ion,5.61154e-04,S/cm,21,49,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,145.83,MPa,sigma_ion,5.84446e-04,S/cm,0,52,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,194.50,MPa,sigma_ion,5.82582e-04,S/cm,0,60,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,243.27,MPa,sigma_ion,5.75757e-04,S/cm,0,57,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,292.11,MPa,sigma_ion,5.68367e-04,S/cm,0,55,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,389.39,MPa,sigma_ion,5.57272e-04,S/cm,0,46,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 486.73 MPa,stack_pressure,486.56,MPa,sigma_ion,5.42529e-04,S/cm,0,52,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,5.73,MPa,sigma_ion,8.68923e-05,S/cm,10,7,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,6.91,MPa,sigma_ion,1.07995e-04,S/cm,13,21,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,9.43,MPa,sigma_ion,1.27713e-04,S/cm,22,23,occluded,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,9.74,MPa,sigma_ion,1.34745e-04,S/cm,17,27,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,19.06,MPa,sigma_ion,2.42904e-04,S/cm,0,41,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,29.09,MPa,sigma_ion,3.08989e-04,S/cm,17,48,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,39.40,MPa,sigma_ion,3.27581e-04,S/cm,39,61,ok,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,48.83,MPa,sigma_ion,3.29167e-04,S/cm,59,54,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,58.35,MPa,sigma_ion,3.29581e-04,S/cm,56,60,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,67.31,MPa,sigma_ion,3.29460e-04,S/cm,61,58,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,77.80,MPa,sigma_ion,3.28797e-04,S/cm,57,62,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,87.21,MPa,sigma_ion,3.28188e-04,S/cm,60,60,neighbor_overlap,digitized
S1,S1b,AM-80Li2S-20P2S5,AM,fab 97.34 MPa,stack_pressure,95.59,MPa,sigma_ion,3.27580e-04,S/cm,32,58,ok,digitized
S1,S1c,GC-Li7P3S11,GC,fab 194.69 MPa,stack_pressure,4.88,MPa,sigma_ion,6.98172e-04,S/cm,0,10,occluded,digitized
S1,S1c,GC-Li7P3S11,GC,fab 194.69 MPa,stack_pressure,5.43,MPa,sigma_ion,7.89492e-04,S/cm,5,15,occluded,digitized
S1,S1c,GC-Li7P3S11,GC,fab 194.69 MPa,stack_pressure,6.58,MPa,sigma_ion,8.75300e-04,S/cm,34,26,ok,digitized
S1,S1c,GC-Li7P3S11,GC,fab 194.69 MPa,stack_pressure,7.54,MPa,sigma_ion,9.58423e-04,S/cm,46,67,neighbor_overlap,digitized
S1,S1c,GC-Li7P3S11,GC,fab 194.69 MPa,stack_pressure,8.76,MPa,sigma_ion,1.02889e-03,S/cm,63,65,neighbor_overlap,digitized
